schools_of_this_kind_1,schools_of_this_kind_2
14156,10769
14160,10645
14154,10831
14156,10763
14154,6730
14154,10826
14057,9750
14156,6682
14154,6740
14154,6748
14155,10810
14156,10779
14154,6745
14156,6697
14156,10794
14156,6693
14156,10787
14166,10477
14154,6754
14154,10850
14154,6768
14157,10771
14154,10861
14155,10831
14157,10769
14154,6761
14156,10795
14155,10826
14154,6776
14154,6773
14154,6771
14154,6769
14156,6722
14057,9788
14155,10847
14156,6720
14158,6653
14158,10763
14163,12656
14154,6789
14157,6697
14155,10852
14154,6787
14155,10853
14154,10884
14155,6754
14156,10819
14156,10820
14163,12664
14156,6737
14163,12662
14156,6733
14163,12661
14157,6703
14155,10861
14155,6762
14163,12658
14156,10828
14163,12659
14156,10842
14156,6743
14154,10902
14158,6682
14156,6742
14157,6722
14156,6751
14156,6752
14156,6749
14156,6747
14158,10795
14155,10889
14157,6728
14156,10856
14155,10884
14164,12653
14156,6758
14157,6727
14155,10885
14156,6755
14156,10851
14157,6738
14164,12666
14156,6766
14156,10862
14156,6764
14157,6733
14157,6747
14156,6778
14156,10874
14156,6775
14157,6745
14155,10900
14157,6742
14156,10870
14156,6772
14156,10881
14156,6785
14157,6755
14158,10820
14160,6659
14158,6722
14158,6720
14156,6782
14156,6779
14157,6748
14156,6780
14157,6749
14165,12658
14158,6732
14165,12656
14156,6791
14155,10919
14157,6761
14158,6728
14156,6788
14156,10898
14157,6771
14165,12664
14157,6769
14157,6766
14165,12662
14158,6733
14157,6764
14158,6747
14157,6776
14057,9874
14156,10901
14154,10961
14158,6742
14157,6784
14157,10881
14158,6751
14158,6752
14158,6749
14156,10908
14171,10454
14154,10982
14156,10917
14154,10980
14158,10856
14156,10915
14160,10805
14155,10961
14156,10930
14158,6772
14154,10992
14155,10958
14156,10925
14163,10720
14156,10937
14158,6778
14154,10995
14158,6787
14156,10946
14167,12653
14158,10881
14158,6785
14155,10985
14158,10889
14154,11013
14157,10919
14161,6697
14155,10992
14167,12666
14167,12665
14154,11017
14167,12663
14160,6743
14156,10964
14156,10977
14168,12649
14155,11005
14160,10870
14168,12666
14165,10720
14057,12021
14156,10998
14057,9982
14169,12654
14162,6728
14161,10852
14155,11039
14155,11042
14156,11022
14154,11096
14166,10722
14154,11091
14154,11089
14057,12048
14170,12650
14170,12661
14154,11108
14156,11043
14156,11056
14156,11054
14155,11096
14156,11066
14155,11108
14156,11076
14156,11087
14154,11155
12043,11071
14158,11043
14172,12659
14156,11122
14157,11084
14154,11178
14156,11127
14155,11155
14160,11013
14158,11076
14156,11145
14155,11177
13291,11332
14156,11141
14156,11154
14156,11151
14156,11149
14057,10134
14174,12660
14155,11199
14154,9179
14156,11172
14154,11247
14156,11192
14169,10789
14169,10786
14162,11013
14154,11260
14156,9150
14156,11206
13291,11394
14154,11280
14156,11216
14157,11192
14156,11222
14154,11284
14155,9205
14156,9174
14156,11234
14155,11260
14155,9210
14156,9194
14155,9220
14155,11266
14156,11236
14155,11280
14169,10847
14157,11216
14155,11276
14156,11257
14156,11255
14157,9177
14156,11254
14156,9214
14155,9257
14155,9255
14158,11206
14155,9265
14155,11313
14156,11279
14156,9229
14155,11309
14156,11278
14158,11216
14156,11287
14157,11256
14157,11257
14154,9300
14158,9174
14155,9280
14156,11295
14154,11358
14156,11293
14156,11294
14154,11354
14057,10278
14156,11305
14156,11303
14155,11332
14154,9327
14155,11344
14156,9263
14057,10283
14157,9229
14154,11370
14156,9274
14164,11071
14157,11287
14154,9332
14156,9268
14154,9330
14156,11316
14156,9282
14156,9279
14155,11356
14156,9276
14156,11337
14156,9288
13291,11525
14154,9348
14154,11394
14154,9346
14161,11177
13291,9489
14155,9327
14156,11341
14158,9229
14157,11309
14161,11199
14156,9303
14157,9273
14157,11316
14155,9330
14154,11423
14156,11359
14155,9353
14155,9349
14156,9316
14155,9347
14156,11378
14156,11376
14156,9324
14156,11380
14156,11393
14155,9372
14157,11359
14156,11388
14156,11401
14156,9357
14154,11468
14156,9355
14156,11417
14161,11260
14154,9428
14159,11332
14156,11433
14156,9381
14156,9393
14162,11256
14155,11473
14156,9392
14155,11468
14171,10985
14156,9400
14156,9397
14156,9395
14057,10427
14156,11466
14156,9416
14057,10432
14155,9450
14156,11467
14156,11482
14155,9459
14157,9410
14154,9501
14154,9498
14156,9449
14157,11467
14155,9478
14156,9447
14175,10906
14155,11525
14156,11491
14155,9488
13291,9649
14155,9489
14156,9458
14158,9393
14155,9486
14156,9456
14154,11563
14158,9392
14157,11471
14161,11344
14169,11096
14156,9452
14156,11507
14160,9349
14156,9471
14156,11519
14155,9498
14158,11466
14160,9353
14154,9537
14155,11554
14156,3340
14162,9310
14157,9463
14157,11518
14157,9471
14154,9561
14154,9576
14154,9571
14156,9507
14156,11556
13291,9699
14156,9515
14155,9561
14165,9248
14156,9526
14156,9524
14166,11275
14156,11581
14158,9471
14155,9576
14154,9608
14156,9546
14158,3340
14157,9512
14057,10565
14158,9482
14155,9572
14155,9571
14156,11602
14158,9499
14156,9560
14156,9570
14156,9568
14158,11554
14163,11395
14155,9608
14154,11687
14155,11651
14154,9647
14155,9612
14156,11627
14157,9560
14156,9592
14156,9589
14154,9649
14157,9570
14156,9598
12043,9565
14160,9486
14154,9680
14169,9210
14154,11735
14154,11736
14165,11395
14154,9683
14169,11266
14156,11670
14155,9664
14154,9696
14156,11680
14156,11675
14156,9627
14154,9704
14157,9608
14154,11749
14156,9640
14157,11654
14154,9699
14154,9711
14155,9680
14157,9615
14156,9646
14154,11753
14156,9643
14156,9658
14156,9655
14155,11735
14155,9696
14154,9728
14156,9666
14156,11711
14156,11712
14156,9662
14155,9704
14155,9703
14155,9698
14156,11716
14154,9730
14155,9711
14156,9678
14157,9647
14163,9469
14155,9728
14158,9640
14156,9712
14171,11293
14156,9721
14156,11769
14154,9781
14154,9789
14158,9666
14154,9788
14156,9738
14160,9612
14155,9764
14156,11793
14154,9804
14155,9773
14156,9753
14155,9782
14165,9469
14154,9810
14155,9788
14155,9789
14154,9832
14156,9768
14154,9825
14156,11812
14156,9778
14154,9838
14155,9804
14160,9649
14164,9524
13291,12011
14156,9772
14154,9848
14155,9810
14160,9666
14156,9787
14154,9849
14155,9832
14155,9833
14160,9678
13291,12038
14156,9798
14160,9683
14157,9775
14155,9848
14155,9849
14155,9847
14156,9816
14156,9811
14160,11749
14165,9545
14154,9884
14057,10855
14156,9829
14154,9900
14169,11480
14162,9649
14160,9711
14156,9836
14155,9877
14155,9874
14169,9459
14158,9811
14154,9936
14156,9869
14155,9900
14156,9882
14156,9878
14156,9875
14154,12000
14154,9950
14162,9711
14154,12008
14154,12003
14158,9829
14167,9565
14154,12016
14156,9903
14154,12011
14156,9899
14154,9962
14156,9912
14156,9908
14161,9764
14157,9884
14154,12025
14155,12008
14156,9929
14156,9930
14156,9927
14154,12038
14166,11662
14155,12016
14168,9565
14160,9811
14156,11984
14158,9871
14155,9965
14155,9962
14156,11994
14156,11992
14156,9941
14155,12032
14156,12002
14155,9985
14155,9982
14156,12007
14160,9836
14156,12006
14156,12017
14156,9970
14156,12015
14157,11984
14156,12013
