dedicated_to_1,dedicated_to_2
3795,6325
9000,6638
12093,7774
6711,8218
4169,7794
8294,6770
4202,3569
4294,8275
2486,6980
7822,6687
5579,314
8394,3424
6687,7822
5533,4049
3286,7661
2076,6007
8068,5343
3795,3796
7759,7893
4294,7661
3796,6980
8312,7659
2459,7855
12939,8218
8394,9468
4169,7969
8779,6638
1865,3496
8271,8046
8169,7758
8394,7826
12289,6007
8104,8382
6735,8322
5930,7939
8104,8257
8394,7848
8066,3424
8779,8322
8346,7795
5750,5333
7946,7024
8382,6687
4294,9523
9088,6185
8779,7956
8135,8343
7848,3424
7904,8092
