written_by_1,written_by_2
2496,3585
1698,3748
5583,4146
3001,4321
5295,6936
2282,6129
5295,6935
2650,7011
5647,4218
1553,4161
1584,5253
2229,3693
2295,3695
3009,6141
5647,4236
5647,4235
2711,3095
1981,3196
2061,716
2744,12316
1695,3875
2950,3889
1837,5626
2884,3889
2919,6905
2493,7825
2752,7988
1966,3681
6240,6356
2114,5240
2358,3822
5864,3681
2955,5794
2414,6181
2808,6255
5986,6047
2495,5722
2565,3552
2422,7988
6254,3881
2313,3179
2394,6811
2676,4213
2943,6181
2328,6814
6177,4228
2456,6946
5408,1447
2616,4042
1695,5970
2232,3661
2983,7006
2349,4139
2949,3970
3076,12326
5935,5614
1816,6332
2079,4325
2079,4324
1727,7047
3011,8205
1709,7613
2688,3889
2103,3596
1532,6963
2373,3420
2759,7841
2292,7988
5602,3681
2973,5313
6052,8174
2879,12326
3074,6286
1908,3522
6228,6822
2949,4020
5302,6856
1572,7802
2062,6950
2762,7777
2681,4146
1695,3994
1644,3532
2942,4255
2552,8159
2105,3587
5302,6878
2638,3450
2105,3588
5795,3892
2631,3674
5394,4038
5275,5684
5538,3674
1580,3496
2240,7613
2390,7061
2504,3532
3017,4023
2878,8339
5930,7939
5879,3376
2527,6937
1913,5490
2245,3393
2824,3880
5302,6933
5792,4038
5995,3892
6137,3587
6196,7900
2711,3297
3027,5796
2788,7061
2501,3674
2528,6936
1654,3317
2962,7825
3012,6282
2383,3255
5674,5684
2255,3129
2613,8414
2569,5684
2753,8174
2421,6181
1905,7841
1824,4213
2789,7066
1695,4119
2225,6129
2152,4302
2964,3708
2152,4303
2964,3707
1606,6901
2223,4161
2505,7713
1586,3434
2682,8371
2086,4321
1764,4066
5928,4004
6132,3834
5954,5256
525,3570
2628,8011
3078,6355
2623,6129
5618,3393
2307,5684
2667,6814
2906,3501
2430,3921
1644,3716
1527,1201
5330,4144
2201,6937
2125,3151
2177,3587
5357,3309
5882,3418
2002,6965
2967,3674
2956,4020
1895,4144
6338,5679
1773,3834
2302,3822
2090,4251
1766,4056
5273,3881
2234,5933
2770,3657
2793,7047
6258,8174
1969,5969
1901,3981
1848,5624
2447,5490
5669,8011
2895,7988
2835,7802
5735,5969
1560,4324
1560,4325
2375,5684
1989,3317
1910,5768
2296,4042
2362,4046
1806,6946
2796,831
6316,8447
2891,4038
1779,7792
717,3851
1778,7825
717,3852
2120,3376
2573,3669
1582,5719
2798,6937
2423,4231
5546,3674
2496,6069
1562,4311
1925,3300
