position_s_1,position_s_2
12880,13461
12880,13459
12880,13457
13474,13475
12880,13458
8373,13910
12880,13456
13144,13464
13343,13452
13475,13456
12880,13470
13343,13453
13475,13457
12880,13467
13475,13453
12880,13463
12880,13464
13475,13464
13343,13461
13343,13458
13475,13462
13343,13459
13343,13456
13343,13457
13343,13454
12382,4336
13475,13459
13343,13467
13343,13464
13475,13468
7728,13453
13343,13462
13343,13463
7728,13462
13475,13474
13476,13457
13476,13456
13476,13453
7728,13467
7728,13474
13014,13452
13476,13464
13476,13461
13476,13459
7728,13475
13014,13459
12750,13452
13014,13460
13014,13457
13014,13458
13014,13456
13014,13453
13476,13468
13014,13454
8168,14178
13014,13467
13014,13468
12750,13457
13014,13465
13014,13463
13014,13464
12750,13456
7838,14179
12750,13453
13014,13461
7838,14178
13014,13462
12750,13454
13477,13458
13477,13459
8288,4332
13477,13456
13477,13457
13477,13454
8222,4332
13477,13452
12750,13462
13014,13470
13477,13453
13477,13467
12750,13473
13477,13464
13477,13462
7707,14177
7707,14179
13478,13456
13478,13464
7959,4332
13478,13461
7959,4336
13478,13473
13478,13470
13479,13456
12452,4332
8303,14180
8303,14182
13348,13457
13348,13458
13348,13456
13348,13453
13348,13454
8291,4332
13348,13452
13480,13456
12952,13453
12952,13454
13348,13463
12952,13452
13348,13464
13348,13461
13348,13462
13348,13459
13348,13460
12952,13461
12952,13462
12952,13459
12952,13460
12952,13457
5817,13462
12952,13458
13348,13467
12952,13456
12952,13467
12952,13463
12952,13464
13481,13456
12953,13454
12953,13458
12953,13456
13481,13473
12953,13457
12953,13468
12455,4332
12953,13464
13482,13464
12888,13454
12822,13452
5753,13454
12822,13459
12822,13460
12822,13457
12822,13458
12822,13456
12822,13453
12888,13456
12822,13454
12822,13467
13417,13454
5753,13464
12888,13468
12822,13463
12822,13464
12822,13461
12888,13464
13285,13458
13417,13462
13285,13456
13285,13457
13417,13458
13285,13454
13417,13456
13417,13457
13285,13453
13021,13458
13021,13459
13417,13468
13021,13456
13021,13457
13285,13462
13021,13454
13021,13453
13021,13467
13021,13464
12691,13453
12691,13464
12691,13458
12691,13467
13022,13459
13022,13457
4301,13468
13022,13456
13022,13453
13022,13467
13022,13465
5996,14180
13022,13464
13022,13461
13353,13454
13353,13452
13353,13453
13353,13462
13353,13463
13353,13460
13353,13458
13353,13456
13353,13457
13353,13467
13353,13464
13353,13465
8177,14179
537,13464
13090,13456
13090,13453
13222,13457
13090,13454
13222,13458
13090,13452
13222,13453
13222,13454
12261,4334
13090,13463
13090,13464
13090,13461
13090,13462
13090,13459
13090,13460
13222,13464
13090,13457
13090,13458
13222,13462
13090,13470
13090,13467
13090,13468
12893,13458
12827,13456
12827,13457
12893,13459
12893,13456
12827,13454
12893,13457
12827,13452
12893,13454
12827,13453
12893,13452
12893,13453
12827,13464
12893,13467
12893,13464
12827,13462
12827,13463
12827,13460
12893,13463
12827,13461
12893,13460
12827,13458
12827,13459
12893,13461
7836,4349
12893,13473
12827,13467
12395,4332
7771,4332
12828,13456
12828,13453
7741,13459
12828,13454
12828,13452
7741,13456
7741,13462
7741,13461
12828,13464
8366,4332
12828,13461
12828,13462
13357,13458
13357,13459
13357,13456
13357,13457
13357,13454
8300,4332
13357,13452
12828,13467
8270,13455
13357,13453
12828,13468
13357,13467
13357,13464
13357,13462
13357,13463
13357,13460
13357,13461
7728,13900
13160,13453
13160,13454
7728,13904
13160,13452
13160,13462
12830,13452
7728,13913
13160,13459
13160,13460
13160,13457
13160,13458
13160,13456
12830,13459
12830,13460
13160,13470
12830,13457
13160,13467
12830,13458
7773,4332
12830,13456
12830,13453
13160,13463
9659,13453
12830,13454
13160,13464
12830,13467
13425,13454
13425,13452
13425,13453
12830,13463
12830,13464
12830,13461
12830,13462
13425,13462
12332,4336
13425,13460
13425,13458
13425,13459
13425,13456
12830,13470
13425,13457
13425,13467
13425,13464
13425,13475
12399,4336
11938,4332
13032,13453
13098,13456
13032,13454
13098,13453
13032,13452
13098,13452
12401,4336
13032,13461
12900,13457
12702,13452
13032,13462
13098,13464
12900,13458
5831,13457
12966,13457
13098,13461
13098,13462
12900,13456
13032,13457
12900,13453
13098,13459
5831,13460
