conflict_1,conflict_2
59,13596
11819,13584
92,13602
11819,13580
11950,13625
92,13604
11819,13587
92,13611
11819,13601
10993,13606
126,13587
10993,13602
141,13127
27,13591
10993,13608
11819,13605
10993,13611
61,13569
126,13605
61,13572
193,13577
59,13641
193,13584
11126,13611
193,13587
11920,13567
11126,13608
61,13587
110,13094
109,13127
194,13568
193,13601
61,13600
193,13605
61,13601
11920,13586
61,13610
6734,13593
13637,13626
194,13586
194,13589
61,13620
194,13594
194,13596
13637,13630
61,13627
195,13571
195,13572
61,13630
195,13575
95,13604
195,13576
195,13577
195,13580
194,13614
195,13584
13639,13596
195,13591
95,13619
9213,13592
111,13127
45,13127
12,13127
9213,13589
195,13601
195,13607
11361,13570
11361,13582
11361,13579
195,13618
11361,13589
195,13620
97,13590
13640,13605
195,13626
11361,13592
11361,13604
97,13616
13642,13568
6705,13569
11361,13619
132,13569
132,13573
97,13636
10866,13620
11361,13645
97,13646
13642,13596
13642,13606
132,13600
16,13104
13642,13614
132,13607
13642,13611
132,13610
13642,13622
198,13621
34,13593
13578,13576
66,13626
34,13600
6706,12593
35,13574
13643,13633
11498,13568
51,13094
6706,13638
166,13631
11498,13575
133,13631
35,13600
12784,13653
11498,13584
11498,13577
6676,13569
13330,13127
118,13094
11631,13573
52,13094
11631,13572
117,13127
84,13127
51,13127
11498,13596
11631,13569
135,13597
6676,13582
11498,13605
11498,13608
35,13630
11498,13602
13613,13572
12721,13590
11498,13614
6643,13593
6676,13593
11498,13611
11498,13622
9286,13582
135,13621
118,13127
52,13127
9286,13592
170,13569
11631,13610
170,13571
170,13573
13613,13607
11631,13609
11631,13618
13647,12565
170,13580
170,13582
11631,13627
6744,13569
170,13587
9286,13619
6777,13575
11631,13623
13647,13593
6777,13577
170,13596
170,13600
13648,13568
6777,13587
12721,13646
39,13568
11831,12565
11631,13644
11864,13584
11631,13641
13648,13589
9189,13577
170,13621
39,13589
170,13626
6777,13609
13583,13571
13583,13580
13648,13614
6777,13623
39,13602
13583,13576
13583,13575
39,13606
39,13608
13583,13584
39,13611
39,13614
6679,13600
13617,13570
13583,13601
6777,13644
41,13569
6,13630
8,13572
8,13575
8,13577
13650,13600
8,13587
13617,13592
24,13094
89,13127
23,13127
13651,13572
141,13569
140,13600
108,13569
75,13569
141,13571
141,13572
108,13571
141,13573
108,13572
141,13574
12907,13094
108,13574
141,13575
141,13576
141,13577
75,13576
141,13580
141,13581
108,13580
141,13582
8,13610
13585,13586
141,13584
108,13584
141,13587
108,13587
141,13591
8,13618
13585,13594
24,13127
141,13597
13651,13607
141,13600
141,13601
108,13600
109,13569
108,13601
41,13630
141,13602
141,13605
141,13606
13617,13645
12907,13127
108,13607
141,13611
12496,12565
13652,13587
141,13620
141,13621
108,13620
141,13622
108,13621
190,13127
92,13094
141,13625
141,13626
108,13626
13652,13609
108,13630
176,13571
141,13644
6684,13569
92,13127
110,13593
6684,13577
59,13127
77,13593
6750,13577
111,13569
45,13573
13588,13586
13588,13582
13588,13594
13588,13589
176,13620
12,13587
111,13593
6684,13609
13588,13596
176,13631
13654,13612
78,13600
45,13600
13588,13604
13655,13589
13588,13614
6684,13623
177,13616
45,13619
127,13127
61,13127
178,13600
78,13630
6684,13644
177,13636
6786,13571
6786,13576
6654,13569
6786,13573
6786,13580
6786,13577
6786,13584
178,13630
6654,13577
6786,13587
13624,13589
6655,13569
6786,13601
6786,13605
12501,12565
6654,13607
6654,13605
16,13567
6654,13615
13658,13582
6786,13627
13624,13619
6655,13600
13656,13657
6655,13609
6655,12593
50,13569
6655,13615
50,13577
6655,13623
10257,13582
16,13612
6655,13626
6655,13630
6655,13641
51,13567
6655,13644
117,13569
150,13571
84,13569
117,13571
150,13572
51,13569
117,13573
150,13575
51,13572
150,13576
