honored_for_1,honored_for_2
2947,5995
7311,1783
5706,2385
4138,1842
1528,834
5586,6106
7359,298
3575,2920
3576,2889
4112,2663
3658,359
483,482
7361,258
7804,2908
7361,256
5586,6137
7361,269
6255,1792
7311,1822
3081,1884
8365,1919
436,1963
6137,5459
4138,1895
7361,287
7317,1650
7361,285
1019,289
7361,298
2948,6029
3604,2083
316,5711
1908,5515
1006,711
3597,2311
3105,1182
2549,2034
3104,1217
2549,2038
7311,1877
3077,2056
4144,1748
7361,324
7361,331
7361,334
3604,2113
3135,271
3077,2068
3612,1869
973,1760
3575,3020
2947,6106
7351,654
7351,661
4131,2174
4105,2987
952,2424
450,1603
1500,1822
7361,359
7359,419
3585,2726
3595,2418
7823,2422
1370,5864
4118,2600
3596,2397
7324,1522
7324,1520
7321,1613
2947,6137
1495,1999
7361,377
7361,387
3475,6164
5731,1772
3590,2605
3580,2925
3618,1750
3590,2619
6137,5586
971,1893
7361,408
7318,1748
8420,355
3578,3005
1495,2043
6260,1784
3083,1968
7361,433
6239,2457
1390,5319
3096,1588
7361,445
1001,1000
3077,2182
1026,234
5733,1775
3601,2337
4137,2105
7361,471
7359,531
492,419
7349,847
3095,1646
3096,1615
7359,536
7324,1620
3096,1622
1502,1884
7361,482
1023,357
7825,2493
4135,2200
4007,6166
7327,1556
3620,1786
4117,2760
7318,1837
4144,1934
3097,1622
1390,5394
7317,1886
5694,3045
3105,1389
6255,2049
7317,1896
3643,1107
4192,471
7372,201
1500,2011
418,2787
7319,1846
7361,544
7328,1572
4192,489
7825,2555
6137,5733
3095,1735
7361,563
1010,834
3083,2110
982,1710
7327,1622
6137,5744
7372,234
4149,1841
7372,238
1009,882
1495,2203
4157,1601
5714,2491
7372,250
7321,1835
7327,1646
7372,258
1030,250
3590,2819
7372,269
3137,482
3590,2826
7372,273
3590,2827
7372,285
6802,1569
7321,1868
3656,802
7372,298
3077,2371
3138,482
3096,1783
416,2944
440,2202
3590,2855
495,498
4200,334
4124,2690
6137,5821
7361,654
7361,656
3590,2876
3096,1805
6137,5842
7372,324
7324,1818
5726,2202
440,2230
7372,334
7312,2194
4144,2098
4134,2405
3599,2608
7372,331
3096,1826
2040,1795
4038,5394
4124,2731
8368,2240
3092,1962
3599,2630
7372,357
3590,2912
7361,697
444,2136
7361,700
7361,711
1028,424
7372,368
3090,2044
7372,377
979,1959
3593,2853
7372,397
7371,427
3143,427
2034,2038
3600,2643
3668,538
5733,2056
7855,1810
3615,2180
4144,2169
3601,2621
7372,408
6137,5931
5733,2068
8420,693
4142,2246
7372,419
1035,265
4139,2349
7313,2257
3144,427
7372,433
1028,489
3669,538
4131,2605
3508,5536
3604,2564
8368,2339
7855,1854
8410,1033
7742,5363
7361,788
5218,1691
4143,2246
3590,3008
3626,1895
4167,1513
4119,3001
5744,1775
4161,1702
7372,464
7318,2138
5726,2338
4204,372
7333,1681
992,1646
6137,5995
7372,482
3672,491
444,2260
7330,1786
6239,2838
1488,2667
7372,489
7359,890
3092,2100
1013,1012
7371,524
1017,890
3149,334
5722,2495
3135,772
7338,1555
8392,1659
6261,2183
3091,2152
4032,5751
6802,1801
2038,2034
3135,794
5733,2182
4039,5545
3634,1713
5622,5621
1390,5745
3136,772
7321,2111
2559,2275
3637,1629
5218,1770
3634,1723
2459,5382
1039,252
3634,1743
982,2037
3094,2101
3635,1723
7372,563
1478,3061
3677,431
7321,2152
2049,1748
3621,2174
3635,1743
3095,2101
3154,271
6137,6106
511,289
7317,2301
4017,6302
4137,2582
7338,1656
3093,2178
7327,1994
2011,2959
4151,2157
4143,2408
3096,2100
5220,1794
998,1603
7825,2962
6814,1548
2037,2179
8436,431
7328,2010
7324,2133
7823,3052
7339,1679
7372,666
5259,630
3611,2569
7317,2375
7361,1008
992,1843
500,711
3644,1551
4139,2591
1043,265
7339,1699
2559,2424
8368,2568
507,506
514,289
3624,2188
7371,720
992,1862
7361,1033
7855,2109
1041,349
982,2179
440,2599
7372,700
8384,2096
6164,5387
4132,2850
5733,2371
5626,5686
2554,2615
516,265
982,2209
7324,2218
2459,5579
3157,329
3632,1988
7333,1951
4038,5792
7371,772
5744,2056
995,1822
3084,2599
4131,2913
3102,2044
3143,772
1004,1551
5744,2068
8444,291
7319,2402
1411,5330
7371,794
7845,2491
1489,2917
3158,329
3119,1540
3085,2599
3144,772
7317,2483
3672,794
3608,2780
1038,531
7317,2489
5724,2720
1495,2750
3627,2201
7742,5709
5224,1853
2459,5647
3524,5399
7372,800
7317,2511
7311,2696
8371,2602
3072,3036
4144,2574
2037,2360
2549,2872
1002,1679
3612,2692
2056,1775
5750,1950
3628,2199
4049,5533
4056,5319
3606,2889
3637,1939
5745,2125
3117,1681
518,334
3629,2199
8443,431
3163,271
7333,2074
5744,2182
2549,2929
6276,2081
3077,2947
5750,2012
3139,1033
7313,2716
8368,2788
7317,2597
3506,6051
4146,2599
4149,2506
7321,2487
523,234
2034,2549
3140,1033
6261,2590
4157,2298
7371,968
7747,5695
3611,2841
7395,238
7321,2532
5215,2296
8408,1622
6255,2829
5616,6254
3081,2920
7317,2678
7324,2466
1009,1621
3635,2136
5224,2034
4146,2681
7395,273
5224,2038
4161,2223
3168,238
7338,2042
1054,240
7344,1862
7328,2357
3649,1719
7395,285
2049,2169
518,482
7353,1595
3164,379
4143,2798
3117,1843
2476,5330
8413,1514
7395,298
3655,1560
7353,1608
8412,1548
7395,311
7395,317
8395,2088
2042,2420
3117,1865
4223,349
893,5273
7372,1033
3165,379
7340,2023
527,238
3093,2613
3651,1699
2038,2549
7395,331
3621,2638
6800,2391
5224,2099
7395,334
7327,2449
3963,8432
7399,221
5744,2371
5647,5382
3657,1540
4177,1805
7395,357
8371,2866
8252,6557
1021,1347
3096,2564
7339,2105
7395,368
3655,1622
3621,2676
7317,2795
7395,377
3964,8432
7372,1094
8412,1626
7313,2920
7399,254
6830,1514
4151,2648
4157,2462
7349,1816
3154,794
979,2683
8406,1828
2056,2068
6815,1994
7395,408
7324,2613
1497,3026
7337,2208
7333,2339
7399,291
7395,419
3084,2989
7399,298
7395,429
3657,1621
7395,433
7318,2819
7395,431
3117,1981
1500,2959
3143,1182
7333,2369
7372,1159
7330,2461
1034,1033
7353,1752
3654,1737
3612,3041
7853,2646
4145,2910
3647,1963
1001,2069
3658,1621
7344,2044
1018,1544
460,2466
4157,2548
3143,1217
7856,2567
7327,2582
7338,2241
4144,2958
2068,1775
7313,3020
3095,2711
7395,482
3651,1862
488,1613
3131,1603
7324,2693
3672,1217
7330,2505
490,1558
6815,2099
7344,2083
3703,271
8408,1877
6282,2241
7399,387
2056,2182
7353,1812
451,2787
7319,2876
7333,2441
2034,2872
7351,1896
3637,2342
3117,2084
5647,5579
1060,326
7406,209
3095,2782
7328,2633
7333,2478
7395,563
8460,317
451,2841
3620,2908
3177,258
5733,2947
3173,387
4146,2989
2485,5330
1059,387
2034,2929
1932,6093
7353,1887
4053,5886
488,1716
3524,5908
3699,482
7354,1871
5233,2090
3528,5792
8392,2476
7338,2378
3651,1993
8419,1646
7353,1923
5218,2569
3618,3022
1421,5592
7333,2547
3624,2835
5768,1910
1421,5597
7372,1340
3156,968
3651,2012
3164,725
7318,3025
3162,794
4167,2408
7371,1389
3174,424
2038,2872
5731,3079
3619,3022
3125,1952
895,5548
8408,2027
3709,238
535,334
4164,2526
7399,544
529,524
979,2959
7364,1633
3163,794
6811,2394
8419,1698
3165,736
6266,2910
7363,1670
7327,2793
992,2570
2590,2183
7319,3045
7371,1433
3707,339
7395,700
7364,1661
4187,1842
7409,265
5783,1519
2038,2929
2056,2371
488,1829
7409,269
8452,711
5733,3077
454,2889
5752,2491
1010,2044
7409,287
8451,758
6835,1699
8418,1778
7399,604
3708,339
7409,298
6830,1868
3094,2993
3141,1545
7340,2454
8424,1620
3098,2890
2068,2056
7409,329
3096,2961
2489,5394
6811,2489
8412,2004
7409,334
7338,2534
7363,1758
532,531
8415,1925
3119,2259
1048,930
5224,2549
7409,357
1950,5750
4065,5730
3651,2179
8408,2174
3626,2960
4172,2416
7409,377
7359,1927
7363,1809
8406,2240
6160,6338
7414,234
3141,1628
992,2718
3107,2691
7395,834
1057,711
7409,408
8419,1868
4065,5776
3637,2662
1072,258
3662,1892
7414,265
526,806
7338,2626
1556,1646
8419,1884
7343,2480
7361,1927
7409,437
5232,2397
1069,379
1016,2023
2068,2182
7855,3006
4196,1748
3651,2270
3543,5618
3141,1699
992,2786
4081,5337
7361,1971
4197,1748
5744,2947
7333,2846
7409,489
3107,2787
537,536
540,445
7399,806
7351,2301
3661,2003
8419,1957
8427,1721
7354,2214
8412,2193
4177,2407
8417,2035
3174,736
7409,531
3635,2839
1537,2340
488,2094
7406,630
7409,536
7339,2711
7409,547
7879,2358
7363,1970
3717,315
7337,2787
3182,524
7333,2913
539,538
7409,561
3637,2809
7339,2735
6884,455
7399,882
7351,2375
6843,1738
5240,2289
3677,1588
7338,2787
7353,2321
3183,524
6320,1586
7395,1033
7362,2054
3125,2335
4167,2798
4183,2302
551,209
6814,2667
7344,2621
7367,1908
6892,252
8411,2321
5744,3077
3660,2147
6818,2554
8472,433
4160,3036
992,2945
3107,2920
4181,2399
7344,2648
5265,1567
7414,482
8419,2093
7409,643
2068,2371
2578,2948
4252,209
3661,2147
1067,654
7409,661
7395,1094
7344,2681
7395,1105
5224,2872
8422,2037
5265,1607
2086,1849
3194,271
6847,1719
7409,685
7351,2483
3664,2096
7414,536
4252,254
7422,291
7409,700
7409,711
7406,806
3680,1629
5224,2929
4208,1656
8439,1573
1071,602
3549,5705
3661,2232
1078,387
8428,1920
3640,2889
3654,2457
2084,1981
7372,1896
3679,1692
545,544
7409,758
6815,2787
3153,1622
3657,2385
1075,506
4252,329
3696,1182
1082,302
7384,1548
3719,482
7372,1927
6322,1713
4183,2487
5754,2943
7422,387
8431,1873
7338,2989
1017,2337
995,3022
6810,2982
7409,800
6830,2375
3674,1915
7414,661
5834,496
7422,424
4258,215
3564,5344
3118,2787
6282,3012
7367,2144
2056,2947
5224,3043
7409,851
7338,3052
7340,2990
3654,2567
5253,2157
7364,2260
3119,2787
4196,2169
4084,5643
551,482
7344,2894
5245,2424
5244,2456
3141,2116
7351,2678
2621,1862
7344,2909
3145,2009
7364,2294
1089,209
4206,1892
7917,1544
488,2478
4252,489
3127,2599
4252,498
3730,298
3663,2375
510,1817
3117,2922
7917,1583
5684,5275
3128,2599
3141,2200
7380,1865
2587,2990
5268,1809
4252,538
1052,1433
3696,1389
2056,3077
8442,1723
3145,2095
6377,215
1085,431
7917,1632
5780,2344
8418,2493
8414,2613
505,2042
3569,5363
1016,2588
7348,2908
5768,2741
1016,2596
8415,2599
6821,2865
7435,215
6844,2157
3674,2121
5243,2640
3680,1939
4191,2485
3655,2716
7362,2491
8428,2218
8448,1593
3733,315
8422,2418
7351,2853
7435,252
1035,2044
8413,2707
3694,1538
1093,250
6377,291
7349,2925
4212,1868
3664,2476
3207,258
1005,2985
505,2101
8418,2555
3679,2015
8428,2256
8416,2628
6377,300
3673,2206
7363,2513
3568,5474
3564,5598
6377,319
7435,289
6377,317
7389,1713
5232,3051
8415,2681
488,2665
3674,2206
3167,1538
478,2981
2105,1699
5237,2909
3151,2042
8433,2138
7380,2015
7437,258
3186,968
7435,319
560,455
4218,1748
7435,324
3647,3077
3700,1433
3657,2770
1017,2694
6377,372
6377,379
3667,2466
7409,1159
8445,1806
3667,2479
6824,2917
3141,2403
8441,1938
4203,2252
3730,536
3210,271
4183,2880
5241,2850
1089,498
5315,563
4202,2305
8428,2378
7437,324
6830,2764
3029,5905
4212,2002
3569,5548
3151,2125
6332,1816
1052,1661
7397,1573
6860,1835
3211,271
3731,536
3145,2323
