service_location_1,service_location_2
12187,127
12183,9467
12884,13338
12685,51
6772,51
12742,10568
9875,117
9313,141
13044,190
12816,90
12742,11597
6674,29
12742,9550
6674,35
12157,51
12190,51
12901,6679
12187,141
12719,5150
6674,41
12816,108
6773,51
12816,117
6674,51
12852,13338
6707,51
12719,51
12884,51
12717,108
12851,51
12816,126
12685,89
12183,8484
12901,6700
12717,117
13215,51
12816,132
12187,170
12816,127
12685,92
13380,51
12816,141
12984,51
6807,51
10771,51
12852,51
12685,108
6674,86
12819,51
13346,110
3141,51
12159,51
12911,8484
12816,170
6674,110
12685,132
13051,51
10607,51
12719,117
12685,141
13251,12
12816,183
12852,105
11236,13338
13449,13338
13048,170
12984,117
12788,50
13086,13338
12194,13338
12742,9663
13251,13338
12858,9137
13110,8494
12742,10686
12852,117
12788,51
13251,49
13449,51
13110,8512
13086,51
13053,51
13318,13338
13251,51
12194,51
13219,13338
13380,170
13318,51
12690,61
12922,35
13186,51
12162,51
13219,51
12858,9207
12757,51
12023,9493
12922,51
12788,108
13449,108
12788,117
12984,186
11467,108
12788,127
13449,117
12742,11791
12163,51
13251,117
13251,127
12788,141
13219,92
12690,108
13086,117
4269,51
12858,35
13251,141
13186,117
12164,51
12922,108
13413,10487
13318,117
12922,117
12858,51
12922,127
12858,61
12816,8532
12858,71
13255,51
13318,141
13251,170
6757,11030
12925,51
12922,141
12858,78
3775,51
12187,11660
6715,51
12826,51
13251,186
12183,6684
13380,8488
13413,8485
12858,90
13413,8498
13413,10545
12959,51
12858,110
12858,108
12922,170
12164,117
12861,13338
6650,51
12922,179
12742,9866
12858,126
13044,6644
12023,9637
11309,13338
13413,10575
13162,9137
12894,51
12927,51
1528,141
3775,117
13092,51
12795,51
12925,117
3249,51
11309,51
12911,1585
13292,13338
13061,13338
13153,10487
12858,176
12994,51
12961,51
6718,51
12742,9909
6785,13338
12023,9684
12796,51
10779,117
13044,6700
13358,51
12742,9931
12023,9691
13259,51
11178,51
6785,51
3447,117
13153,8485
1930,51
13327,13338
12994,117
12961,117
13153,8498
13153,10545
12700,13338
4438,141
12961,132
13327,51
13426,51
12858,9467
12994,132
4343,13338
13292,108
13153,10575
12172,13338
12961,141
13162,51
13325,117
12701,13338
13061,127
12700,51
11214,51
12717,1585
14022,51
10982,82
12965,51
13061,141
12701,51
4906,13338
13131,13338
13327,117
13263,51
13061,179
13162,117
12901,12
11017,51
12901,13
13131,51
12768,51
12901,25
6724,13338
6757,13338
13198,51
12901,51
12865,141
6757,51
12742,10094
12742,11129
6724,51
4343,141
12901,52
10490,51
3389,13338
12704,35
11284,13338
6757,75
12871,5095
12768,108
12768,117
12742,11164
12704,51
12901,89
3389,51
13162,186
12901,99
12901,95
12901,92
12023,10929
10128,51
12901,103
11284,51
4906,141
12768,127
12870,51
12768,141
12837,51
6757,108
12969,51
13035,51
12871,13338
6757,117
12738,51
12705,51
12901,117
12788,1585
10460,13338
12901,129
12901,127
12706,13338
6757,135
12742,11211
13234,51
12742,9159
12901,132
12838,51
12742,9172
12871,51
6727,51
12901,141
12901,154
12742,10203
12706,51
13334,51
12742,9188
10460,51
13037,51
13136,51
13035,108
6757,171
12901,167
12922,6684
13235,51
12969,105
12901,179
12872,51
12901,176
3656,51
13035,117
6728,51
13035,127
13035,132
13401,51
12183,9137
12179,51
13035,141
13006,13338
12742,11282
6634,9137
12183,9152
12808,29
12706,117
6763,13338
12742,11286
13270,51
4252,51
13006,51
13072,51
12742,9256
13204,51
13035,170
6763,51
12808,51
12023,10053
13037,117
3295,51
13238,51
12858,1585
13334,141
12183,9207
10100,51
10034,51
12710,51
13107,13338
4350,141
12183,12
12742,11350
12742,10340
12901,11551
13108,13338
12183,13338
12183,29
13204,117
13074,51
12183,23
13140,51
13107,51
12808,117
6634,13338
13110,5095
12183,51
12183,52
12808,127
12808,141
12976,51
12943,51
13009,51
6634,51
10128,8476
13074,92
13074,89
12742,11405
13110,12
12742,10392
12742,11428
12184,51
12183,78
13044,12
12777,110
12878,51
12742,11435
6634,75
12183,90
13044,13338
13074,117
12911,50
12183,92
13074,127
12183,95
12742,176
12742,11438
12183,108
13074,132
13110,51
12152,51
13074,141
13375,13338
12742,10431
12183,110
10831,51
13111,13338
10128,10582
13044,52
12911,90
12742,10449
12183,127
12183,126
13044,59
12183,141
13375,51
13277,13338
13111,51
12184,117
13177,51
13276,51
12690,10025
13074,170
6769,51
12911,110
13044,84
13044,97
8421,51
12742,9454
13044,92
13277,51
12183,170
13376,51
12742,11512
10206,13338
12911,141
12187,51
12183,176
12782,51
12023,13338
3698,51
12914,51
13044,118
12183,9401
13110,117
13044,127
13110,127
12717,35
13177,108
12187,75
4029,51
13044,132
13177,117
13044,141
12155,51
12742,11549
13110,141
13177,126
12717,51
6738,51
12816,51
12911,176
12187,90
9447,51
13044,170
13110,170
13177,141
13277,110
12901,6644
12187,117
12023,10320
13277,117
