type_of_union_1,type_of_union_2
3424,7586
1310,7586
3160,7586
253,7590
8181,7586
6331,7586
1046,7586
6067,7586
7917,7586
3689,7586
7653,7586
518,7586
5539,7586
3425,7586
6332,7586
8182,7586
4218,7586
6068,7586
1047,7586
1047,7590
6068,7590
3954,7586
783,7586
7918,7586
6861,7590
519,7586
5540,7586
7654,7586
3426,7586
5540,7590
255,7586
3426,7590
6333,7586
8183,7586
3162,7586
4219,7586
1048,7586
6069,7586
3955,7586
5805,7586
7919,7586
3691,7586
520,7586
5541,7586
520,7590
7655,7586
5277,7586
4220,7586
6334,7586
1049,7586
3956,7586
6070,7586
8184,7586
7920,7586
785,7590
3692,7586
5806,7586
7656,7586
521,7586
3428,7586
257,7586
3164,7586
5278,7586
1050,7586
6335,7590
8185,7586
6071,7586
7921,7586
5807,7586
3693,7586
7657,7586
5543,7586
3429,7586
1315,7586
6336,7586
5279,7586
4222,7586
1051,7586
6072,7586
5279,7590
8186,7586
3958,7586
787,7586
5808,7586
6865,7586
7922,7586
523,7586
7658,7586
1316,7586
259,7586
6337,7586
1316,7590
3166,7586
6337,7590
1052,7586
1052,7590
8187,7586
3959,7586
6866,7586
7923,7586
3695,7586
7659,7586
3431,7586
8188,7586
3167,7586
4224,7590
1053,7586
1053,7590
7924,7586
3960,7590
6074,7590
789,7586
7660,7586
1318,7586
261,7586
4225,7586
8189,7586
3168,7586
6339,7586
5282,7586
1054,7586
3961,7586
6075,7586
790,7586
7925,7586
6868,7590
526,7586
7661,7586
1319,7586
8190,7586
5283,7586
3169,7586
6076,7586
5283,7590
3962,7586
791,7586
6869,7586
7926,7586
791,7590
527,7586
7662,7586
3434,7586
527,7590
1320,7586
263,7586
5284,7586
6341,7586
3170,7586
8191,7586
4227,7586
1056,7586
6077,7586
3963,7586
792,7586
5813,7586
7927,7586
3699,7586
5549,7586
7663,7586
5285,7586
4228,7586
6342,7586
3171,7586
1057,7586
1057,7590
8192,7586
7928,7586
3700,7586
6871,7586
5814,7586
7664,7586
529,7586
3436,7586
1322,7586
5550,7590
4229,7586
3172,7586
5286,7586
1058,7586
5286,7590
3965,7586
8193,7586
6872,7586
7929,7586
6872,7590
5815,7586
3701,7586
530,7586
7665,7586
3437,7586
6344,7586
266,7586
5287,7586
3173,7586
1059,7586
6080,7586
8194,7586
3966,7586
7930,7586
5552,7586
7666,7586
3438,7586
6345,7586
1324,7590
4231,7586
1060,7586
4231,7590
8195,7586
3967,7586
796,7586
5817,7586
3967,7590
6874,7586
7931,7586
532,7586
5553,7586
7667,7586
3439,7586
268,7586
5289,7586
4232,7586
8196,7586
268,7590
1061,7586
7932,7586
3704,7586
6875,7586
7668,7586
533,7586
3440,7586
1326,7586
8197,7586
3176,7586
6347,7586
5290,7586
4233,7590
1062,7586
6083,7586
6876,7586
7933,7586
5819,7586
3705,7586
7669,7586
5819,7590
5555,7586
1327,7586
6348,7586
270,7586
8198,7586
5291,7586
3177,7586
4234,7586
6084,7586
799,7586
7934,7586
3706,7586
7934,7590
535,7586
5556,7586
7670,7586
1328,7586
6349,7586
5292,7586
3178,7586
4235,7586
6085,7586
3971,7586
8199,7590
6878,7586
7935,7586
3707,7586
5557,7586
7671,7586
3443,7586
1329,7586
5293,7586
3443,7590
1329,7590
6350,7586
1065,7586
6086,7586
8200,7586
7936,7586
3708,7586
6879,7586
5822,7586
7672,7586
537,7586
3444,7586
1330,7586
4237,7586
3180,7586
1066,7586
8201,7586
6087,7586
7937,7586
5823,7586
3709,7586
7673,7586
5559,7586
1331,7586
6352,7586
4238,7586
3181,7586
1067,7586
6088,7586
3181,7590
6088,7590
8202,7586
5824,7586
7938,7586
3974,7590
3710,7586
539,7586
7674,7586
1332,7586
6353,7586
5296,7586
4239,7586
1068,7590
8203,7586
3975,7586
5825,7586
3975,7590
7939,7586
3711,7586
7675,7586
1333,7586
276,7586
5297,7586
4240,7586
5297,7590
4240,7590
1069,7586
3976,7586
8204,7590
7940,7590
6883,7586
5826,7586
7676,7586
541,7586
3448,7586
1334,7586
3184,7586
6355,7586
3977,7586
6091,7586
6884,7586
7941,7586
8205,7590
6091,7590
5827,7586
3713,7586
542,7586
7677,7586
5563,7586
1335,7586
278,7586
8206,7586
5299,7586
3185,7586
4242,7586
1071,7586
6092,7586
6092,7590
3978,7586
807,7586
5828,7586
6885,7586
7942,7586
7678,7586
3450,7586
1336,7586
5300,7586
3186,7586
8207,7586
1072,7586
3979,7586
808,7586
5829,7586
6886,7586
7943,7586
3715,7586
7679,7586
1337,7586
7679,7590
4244,7586
1337,7590
3187,7586
8208,7586
7944,7586
809,7586
3716,7586
809,7590
6887,7586
5830,7586
7680,7586
545,7586
5830,7590
1338,7586
6359,7586
3981,7586
1074,7590
8209,7586
6888,7586
7945,7586
6095,7590
5831,7586
3717,7586
7681,7586
1339,7586
6360,7586
282,7586
1075,7586
8210,7586
6889,7586
7946,7586
5568,7586
7682,7586
6361,7586
5304,7586
3190,7586
6097,7586
8211,7586
812,7586
6890,7586
7947,7586
5833,7590
3719,7586
548,7586
5569,7586
7683,7586
3455,7586
1341,7586
284,7586
4248,7586
8212,7586
3191,7586
4248,7590
1077,7586
3984,7586
6098,7586
7948,7586
5834,7586
7684,7586
5834,7590
3456,7586
549,7590
5570,7586
1342,7586
8213,7586
6363,7586
5306,7586
1078,7586
5306,7590
6099,7586
6892,7586
814,7586
7949,7586
3721,7586
7685,7586
3721,7590
1343,7586
1343,7590
8214,7586
4250,7586
3193,7586
6100,7586
1079,7586
5307,7590
6893,7586
5836,7586
7950,7586
551,7586
7686,7586
5308,7586
6365,7586
8215,7586
1080,7586
6101,7590
3987,7586
6894,7586
7951,7586
3723,7586
6630,7586
7687,7586
5573,7590
3459,7586
1345,7586
288,7586
3195,7586
1081,7586
3189,7775
8216,7586
7952,7586
3988,7590
3724,7586
817,7590
6895,7586
7688,7586
3724,7590
5574,7586
3196,7586
5310,7586
1082,7586
3989,7586
8217,7586
6103,7586
3989,7590
7953,7586
7689,7586
5575,7586
3461,7586
290,7586
5311,7586
3197,7586
1083,7586
6104,7586
8218,7586
3990,7586
6897,7586
5840,7586
7954,7586
7690,7586
3462,7586
3462,7590
5312,7586
1348,7590
3198,7586
4255,7586
1084,7586
8219,7586
3991,7586
820,7586
6898,7586
7955,7586
7691,7586
3463,7586
1349,7586
292,7586
5313,7586
8220,7586
292,7590
3199,7586
1085,7586
7956,7586
821,7586
821,7590
3728,7586
7692,7586
3464,7586
5578,7586
3200,7586
8221,7586
1086,7586
3993,7586
6107,7586
7957,7586
822,7586
6107,7590
5843,7586
3729,7586
7693,7586
