partially_contains_1,partially_contains_2
6700,9197
44,9197
11713,10466
9530,60
5128,14418
127,9197
5154,10291
9285,9467
9532,12
5099,10209
17,11591
11697,10466
5086,11640
109,14376
5124,10209
140,11367
9137,11498
27,11546
92,10555
12,9197
11166,11587
5164,10258
5136,11640
9137,6655
9187,11498
77,11546
117,11586
51,11586
5105,10304
5181,10258
84,11591
6725,11546
5113,14418
9187,6655
6644,9197
10063,10732
9375,60
109,11591
170,9446
9137,6679
170,9197
5098,10291
5175,10209
5164,10291
5131,10291
6694,9197
5124,10258
9227,10291
9169,59
5090,10291
9937,10821
9187,6679
8484,51
5181,10291
102,10555
10609,10466
9409,10291
5101,10209
76,11367
5206,10291
11195,9714
6700,11591
5107,10291
11485,10466
9532,92
9169,92
127,11591
5105,11640
9137,63
60,11367
5124,10291
5175,9484
9530,170
6643,11591
6676,11591
111,11591
9285,92
5174,10291
5152,10209
5150,9247
135,11367
5108,10291
36,11367
5086,10209
5093,10258
9278,10821
5164,11640
170,10555
5202,10209
5090,11640
9262,63
9536,17
6645,14376
9125,10466
5161,10209
9137,104
5110,10258
14024,170
5150,11586
9375,170
9137,126
9532,170
5126,10291
5093,10291
6645,11591
5200,11586
5118,10291
9137,128
9187,126
9187,128
5175,14418
5169,10258
5136,10258
90,11546
8484,170
10172,59
162,11367
5167,14418
5192,14418
9285,177
5144,9247
5113,10209
107,11546
5184,14418
5185,10291
9262,132
5086,10291
5177,10291
9862,10466
117,11504
171,11367
51,11504
9137,170
5143,14418
116,10258
5175,11640
5086,10304
5169,10291
10172,92
10916,11587
5136,10291
5119,11586
10465,10466
9401,9156
8476,14026
5172,10209
9536,104
5095,10291
5152,14418
6705,11591
166,11546
5113,9484
17,14376
5194,11586
9530,51
5112,10291
