group__1,group__2
7217,8786
7219,8723
7219,8722
7215,8846
7212,8943
7219,8733
7217,8794
7215,8854
7215,8861
7211,8984
7219,8734
7211,8989
7217,8803
7219,8741
7219,8740
7215,8862
7217,8800
7219,8738
7217,8807
8403,8898
7215,8867
7217,8805
7215,8866
7215,8873
7215,8872
7219,8748
7217,8810
7219,8746
7220,8722
7212,8969
7219,8752
7219,8751
7217,8812
7215,8880
7217,8817
7219,8754
7215,8878
7219,8761
7215,8885
7215,8884
7219,8758
7215,8888
7217,8825
7215,8893
7219,8768
7217,8829
7219,8767
7215,8890
7219,8773
7220,8741
7212,8989
7219,8772
7219,8771
7220,8740
7211,9019
3520,8754
7217,8839
7249,3751
7212,8994
7220,8746
7215,8900
7217,8837
7215,8899
7215,8898
7217,8836
7224,8626
7215,8905
7217,8840
7215,8902
7215,8909
7217,8847
7217,8846
7215,8908
7217,8845
7219,8782
7217,8844
7220,8758
7212,9003
6224,6863
7217,8854
7216,8885
7215,8915
7224,8635
7246,3857
7215,8920
7217,8857
7219,8794
5624,9088
7215,8925
7219,8800
7217,8862
7217,8861
7224,8643
7217,8867
7217,8866
7212,9020
7219,8803
7219,8802
7212,9019
4311,8839
7242,4000
7217,8871
7222,8715
7216,8900
7219,8807
7219,8812
7217,8873
7217,8872
7224,8655
7215,8934
8798,9020
7220,8786
7219,8817
7217,8878
7215,8940
7217,8877
7215,8938
7215,8945
7212,9038
7217,8883
7219,8820
7215,8943
7217,8881
7217,8880
7219,8825
7210,9103
7215,8948
7249,3798
7217,8885
7217,8884
3520,8805
7219,8829
7217,8890
8144,8829
7217,8888
7219,8833
7217,8893
7217,8899
7219,8837
7217,8898
7218,8867
7217,8897
3645,9038
7215,8965
7217,8902
7219,8840
7261,3442
4088,3502
7219,8839
7217,8900
7215,8969
7219,8845
7219,8844
7215,8967
7249,3817
7217,8905
7215,8972
7217,8909
7225,8661
7219,8847
7219,8846
7217,8908
7217,8915
7217,8914
7215,8975
7249,3824
7212,9067
7219,8857
7215,8980
7217,8916
7219,8854
7219,8861
7215,8984
7225,8673
7217,8921
7217,8920
3113,13266
7215,8989
7215,8987
7217,8925
7219,8862
7224,8707
7261,3471
7220,8837
7219,8867
7217,8928
7219,8866
7219,8873
7217,8934
7257,3598
7219,8871
7225,8684
7220,8846
7217,8938
7217,8936
7217,8943
7219,8881
7618,8800
7246,3947
7219,8880
7215,9003
7217,8940
7219,8878
7219,8885
7219,8884
7219,8883
7217,8945
7249,3857
7219,8888
7217,8948
7215,9010
7212,9103
7219,8893
7249,3866
7216,8984
7219,8897
7215,9020
7224,8740
7215,9019
7225,8715
4214,3751
4239,7072
7219,8900
7219,8899
7217,8961
7219,8898
7219,8905
7228,8626
7215,9029
7212,9122
7217,8967
7217,8965
7219,8909
7219,8908
7217,8969
7224,8758
7215,9036
7215,9035
7215,9034
7217,8972
7213,9103
7219,8916
7219,8915
7220,8883
7215,9038
7219,8921
7219,8920
7217,8980
7217,8987
7219,8925
7217,8984
7217,8989
7625,8628
7215,9057
7225,8746
7217,8994
7219,8932
