companies_of_this_type_1,companies_of_this_type_2
14451,13401
14651,13345
14648,12156
14649,3290
14451,13140
14653,3678
14648,13176
14649,12902
14649,13408
14451,12136
14649,13038
14451,6757
14451,13026
14649,13175
14648,12182
14451,13035
14451,13177
14648,13214
14451,12151
14649,8441
14648,12184
14649,13063
14649,8451
14451,13053
14649,12162
14649,13186
14649,13314
14649,7042
14451,13051
14648,12192
14451,12795
14649,4110
14451,13448
14649,13325
14648,13110
14451,6926
14451,13327
14649,7058
14650,12146
14451,13721
14649,12190
14649,3998
14650,12159
14451,6807
14650,12795
14650,13434
14649,6949
14451,4126
14652,12995
14648,13503
14649,12975
14648,12878
14650,13072
14451,12710
14451,12837
14451,13219
14649,13239
14648,13267
14649,3125
14649,13233
14649,12976
14650,4126
14451,13111
14451,13110
14649,6844
14649,6843
14651,12157
14649,59
14451,12852
14649,3131
14451,12851
14650,8473
14652,13418
14451,13505
14451,13504
14451,12861
14649,13378
14648,8417
14651,12034
14451,12872
14451,12871
14649,6860
14451,12879
14648,12148
14650,13109
14648,12147
14648,13426
14649,12755
14648,13296
14649,13136
