administrative_divisions_1,administrative_divisions_2
127,9439
49,10834
86,10723
110,11003
114,9857
141,10045
90,9579
110,9983
78,9953
133,11322
90,11635
92,8511
90,11647
12,9969
132,11371
141,11094
6700,10526
141,10077
132,11384
166,9311
108,11110
187,11738
86,11801
6700,8496
176,11064
170,11252
127,8492
141,11131
90,11693
170,1
108,10117
6694,11780
35,10335
6669,11533
54,9754
179,11001
166,10383
6700,9555
127,8522
187,9735
127,8524
6734,10560
127,8532
179,11018
170,9249
141,11173
141,9132
176,10096
170,11307
141,9135
141,11186
170,11315
141,9143
179,11040
92,9652
141,9160
90,11767
141,9164
179,10047
170,11351
6683,11179
141,10207
110,11171
170,10341
179,11088
66,11521
6668,10637
12,10125
179,10071
6700,10677
90,11811
12,10138
132,10514
127,9648
6644,10378
6700,10689
141,9217
118,10956
141,10243
90,1585
33,11544
141,9
170,9351
110,10187
86,10931
17,9999
127,10685
179,10103
176,9173
141,9235
132,8490
141,10262
71,10385
71,9361
176,10204
6636,11678
170,153
6644,11427
6702,9629
182,11050
141,11301
141,9259
176,9200
141,10287
17,10040
141,9269
35,10511
141,9277
170,11452
141,64
35,10522
141,69
6734,11751
141,72
141,9289
139,139
127,9731
127,9732
141,10323
132,9578
141,9299
176,11290
108,5207
186,9957
141,9304
61,11787
12,11262
35,8503
170,9445
141,9320
170,11494
186,9978
135,10536
135,8489
179,10197
141,10355
90,9889
110,11317
90,9890
170,10483
141,9334
141,11385
141,125
184,10061
141,11396
176,11338
6644,11538
90,10942
6676,8505
179,11258
54,11038
170,10515
90,14019
12,10295
80,11264
141,9374
176,10340
170,8478
166,9632
142,10381
46,46
141,9390
141,10417
108,11441
141,11447
141,184
89,9990
141,191
6647,9453
170,10561
108,11462
170,11589
6644,10577
90,10999
141,10446
108,9422
179,11319
71,8529
179,10302
186,10087
186,11111
176,11428
6644,11628
141,10473
170,9575
176,11437
61,10909
12,9359
51,5086
141,11513
51,5088
51,5090
51,5092
51,5093
51,5095
141,10497
51,5098
51,5099
41,11555
90,11060
51,5101
51,5103
51,5105
51,5107
51,5108
176,11474
71,10633
51,5110
51,5112
110,9427
51,5113
51,5115
170,9619
51,5117
170,9620
51,5118
108,9495
51,5119
132,9776
86,10179
51,5124
110,9441
51,5126
51,5128
117,9227
117,5132
51,5131
141,9509
110,10471
141,10537
51,5136
141,10538
141,10541
186,9148
51,5141
51,5142
51,5143
50,9270
141,9521
51,5144
117,5146
141,9522
51,5145
110,9460
108,8498
141,11574
141,9527
51,5150
170,10678
51,5152
170,11705
51,5154
51,5156
51,5157
51,5158
51,5161
51,5164
51,5167
117,5170
170,11720
51,5169
83,83
117,5174
51,5172
117,5177
141,9553
51,5175
141,10578
170,10708
51,5181
51,5182
117,5185
51,5184
109,10556
51,5187
117,5189
176,9504
141,11617
51,5192
176,9510
117,5195
51,5194
110,8487
117,5200
117,5203
51,5202
117,5204
179,11475
141,9581
117,5206
170,9707
110,9520
86,11289
51,5209
141,10611
118,11326
132,9868
176,11577
141,11638
141,10616
118,9290
141,11653
176,10569
133,10878
132,10910
141,11657
149,11409
184,9305
170,9739
141,9623
90,11205
111,8506
176,11612
141,9631
141,9634
179,9481
78,8516
135,10846
127,11101
52,9331
176,11632
176,11633
110,10612
35,10895
35,10896
51,10400
51,160
6700,10113
12,10594
141,11718
176,10636
141,9674
141,10700
55,55
179,8508
78,11639
118,10405
176,9636
86,11402
52,174
12,11656
86,10387
176,10670
177,11669
127,9131
141,10746
176,9663
176,10687
90,9258
141,9726
90,11311
92,9202
141,9733
141,9734
178,11659
141,9743
141,10770
141,10772
141,11798
126,11243
141,9759
141,9760
141,11810
6700,10214
12,9671
141,10793
141,9770
51,8476
51,8477
141,10812
141,9791
179,11686
51,11559
50,8519
90,10353
170,9924
170,9925
6644,9937
51,8495
90,9336
127,9213
176,11791
12,11756
12,9708
84,8502
35,10029
51,8509
176,11804
51,8513
141,9821
78,11774
170,10974
110,9765
141,9831
51,8526
132,11135
170,9959
170,9960
176,11822
141,10860
124,124
118,11580
184,11583
54,11520
179,11743
59,10345
141,10877
51,9573
126,9297
61,9264
179,10728
110,12867
9974,11219
141,9867
179,10737
179,10738
170,9996
108,9870
186,10525
90,11453
141,9873
90,9412
51,11646
118,9569
179,11775
166,10131
132,11189
170,11035
186,8500
170,11047
110,10865
6669,11314
127,9317
75,10932
141,9913
141,10939
12,9824
90,11505
75,9923
132,10205
170,10055
186,8535
12,10859
141,10957
141,9940
51,9660
128,11372
116,9705
90,11541
71,10083
63,93
179,10833
170,11112
170,11113
170,10090
141,9967
179,9814
176,9910
141,9971
61,163
132,9228
90,8483
132,11281
110,9917
183,11755
110,9926
90,11571
23,8530
141,11016
127,9403
90,8504
141,9998
127,10436
141,10005
110,9947
141,11034
179,9856
90,11593
127,9430
127,9434
141,10025
17,10799
