vocal_range_1,vocal_range_2
3328,14655
3997,14655
8192,14655
3609,14655
8349,14655
3723,14709
8184,14655
5639,14709
5649,14655
808,14709
824,7306
7679,14709
3574,7306
577,14709
810,14655
6904,7243
5243,14709
8050,7306
4064,14655
3643,14655
6944,7306
1420,14709
3478,14655
629,14655
6046,7243
4114,14655
3146,14709
4081,14655
3503,14655
332,14655
3906,14709
6135,7306
3485,14709
3311,7306
6831,7243
3264,14655
4278,14709
3801,14655
9001,7306
4071,7306
6342,7306
777,14709
3859,14655
7022,14655
4031,14709
5676,14655
3841,14709
391,14655
771,14655
8211,7243
416,14655
8144,14709
6319,14709
332,14709
4050,14655
4306,14655
1480,14709
1457,14655
8749,14655
3900,14709
1127,14655
3109,14655
7996,14709
3148,7306
1474,14655
8188,14655
4191,14655
4239,14709
7079,7306
4315,14655
8351,7306
8278,7261
3909,14709
3554,14709
3704,7243
6149,14655
8154,14709
3645,7289
1219,14655
8278,7289
3463,7306
8363,14655
4077,14655
5752,14709
3960,14709
4003,14655
3382,14709
4133,7306
8180,7289
4168,7243
312,14655
8188,7306
6058,14709
3599,14655
6149,14709
3804,14709
5976,14709
6308,14655
8348,14655
4318,14655
5854,14655
825,14655
8018,14655
6135,14655
1153,7306
3647,7306
988,7306
3334,14709
206,14655
4308,7306
3127,7306
5233,7306
3326,14709
