sport_1,sport_2
6669,13486
7138,7144
7139,7112
3,7149
7138,7145
3,7151
7138,7151
7139,7122
14272,7185
7139,7128
178,1739
7138,7162
3,7165
12689,7117
7138,7168
7138,7166
4374,2737
7138,7165
7138,7171
7139,7145
3,7178
4903,2737
3,7180
12862,1769
5,7119
7139,7151
5,7124
7141,7095
7138,7188
7139,7161
179,1739
4375,2737
7139,7163
13918,1825
141,2931
4904,2737
7141,7117
5,7151
7141,7126
12955,7117
5,7162
14274,7185
7142,7104
7141,7135
4376,2737
5,7165
6672,13486
7141,7140
13919,1825
5,7178
14275,7185
7141,7148
4905,2737
7142,7128
7143,7099
181,1739
7143,7104
7143,7112
13920,1825
7142,7145
14276,7185
7142,7151
7143,7119
4906,2737
67,13486
7143,7128
4642,2737
7142,7163
182,1739
7143,7136
7143,7145
7143,7144
7142,7180
4907,2737
13921,1825
7143,7151
14277,7185
4643,2737
7143,7154
7143,7165
12958,7117
7143,7168
7143,7166
5996,1769
7143,7171
7143,7180
8373,1825
7143,7188
7146,7095
13000,14034
7143,7186
4380,2737
9,7165
6676,13486
6676,13487
7146,7117
11,7124
12,7095
14279,7185
12,7097
12,7099
12,7101
7146,7135
12,7107
12,7110
12,7112
7147,7112
11,7144
12,7113
7147,7110
12,7115
12,7119
11,7151
4910,2737
12,7122
71,13486
12,7124
7147,7124
12,7126
7147,7122
12,7128
7147,7128
186,1739
12,7135
11,7166
12,7137
4382,2737
12738,14034
12868,1825
12,7140
1111,14034
12,7144
7147,7144
12,7145
12,7148
12,7149
12,7151
13,7122
7147,7151
12,7154
12,7156
4647,2737
14,7095
7818,2737
14,7097
7147,7161
12,7161
14,7099
12,7162
12,7163
7147,7165
187,1739
12,7165
12,7166
7147,7162
1376,14034
12,7167
12,7168
12739,14034
12,7170
12,7171
12,7172
14,7110
6679,13487
12,7173
6679,13486
12,7174
14,7112
12869,1825
12,7175
14,7113
7147,7177
12,7176
12,7178
14,7117
12,7180
14,7119
12,7182
13,7151
12,7184
14,7122
14,7124
12,7186
14,7128
7150,7099
13,7165
14,7135
14,7137
14,7140
7150,7112
13,7175
14,7144
14,7145
14,7149
14,7151
4913,2737
14,7154
74,13486
7150,7122
14,7156
7150,7128
4649,2737
6266,1761
14,7161
14,7162
14,7165
14,7166
4385,2737
7150,7144
14,7175
14194,1769
14,7180
14,7182
75,13486
75,13487
17,7099
17,7101
7150,7163
190,1739
7150,7162
17,7104
4386,2737
17,7110
17,7112
17,7113
12314,2737
17,7119
7152,7122
17,7122
76,13486
17,7124
17,7128
4387,2737
7153,7101
7153,7107
17,7137
17,7140
6683,13486
17,7144
7153,7115
17,7145
7152,7145
12875,1769
17,7148
17,7149
7152,7149
17,7151
77,13486
17,7154
7152,7151
17,7156
4652,2737
13404,1769
17,7161
17,7162
7153,7135
17,7165
7152,7165
17,7166
17,7167
7152,7163
6684,13486
17,7168
17,7172
17,7173
17,7174
17,7175
6684,13487
7152,7171
17,7176
17,7180
13273,14034
18,7151
17,7182
17,7184
78,13486
78,13487
17,7186
7155,7097
7155,7095
7155,7099
18,7165
20,7104
7155,7104
161,2737
7155,7112
155,2931
18,7180
7155,7119
4918,2737
79,13486
7155,7122
7155,7128
4654,2737
7155,7136
7155,7145
7155,7149
4919,2737
20,7151
7155,7151
80,13486
7155,7161
7155,7165
4391,2737
20,7165
7157,7101
7155,7163
7155,7162
7155,7168
7155,7166
7155,7173
7155,7172
20,7173
7155,7171
12877,1825
20,7180
7155,7180
21,7151
7155,7178
7155,7184
23,7095
7155,7188
7155,7186
23,7099
23,7101
7157,7135
23,7104
23,7112
23,7113
23,7115
23,7117
21,7180
23,7119
22,7151
4921,2737
23,7122
23,7124
23,7126
7728,14034
23,7128
4657,2737
197,1739
23,7135
23,7136
6366,7110
23,7137
6689,13486
23,7140
22,7173
23,7144
7159,7110
8479,7151
23,7149
22,7180
24,7119
23,7151
4922,2737
8479,7165
13014,14034
24,7124
7159,7122
23,7161
23,7162
23,7165
25,7104
23,7167
23,7168
24,7137
4394,2737
23,7170
23,7171
23,7172
23,7175
23,7176
25,7115
23,7178
4923,2737
24,7151
23,7182
7159,7151
84,13486
12181,7117
23,7187
12882,1769
24,7162
7159,7165
4395,2737
24,7165
6767,2931
24,7180
25,7151
12881,1825
7159,7185
25,7161
25,7165
6632,7151
27,7113
6632,7165
26,7151
25,7184
6632,7173
27,7135
12883,1825
28,7110
26,7180
28,7119
27,7151
4662,2737
29,7099
27,7162
27,7165
7164,7104
4398,2737
170,2737
6694,13486
27,7173
7164,7112
29,7119
28,7151
7164,7122
7164,7119
4663,2737
6636,7113
30,7099
7164,7128
4399,2737
28,7165
28,7166
7164,7136
29,7145
29,7149
28,7180
7164,7149
29,7151
7164,7151
29,7161
29,7162
4400,2737
29,7165
7164,7165
30,7135
29,7166
6636,7151
13285,14034
29,7174
30,7144
29,7175
7164,7171
30,7149
6636,7165
30,7151
90,13486
7836,2737
90,13487
4665,2737
30,7165
4301,14034
32,7110
30,7173
7868,1769
6639,7099
30,7180
32,7119
31,7151
4697,1769
7604,1769
12889,1769
4666,2737
33,7099
33,7101
31,7165
33,7104
32,7135
8366,2737
6639,7119
32,7137
31,7173
33,7112
3641,1761
4931,2737
31,7180
33,7119
32,7151
92,13486
92,13487
33,7124
32,7156
4667,2737
34,7099
32,7161
32,7162
32,7165
33,7135
11660,7151
6639,7151
32,7172
34,7112
33,7144
33,7145
11660,7162
11660,7161
6639,7165
4932,2737
33,7149
34,7119
33,7151
34,7122
7169,7122
34,7124
33,7156
4668,2737
11926,7110
11660,7165
7961,7154
33,7162
33,7165
6639,7180
6700,13486
34,7137
12332,2737
33,7173
34,7144
13248,7117
170,2931
34,7149
33,7180
7169,7151
34,7151
4933,2737
6642,7112
4669,2737
34,7161
36,7099
34,7162
6642,7113
34,7165
34,7166
6642,7119
35,7137
4405,2737
6642,7124
177,2737
6642,7122
34,7173
36,7112
34,7175
34,7178
171,2931
34,7180
36,7119
35,7151
6642,7135
4934,2737
36,7122
6642,7140
95,13486
34,7186
36,7124
6643,7107
6643,7113
6643,7112
36,7128
13547,14269
7741,14034
37,7099
6643,7110
35,7162
6642,7145
35,7165
6642,7151
36,7137
6643,7119
4406,2737
6642,7149
178,2737
6702,13487
6643,7124
8270,14034
6702,13486
6642,7154
37,7112
36,7144
36,7145
36,7148
6644,7101
6642,7162
35,7180
6642,7161
6644,7099
36,7151
6643,7136
6644,7104
6643,7135
36,7154
6642,7165
37,7124
6644,7110
6643,7140
4671,2737
6644,7107
6642,7175
6644,7113
36,7161
6644,7112
36,7162
6643,7149
6642,7180
6644,7117
4407,2737
36,7165
36,7166
37,7135
6644,7115
13157,1825
6643,7151
6644,7119
36,7171
6644,7124
6644,7128
36,7178
6643,7165
4936,2737
36,7180
6643,7163
37,7151
6643,7162
6644,7137
97,13486
6644,7135
6643,7166
6643,7173
4672,2737
6644,7140
6643,7171
6644,7145
12987,7117
6644,7144
37,7162
6645,7113
6645,7112
6645,7119
4408,2737
6644,7149
37,7165
6643,7180
37,7166
6644,7148
37,7168
6644,7151
37,7173
6644,7162
6644,7161
6645,7135
37,7180
6644,7165
38,7151
4937,2737
6644,7170
6645,7137
37,7186
6644,7167
6644,7174
6644,7172
6645,7140
6644,7178
38,7162
6644,7176
6644,7175
6645,7144
6644,7182
38,7165
6645,7151
6644,7180
6645,7149
6645,7148
6644,7186
6705,13487
6705,13486
6644,7184
40,7112
6647,7095
6644,7187
6647,7101
6645,7162
6645,7161
8109,2737
40,7119
6645,7166
6645,7165
6647,7107
6647,7113
41,7097
6647,7112
6647,7110
6647,7117
6647,7119
40,7137
6645,7180
6647,7124
6647,7122
41,7112
6647,7126
4939,2737
41,7119
40,7151
6647,7137
6647,7135
8404,1825
41,7124
6647,7140
4675,2737
6647,7145
40,7161
40,7162
6647,7149
6647,7148
40,7165
41,7137
6647,7151
183,2737
6647,7154
8375,2737
41,7144
6647,7161
6647,7165
40,7180
41,7151
6647,7162
6647,7167
6647,7166
13553,14269
6647,7173
4676,2737
6647,7172
13032,14034
6647,7171
6647,7170
41,7161
6647,7176
6647,7175
41,7162
6647,7174
4412,2737
41,7165
6647,7180
41,7166
6647,7178
6647,7184
6647,7182
41,7173
41,7175
6647,7186
41,7180
42,7151
102,13486
41,7186
7179,7097
4677,2737
7179,7099
42,7165
42,7166
7179,7104
4413,2737
44,7107
44,7110
42,7173
7179,7112
7179,7110
42,7180
43,7151
7179,7119
7179,7124
7179,7122
7179,7128
44,7135
7179,7137
7179,7136
186,2737
45,7110
45,7112
7179,7145
7179,7144
7179,7149
7179,7151
104,13487
7181,7095
7179,7156
4679,2737
7179,7154
7179,7161
13556,14269
6652,7112
7179,7165
44,7165
7179,7163
7181,7101
7179,7162
7181,7107
45,7137
7179,7168
7179,7166
7179,7173
7179,7172
7179,7171
7181,7115
7181,7113
7179,7175
7179,7174
4944,2737
7179,7180
7181,7117
7179,7178
6652,7137
7179,7184
46,7124
4680,2737
7179,7188
7181,7126
7179,7186
45,7162
13557,14269
7181,7135
4416,2737
45,7165
45,7166
6651,7185
6652,7151
7181,7140
45,7180
6652,7165
46,7151
7181,7148
7975,7110
106,13486
47,7124
106,13487
4681,2737
6652,7178
13558,14269
46,7165
7181,7167
6652,7180
4417,2737
7181,7170
13167,1825
6652,7184
7183,7112
47,7144
7183,7110
7181,7176
47,7151
7181,7182
4946,2737
7181,7187
12905,1769
4682,2737
47,7161
47,7162
47,7165
47,7173
6655,7122
6655,7128
184,2931
4947,2737
47,7180
13560,14269
6655,7136
49,7122
13039,14034
108,13486
108,13487
6655,7145
50,7099
6655,7151
50,7110
50,7112
8242,7117
6655,7165
50,7119
6655,7162
49,7151
50,7122
109,13486
109,13487
51,7095
51,7097
49,7161
51,7099
49,7162
51,7101
49,7165
51,7104
50,7137
51,7107
51,7110
51,7112
51,7113
51,7115
186,2931
51,7117
50,7148
51,7119
50,7151
51,7122
110,13486
51,7124
110,13487
51,7126
51,7128
4685,2737
50,7161
50,7162
50,7165
50,7166
51,7135
51,7137
4421,2737
12349,2737
51,7140
52,7110
50,7173
52,7112
1150,14034
52,7113
50,7175
51,7144
51,7145
50,7178
51,7148
50,7180
51,7149
52,7119
51,7151
4950,2737
52,7122
51,7154
52,7124
51,7156
7185,7185
52,7128
4686,2737
51,7161
51,7162
51,7163
51,7165
51,7166
51,7167
52,7136
51,7168
52,7137
4422,2737
51,7170
51,7171
51,7172
51,7173
51,7174
51,7175
51,7176
51,7177
51,7178
52,7149
51,7180
51,7182
52,7151
51,7184
13307,14034
51,7186
51,7187
4687,2737
51,7188
54,7097
52,7161
54,7099
52,7162
52,7165
52,7166
52,7168
13439,1769
54,7110
52,7172
54,7112
52,7175
54,7113
52,7178
54,7119
53,7151
54,7122
52,7184
52,7187
4688,2737
4424,2737
53,7165
54,7135
54,7137
7098,1769
190,2931
54,7149
54,7151
54,7161
54,7162
1285,1769
54,7165
4425,2737
197,2737
54,7171
54,7172
54,7175
7100,1739
13310,14034
54,7178
54,7180
54,7184
54,7186
54,7188
4193,1761
7100,1769
4955,2737
116,13487
4691,2737
58,7099
12783,14034
4427,2737
4956,2737
57,7151
117,13486
117,13487
59,7099
57,7165
59,7104
6664,7151
57,7173
59,7112
59,7113
57,7180
13313,14034
59,7119
6664,7165
58,7151
118,13486
118,13487
60,7097
58,7165
7103,1769
58,7173
60,7112
59,7145
59,7149
58,7180
59,7151
4958,2737
59,7154
60,7124
61,7095
6666,7137
61,7097
4694,2737
61,7099
59,7161
59,7162
9573,7144
59,7165
59,7166
6666,7151
59,7168
4430,2737
61,7107
59,7172
61,7110
59,7173
61,7112
8394,2737
61,7113
60,7144
59,7175
61,7115
9573,7151
59,7178
6666,7162
60,7149
59,7180
61,7119
60,7151
59,7184
61,7122
120,13486
6666,7165
7725,7110
61,7126
7866,2737
631,14034
9573,7165
60,7162
6666,7180
60,7165
61,7135
61,7140
12359,2737
4960,2737
61,7149
60,7180
61,7151
60,7184
13275,7117
4696,2737
61,7161
61,7162
6669,7119
61,7165
61,7168
61,7170
6668,7151
61,7172
61,7173
61,7175
6668,7162
61,7177
62,7149
61,7180
6668,7165
61,7182
62,7151
61,7184
61,7186
61,7188
6668,7173
5754,2737
62,7161
62,7165
6668,7180
62,7180
6669,7165
4698,2737
4434,2737
7109,1739
6669,7184
4963,2737
12362,2737
6672,7113
6671,7151
6672,7126
6671,7165
4964,2737
65,7151
7871,2737
6672,7137
4700,2737
6672,7144
4436,2737
65,7165
7111,1739
66,7144
6672,7162
6672,7165
66,7151
126,13486
67,7124
126,13487
4701,2737
7608,2737
66,7165
67,7135
6672,7180
67,7136
7111,1769
8168,1769
66,7173
67,7144
67,7149
66,7180
67,7151
127,13486
127,13487
4702,2737
67,7161
67,7162
67,7163
67,7165
67,7166
68,7137
4438,2737
6734,13487
68,7144
67,7180
6676,7099
11961,7110
68,7151
6676,7110
4703,2737
6676,7113
6676,7112
7111,1825
68,7165
6676,7119
6676,7126
68,7173
6676,7124
6676,7128
68,7180
6676,7137
6676,7136
4704,2737
71,7099
6676,7145
6676,7144
6676,7149
6676,7154
6676,7151
6676,7162
6676,7161
6676,7166
71,7119
6676,7165
6676,7163
4969,2737
12789,14270
6676,7174
6676,7172
4705,2737
6676,7180
71,7137
4441,2737
6676,7184
6679,7101
71,7151
131,13486
6679,7112
4706,2737
71,7162
71,7165
6678,7151
4442,2737
6679,7124
6303,2395
71,7175
71,7178
12928,1825
71,7180
6679,7137
6678,7165
132,13486
4707,2737
6679,7145
6679,7144
6679,7151
12371,2737
6679,7161
6679,7165
6679,7162
73,7151
13023,7117
6679,7166
6679,7173
6679,7171
75,7097
75,7099
6679,7175
6681,7119
4444,2737
73,7165
6679,7180
75,7104
12372,2737
75,7110
75,7112
75,7113
73,7180
5798,1739
75,7119
74,7151
75,7128
74,7165
6681,7151
12801,14034
75,7136
75,7137
12373,2737
12931,1825
76,7113
75,7144
75,7145
6681,7162
75,7149
76,7119
75,7151
6681,7165
135,13486
75,7154
135,13487
76,7124
13025,7117
6681,7173
75,7161
13066,14034
75,7162
13196,1825
75,7165
75,7166
76,7135
75,7168
4446,2737
6681,7180
75,7170
7121,1739
75,7171
75,7172
8177,1769
75,7173
75,7174
75,7175
76,7144
6684,7095
75,7178
6684,7101
75,7180
13290,7117
77,7119
76,7151
6989,14034
75,7184
75,7186
6684,7110
4711,2737
78,7095
6684,7113
76,7161
78,7099
6684,7112
76,7162
78,7101
6684,7117
4447,2737
76,7165
77,7137
78,7107
6683,7151
6684,7119
6684,7124
76,7173
78,7112
76,7175
6683,7165
77,7149
76,7180
78,7119
77,7151
6683,7162
78,7122
6684,7137
78,7124
6684,7135
6683,7166
6683,7173
4712,2737
78,7126
6684,7140
78,7128
6684,7145
77,7162
4448,2737
6684,7149
78,7136
6684,7154
78,7137
6684,7151
77,7173
7123,1739
78,7144
6684,7162
78,7145
6684,7161
77,7180
6684,7165
78,7151
4977,2737
6684,7170
78,7154
6684,7168
6684,7167
78,7156
6684,7173
78,7161
6684,7178
78,7162
6684,7176
6684,7175
6685,7151
6684,7182
78,7165
78,7166
6684,7180
7123,1769
78,7171
78,7173
78,7174
78,7175
6684,7187
78,7176
6685,7162
78,7180
79,7151
914,14034
78,7184
7885,2737
78,7188
13293,7117
79,7165
6686,7151
12936,1825
80,7151
140,13486
140,13487
82,7099
80,7162
4451,2737
80,7165
80,7166
80,7180
81,7151
82,7122
141,13486
141,13487
6688,7144
82,7135
6688,7151
13202,1825
8152,2737
6689,7135
81,7180
6688,7165
82,7151
142,13486
142,13487
6689,7136
13073,14034
84,7099
82,7162
82,7165
6689,7151
82,7166
6688,7180
4453,2737
84,7107
12381,2737
84,7110
82,7173
84,7112
84,7113
84,7115
6689,7162
82,7180
84,7119
83,7151
6689,7165
82,7186
84,7124
6689,7175
4718,2737
84,7135
84,7136
6689,7180
7129,1739
84,7140
12382,2737
83,7173
84,7145
4983,2737
83,7180
84,7149
13298,7117
84,7151
144,13486
84,7161
86,7099
84,7162
84,7163
4455,2737
84,7165
84,7166
6691,7151
84,7173
7129,1769
86,7112
6691,7165
84,7180
85,7151
86,7122
145,13486
84,7186
86,7128
6691,7175
85,7165
86,7137
87,7112
7131,1739
85,7180
87,7119
86,7151
6694,7101
4985,2737
6694,7112
6694,7110
86,7161
6694,7115
86,7162
6694,7113
86,7165
6694,7119
4457,2737
6694,7124
86,7173
86,7175
7100,2737
6694,7135
87,7151
6694,7140
147,13486
6694,7137
89,7097
87,7161
89,7099
6694,7148
87,7162
89,7101
6694,7145
