supporter_1,supporter_2
13404,1183
4400,3190
8768,3328
13059,5616
14514,5824
7609,3297
13333,6079
13393,6276
9659,7728
13932,6079
12754,5475
13393,6016
7635,6342
6297,5331
13188,4194
8452,7644
12869,6271
13393,5268
13059,3845
13059,5634
13393,5789
7609,3975
13404,5457
13103,6208
12168,6276
12739,1376
14103,5429
7609,3473
12168,6016
7609,3478
7609,4249
13059,6311
13059,5412
12869,6182
13059,5808
13716,5789
6722,11919
14432,5224
13404,8164
13358,259
12799,5429
13059,4147
13059,5824
5378,7644
7609,12342
1942,5237
13932,4239
549,7720
13059,3908
13404,259
13922,1226
13922,3274
13059,8267
13059,6361
6788,3891
13333,5926
14432,527
13393,6113
7609,5331
13393,5354
13932,5926
14461,5268
