languages_spoken_1,languages_spoken_2
11907,1639
45,1745
89,8574
24,8543
162,2217
129,2217
24,8545
11850,8536
11883,8537
11909,1581
11144,1745
141,14140
10891,8574
18,1571
6664,8536
90,8557
156,8561
11882,8572
124,8536
135,2053
25,8536
11883,8560
11835,14140
130,2217
156,8579
11850,8568
151,1571
11950,8536
85,1571
11883,8564
11850,8573
6632,8536
190,8561
14011,3033
191,8536
83,2672
26,8536
6683,14138
190,8579
11831,3033
131,2217
98,2217
176,14138
11852,8537
6666,8536
176,14141
176,14142
176,14143
6644,2053
11918,8548
117,1639
11885,8540
117,2672
11945,1571
192,8543
11945,1581
12492,2032
192,8545
126,8544
153,1571
11918,8566
21,1571
126,8558
6700,8539
11918,8574
160,8536
61,8536
126,8570
11826,2217
11913,1576
11832,2053
6700,8569
11854,8536
86,1639
6700,8572
28,8558
11860,2217
6668,8545
6700,8576
90,2546
29,8536
11872,14138
161,8545
6734,8557
167,2217
95,8547
188,1571
89,1571
11921,8536
6636,8536
6669,8536
14720,1639
11921,8538
29,8557
54,1639
11927,2217
129,8536
54,2672
10891,1571
95,8570
194,8573
117,1745
11849,1571
11882,1571
11921,8554
135,2217
102,2217
36,2217
11888,8561
11921,8562
11921,8575
57,1571
11856,8536
11889,8539
11940,14137
163,8536
130,8536
11889,8546
97,8536
64,8536
31,8536
75,2053
11836,3033
52,1745
63,8574
97,8545
9974,8536
124,1571
6671,8536
6704,8536
11889,8569
11856,8568
11966,14373
11824,8537
11869,2032
11950,1571
197,8536
11824,8544
164,8536
6683,2032
11824,8543
11863,2217
122,2672
11896,2217
65,8536
32,8536
56,2672
97,8570
6671,8555
6632,1571
176,2032
11891,8537
5,2217
1585,8536
6705,8539
6716,2053
11891,8544
11825,8537
11945,1745
11825,8536
11858,8537
11824,8570
32,8561
165,8536
14719,1777
99,8536
90,2672
1585,8553
14606,2217
86,1777
198,8545
54,1745
32,8572
171,2217
1585,8559
11843,14140
105,2217
72,2217
11859,8537
159,1571
11858,8561
117,14139
11852,1581
11826,8541
11826,8544
11826,8543
11826,8537
11825,8568
11826,8539
11826,8552
166,8536
133,8536
11826,8546
166,8538
100,8536
11826,8545
133,8538
11826,8558
12,2053
132,8574
11144,2053
34,8543
11839,3033
66,8577
34,8545
106,2217
11826,8565
40,2217
11827,8537
11860,8537
133,8554
11826,8574
11826,8576
11826,8570
166,8562
11826,8569
11826,8572
11848,1745
167,8536
134,8536
11854,1571
11833,2217
11826,8578
35,8536
59,2672
6725,14137
8479,1745
67,8569
11826,8579
89,1745
6666,1639
140,2217
67,8576
67,8579
11828,8538
11828,8537
62,1571
11927,8537
11894,8536
6642,8544
35,8560
95,1581
168,8536
35,8564
6681,2217
11828,8554
69,8536
11840,2032
11828,8562
14608,2251
11829,8536
11928,8536
30,1571
11928,8537
11828,8575
6643,8539
54,14143
6676,8539
11894,8574
11946,14142
103,8536
94,2672
135,8570
90,1777
136,8543
37,8545
76,2217
196,1571
11830,8537
9258,2251
11863,8537
11928,8569
11863,8536
11901,2251
29,1639
71,8536
6643,8579
11921,1639
11868,2251
14011,8536
104,8544
38,8543
38,8545
71,8548
197,1571
14011,8545
98,1571
32,1571
104,8558
12492,8538
12492,8536
14606,8536
6645,8544
105,8536
71,8566
72,8536
12492,8543
6678,8549
14606,8545
6639,1571
71,8574
138,8545
6645,8558
12492,8549
18,2032
12492,8548
14606,8564
12492,8562
11831,8570
6645,8565
66,1571
11931,8544
11865,8537
14606,8560
6645,8570
6700,1745
11144,2217
11832,8537
12492,8556
6679,8545
11865,8545
73,8536
11931,8558
84,2053
127,1745
11859,1571
11826,1571
11826,1581
73,8549
6767,1745
73,8555
6647,8541
11833,8537
6679,8572
11833,8536
6647,8539
6647,8544
11905,2217
6647,8546
98,2672
41,8542
6647,8561
14608,8557
14608,8556
6647,8558
6647,8565
74,8549
14608,8553
6647,8569
68,1571
74,8555
6681,8536
54,3033
41,8556
14608,8559
11834,8539
6647,8576
8,8561
141,8536
108,8536
14609,8536
9,8536
11946,3033
11868,8536
11945,2053
41,8577
11826,2672
54,2032
11835,8536
69,1571
9258,8553
11889,1745
175,8536
11868,8553
186,2053
141,8568
43,8536
174,8571
109,8539
141,8573
11868,8559
142,8545
11893,1639
11868,8557
11836,8536
11847,2053
11869,8538
109,8552
6683,8536
37,1571
11836,8544
109,8558
6683,8538
6694,2053
6683,8545
175,8563
11863,1571
176,8536
167,2672
110,8536
176,8538
14380,8536
11,8536
11828,1639
32,1745
6644,1571
11869,8562
149,2217
11837,8537
6683,8564
11870,8537
170,1571
11836,8570
137,1571
194,14140
176,8554
11927,2672
176,8562
6750,8541
11837,8542
144,8536
11921,14143
6684,8547
102,2672
6678,1571
3,2672
176,8575
177,8545
6750,8558
11144,8536
117,2217
144,8549
51,2217
18,2217
11837,8564
6,1571
6750,8570
1585,1777
6717,8572
6717,8579
11870,8574
11826,1745
11838,8541
6685,8545
111,8565
6717,8576
145,8536
11856,14140
79,8536
13,8536
11865,1571
79,8545
79,8549
6686,8536
12,8579
172,1571
13,8549
11827,1745
11905,8537
179,8536
11839,8545
11839,8544
47,8544
14,8544
11839,8570
11873,8537
11840,8536
11840,8538
179,8568
147,8536
14719,2251
114,8543
186,2217
80,8576
11940,8538
87,2217
80,8578
11907,8536
14609,1571
86,2251
27,2032
147,8555
11940,8543
42,1571
11885,2053
11841,8551
181,8536
110,2546
148,8536
115,8536
147,8574
11826,14137
82,8545
121,2217
181,8549
6655,8558
11837,2546
166,14137
11907,8563
142,1571
34,14137
6644,1745
11841,8571
78,2546
6683,1571
17,8539
116,8544
17,8544
182,8549
11909,8536
11843,8536
143,1571
17,8552
17,8558
50,8559
14380,1571
178,2546
11828,14138
9258,2672
117,8536
11921,2032
117,8538
75,2672
11909,8551
51,8537
18,8536
84,8539
117,8541
11837,1576
11828,14143
117,8542
117,8543
183,8545
117,8544
117,8545
11828,14142
84,8546
11844,8536
6684,1581
11909,8571
17,8579
11843,8568
144,1571
117,8552
45,1571
117,8557
11144,1571
97,3033
175,1639
11883,2217
117,8561
117,8562
11843,8573
117,8564
9974,3033
184,8536
11943,8554
11877,8554
84,8569
118,8541
117,8575
6652,1571
84,8576
151,8549
11824,3033
58,2217
112,1571
6647,1745
176,1639
6725,8543
11845,8544
77,1639
14719,8536
6691,8574
185,8536
152,8536
11830,14140
86,8536
20,8536
6686,1571
52,8571
14719,8557
185,8545
14719,8553
152,8548
20,8545
86,8548
11945,8541
14719,8564
11846,8537
11945,8537
14719,8560
152,8557
86,8557
11945,8551
14720,8536
54,8536
14608,1777
54,8538
12492,14137
54,8545
11826,3033
60,2217
6652,1639
11945,8574
14720,8563
11946,8543
11913,8537
11847,8536
54,8561
11946,8545
11945,8579
88,8536
11847,8557
6688,1571
187,8545
11841,1581
54,8574
54,8575
11914,8536
11876,2546
9258,1777
22,8545
28,2217
11847,8561
11901,1777
11826,2053
82,1571
11868,1777
11881,8536
117,2546
11551,8536
56,8536
11875,1571
44,1745
188,8545
11866,14140
11866,14139
155,8546
11882,8536
122,8549
61,2251
11881,8573
23,8551
11882,8544
11882,8543
11849,8537
6750,1745
11828,2032
10891,8546
11882,8545
123,8536
56,8566
90,8536
