basic_title_1,basic_title_2
11755,13515
10632,13514
6668,13520
11755,13517
194,13512
128,13511
194,13513
10632,13523
128,13512
62,13511
9443,13514
6668,13527
6668,13531
9972,13514
10170,13514
7858,13511
7858,13509
11161,13514
5149,13521
6669,13511
6669,13512
11756,13509
7858,13521
12945,13522
6669,13522
129,13512
7858,13530
5150,13509
5150,13510
129,13515
5150,13516
8189,13511
5150,13519
195,13525
129,13525
7793,13509
7661,13511
10766,13514
7661,13510
6670,13511
7793,13514
5150,13529
10832,13514
7793,13516
5150,13530
196,13511
196,13512
130,13512
130,13515
11361,13513
7661,13530
6670,13530
10700,13526
11361,13515
5151,13521
64,13521
11361,13521
130,13525
9974,13511
5151,13529
6671,13511
10833,13513
10899,13514
12947,13528
197,13511
197,13512
5152,13509
131,13511
5152,13510
8521,13514
6671,13522
65,13512
13080,13509
10239,13514
9182,13514
5086,13509
5086,13510
65,13515
5086,13519
14864,13509
5152,13519
1585,13509
6672,13512
6672,13511
10636,13509
10438,13514
1585,13523
132,13512
8522,13514
132,13513
66,13512
132,13515
132,13520
5087,13521
5153,13521
132,13527
10835,13509
5153,13529
8258,13530
10439,13514
133,13511
133,13512
5088,13509
8325,13509
5088,13510
67,13511
67,13512
5154,13509
8325,13511
1,13511
5154,13510
5154,13519
8325,13530
10836,13514
5088,13519
10704,13514
9383,13514
134,13512
7731,13529
68,13511
68,13512
134,13515
9383,13523
11299,13514
5155,13521
134,13525
5089,13521
9846,13509
5155,13529
8525,13514
5089,13529
9714,13514
5156,13509
5156,13510
135,13511
69,13509
9252,13514
3,13511
5090,13509
5090,13510
5090,13516
69,13518
5090,13519
135,13522
9186,13514
7997,13510
5156,13519
7997,13511
5090,13518
3,13522
9252,13523
5156,13530
6676,13512
9186,13523
6676,13511
12424,13509
8526,13514
7997,13530
5090,13530
6676,13521
5157,13510
136,13511
136,13512
8526,13523
6676,13524
5157,13509
6676,13530
9451,13514
8328,13512
11235,13514
5091,13521
11764,13514
12424,13530
5091,13529
8527,13514
6677,13521
8197,13512
137,13512
5092,13509
8197,13513
5092,13510
71,13511
5158,13509
13218,13509
10245,13514
5,13511
5158,13510
137,13515
5158,13519
5092,13518
71,13521
71,13522
5,13522
8065,13525
6678,13511
6744,13512
9717,13514
6744,13511
10510,13514
72,13509
138,13512
8528,13514
5093,13510
5093,13509
7669,13529
5093,13519
5159,13521
5093,13516
10048,13514
8529,13509
6679,13512
5159,13529
6679,13511
10841,13514
8397,13509
8397,13511
73,13511
5160,13521
8397,13529
12890,13512
8397,13530
11238,13523
6746,13511
5094,13521
5160,13529
5094,13529
12890,13513
9389,13514
5161,13510
140,13511
5095,13509
10578,13513
74,13511
5161,13509
11239,13514
5095,13510
5095,13516
5161,13519
10248,13514
12890,13529
140,13522
11239,13523
74,13522
5095,13518
5095,13519
6681,13511
13221,13516
9786,13514
8531,13514
141,13512
75,13511
141,13513
75,13512
141,13515
10117,13513
9,13513
9,13515
10117,13509
75,13522
5096,13521
9853,13514
5162,13521
141,13530
75,13529
11505,13509
5096,13529
10117,13528
5162,13529
8532,13514
11307,13511
10316,13514
9325,13514
142,13511
142,13512
76,13511
10448,13514
10448,13523
5163,13521
5097,13521
6683,13512
10316,13523
5163,13529
5097,13529
5296,13509
9722,13514
10713,13514
5164,13509
143,13511
5164,13510
143,13512
11,13509
77,13511
11,13511
5098,13509
5098,13510
5164,13518
5098,13516
11110,13513
5098,13519
11110,13509
11176,13514
5164,13519
6750,13511
7807,13511
7609,13511
5164,13529
6684,13512
77,13531
6684,13511
6684,13521
11969,13523
10648,13514
11110,13528
7807,13522
7609,13523
144,13511
5099,13509
144,13512
78,13511
78,13512
3976,13509
11969,13529
12,13511
11441,13513
12,13512
5099,13510
7807,13530
7609,13530
3976,13511
10516,13523
78,13522
5099,13518
9129,13514
5099,13519
5165,13521
6685,13511
9129,13523
6685,13512
3976,13530
9460,13509
145,13512
79,13511
79,13512
13,13511
145,13515
13,13512
79,13522
5100,13521
5166,13521
9923,13509
6686,13512
6686,13511
10914,13514
10848,13514
5166,13529
9659,13514
5167,13509
146,13511
10914,13523
80,13511
5101,13510
80,13512
5167,13510
14,13511
5101,13509
14,13512
146,13521
11972,13511
5101,13519
5101,13516
5167,13519
9660,13514
8338,13529
12435,13512
12435,13513
11972,13530
11972,13529
10651,13514
147,13511
7678,13522
147,13512
9528,13514
81,13512
8075,13512
81,13515
7678,13530
7678,13529
5168,13521
81,13525
10123,13514
5102,13521
11577,13509
6688,13512
12766,13513
6688,13511
9859,13514
12435,13530
5102,13529
8274,13509
8274,13511
5169,13510
11643,13514
5103,13509
9859,13523
82,13511
5169,13509
82,13512
8010,13509
9199,13514
16,13511
5103,13510
10124,13514
5169,13519
11379,13514
12766,13528
5103,13518
5103,13519
5169,13521
6689,13511
8010,13514
12767,13516
6689,13513
6689,13512
8274,13530
8010,13523
149,13509
7746,13522
149,13511
10389,13514
6689,13520
83,13509
83,13511
83,13512
17,13511
6689,13524
17,13512
5104,13521
6756,13509
7681,13511
149,13528
7681,13510
7681,13509
10984,13514
6756,13511
9729,13514
8143,13529
9399,13514
6756,13530
11513,13513
5105,13510
84,13511
6756,13529
84,13512
5171,13513
11513,13514
5105,13509
18,13512
7681,13530
11183,13514
18,13515
5105,13518
5105,13519
8078,13511
11183,13523
8078,13522
18,13525
9994,13514
6691,13511
5105,13530
5105,13529
11778,13515
5172,13509
151,13511
5172,13510
151,13512
85,13511
85,13512
8475,13514
10061,13514
151,13522
5172,13519
10788,13514
5106,13521
8145,13521
9599,13514
10524,13514
8476,13514
8145,13529
5107,13509
86,13512
11317,13509
8344,13512
20,13512
5107,13510
9203,13514
5107,13519
5173,13521
9203,13523
9864,13514
5173,13529
8477,13514
153,13509
14621,13510
9468,13509
153,13511
5108,13509
87,13511
5108,13510
21,13511
8477,13523
21,13512
5108,13518
14621,13530
13168,13513
8015,13511
5108,13519
6694,13512
6694,13511
6297,13529
8015,13525
13168,13521
5108,13530
8015,13530
8478,13514
5175,13509
9601,13514
154,13512
88,13511
154,13515
5175,13510
22,13511
8478,13523
22,13512
9601,13523
5175,13519
10989,13514
154,13525
5109,13521
10725,13514
10527,13514
11650,13514
10659,13514
155,13511
155,13512
89,13512
23,13511
5110,13509
23,13512
89,13515
5110,13510
9999,13514
5110,13519
5176,13521
5176,13529
11783,13514
14426,13509
156,13511
8480,13511
156,13512
90,13511
11585,13514
24,13511
24,13512
10132,13514
90,13522
9934,13514
90,13528
90,13531
10132,13523
11322,13509
8283,13512
157,13511
157,13512
5112,13509
91,13511
25,13509
5112,13510
5178,13513
3923,13513
5112,13518
10926,13514
5112,13521
91,13522
5112,13519
10067,13514
11520,13528
8283,13525
5112,13529
25,13528
6632,13512
10596,13514
6632,13511
9737,13514
8277,13719
6632,13522
8218,13511
158,13511
158,13512
8350,13509
92,13511
5113,13510
11587,13514
92,13512
14428,13509
8350,13511
26,13511
9737,13523
5113,13509
26,13513
92,13515
5113,13518
5113,13519
5179,13521
26,13520
9870,13513
8350,13530
26,13522
10927,13514
7888,13512
9870,13509
11059,13514
5179,13529
9870,13521
8218,13530
11390,13514
159,13511
159,13512
27,13511
27,13512
9870,13528
11390,13523
5114,13521
5180,13529
6700,13511
10532,13514
5114,13529
5181,13510
5115,13509
94,13511
6700,13524
94,13512
5181,13509
28,13511
5115,13510
5181,13518
5181,13519
5115,13521
28,13522
7758,13512
7824,13513
6767,13512
7824,13511
10929,13514
7824,13520
8353,13511
7824,13524
12713,13512
161,13511
161,13512
5182,13509
95,13512
7758,13525
29,13511
5182,13510
29,13512
95,13515
29,13513
11392,13514
5182,13519
95,13520
8353,13522
6702,13512
6702,13511
95,13527
5116,13529
8353,13530
6636,13512
6636,13511
3927,13530
162,13511
12714,13513
96,13511
5117,13510
30,13511
30,13512
5117,13509
3928,13509
10204,13509
10865,13509
7958,13511
162,13522
5117,13519
3928,13511
10997,13514
3796,13514
5183,13529
8487,13509
3928,13530
5184,13509
5184,13510
163,13512
97,13511
97,13512
7826,13531
163,13515
31,13512
5118,13509
5118,13510
31,13515
5118,13519
10007,13514
97,13521
5184,13519
11130,13514
97,13524
10932,13509
31,13525
10007,13523
6704,13511
10536,13509
11130,13523
6704,13522
8356,13512
7827,13523
7827,13522
164,13511
5119,13509
98,13511
6770,13525
32,13511
11263,13514
5119,13510
10140,13514
5119,13516
11329,13514
164,13522
11263,13523
5119,13518
5119,13519
9876,13514
6705,13511
11660,13511
6639,13512
6639,13511
98,13531
10471,13509
6705,13512
5119,13530
11792,13514
10801,13514
11660,13509
165,13511
8489,13514
99,13512
33,13511
33,13512
11462,13521
99,13515
10934,13514
5120,13521
12916,13513
5186,13521
99,13525
12916,13521
5187,13509
166,13511
166,13512
12916,13528
13511,13512
100,13512
8490,13514
5187,13510
34,13511
34,13512
10142,13514
34,13513
5187,13519
9812,13514
34,13524
5121,13521
6641,13513
5121,13529
8491,13513
167,13509
167,13511
167,13512
8491,13514
35,13511
7897,13511
5188,13521
7897,13509
7765,13511
35,13522
5122,13521
35,13525
10011,13514
6642,13512
6642,13511
5122,13529
10011,13523
7897,13525
7897,13530
168,13512
7963,13530
11333,13514
102,13512
168,13515
36,13511
10408,13514
7765,13528
10210,13514
5123,13521
168,13525
36,13521
36,13522
11201,13514
6643,13512
6643,13511
9880,13514
11598,13514
169,13511
103,13509
5124,13509
5124,13510
103,13512
9286,13515
37,13512
103,13515
37,13515
5124,13519
5190,13521
103,13525
7635,13513
10938,13514
7635,13512
6644,13513
10872,13514
5190,13529
9551,13514
170,13511
170,13512
104,13511
170,13513
9551,13523
104,13512
38,13512
38,13515
170,13520
5191,13521
170,13524
6711,13509
9155,13514
5125,13521
170,13529
6645,13511
170,13530
5191,13529
6711,13511
6711,13516
6645,13512
8495,13514
10345,13511
6711,13525
5192,13509
105,13509
171,13511
5192,13510
105,13510
5126,13509
5126,13510
10345,13513
6711,13530
5126,13519
5192,13519
13054,13513
10147,13514
13054,13512
7835,13511
5126,13521
10081,13514
7835,13510
6646,13511
13054,13521
7835,13522
11469,13514
172,13511
13054,13527
172,13512
7769,13525
6646,13522
106,13511
40,13511
7835,13530
13319,13512
13451,13516
13319,13513
6646,13530
12328,13512
5127,13521
40,13522
5193,13521
6647,13512
5127,13529
6647,13511
9422,13513
10479,13514
11338,13509
11404,13514
5722,13522
5128,13509
9422,13509
5128,13510
5194,13509
107,13512
5194,13510
41,13512
107,13515
5194,13519
5128,13518
5128,13519
11008,13514
9422,13528
5194,13530
174,13512
108,13510
108,13512
42,13511
108,13513
108,13515
10150,13514
6781,13511
6781,13510
6781,13509
108,13525
9820,13514
5129,13521
108,13527
5129,13529
6781,13522
10811,13514
9688,13514
9688,13523
175,13511
175,13512
9292,13514
109,13511
109,13512
6781,13530
9490,13514
11538,13513
43,13512
12859,13523
43,13515
5196,13521
9490,13523
5130,13521
43,13525
9292,13523
5196,13529
10614,13514
5130,13529
176,13511
176,13512
5131,13509
110,13512
44,13512
9425,13514
5131,13510
44,13515
9227,13518
176,13520
13125,13511
176,13525
5131,13519
110,13524
5197,13521
6717,13511
9227,13528
11209,13523
6717,13512
5197,13529
177,13511
177,13512
10351,13514
111,13511
111,13512
11144,13509
45,13512
45,13515
10351,13523
177,13522
5198,13521
10814,13514
6652,13512
5198,13529
6652,13511
9493,13514
10814,13523
178,13511
9427,13509
112,13511
112,13512
12796,13530
46,13511
5133,13513
5199,13521
46,13522
5199,13529
179,13511
179,13513
47,13511
47,13512
6719,13530
13128,13516
179,13527
5134,13521
9495,13509
5134,13529
9297,13509
114,13511
114,13512
9495,13513
5201,13513
9495,13518
9297,13514
5135,13521
6721,13511
9495,13528
5135,13529
9826,13514
181,13511
5136,13509
181,13512
5136,13510
181,13513
115,13512
9826,13523
5202,13509
5202,13510
49,13511
8043,13510
49,13512
6721,13530
115,13515
5202,13519
6655,13531
9232,13514
10289,13514
9232,13523
5136,13519
115,13525
7647,13511
182,13511
12734,13521
182,13512
116,13511
12800,13521
116,13512
8506,13514
50,13511
7647,13529
12800,13529
10158,13509
7647,13530
7780,13509
9828,13514
5137,13521
5203,13528
12867,13509
7780,13511
12735,13516
9630,13514
5137,13529
11744,13514
7780,13525
8309,13513
183,13511
10423,13514
11348,13514
183,13512
7780,13530
9828,13523
51,13510
117,13512
51,13511
117,13515
10423,13523
51,13516
51,13521
51,13522
117,13525
5138,13521
11018,13514
11348,13523
5204,13528
51,13529
51,13530
5138,13529
11613,13514
10754,13514
10688,13514
118,13511
118,13512
52,13512
9433,13514
11481,13514
8046,13509
8046,13510
5139,13521
8046,13511
11217,13514
5205,13521
6725,13511
5139,13529
5205,13529
8046,13530
8509,13514
10557,13514
8046,13525
6725,13522
8509,13510
185,13511
53,13512
53,13515
7981,13511
11086,13514
6719,13719
185,13522
5140,13521
7915,13512
6726,13511
7915,13515
7849,13513
6726,13509
7849,13512
185,13531
10954,13514
5140,13529
7915,13525
7981,13530
5207,13509
6726,13522
186,13511
120,13511
5141,13510
54,13511
6726,13525
5141,13509
54,13512
54,13513
6726,13530
5141,13519
54,13520
11153,13514
54,13524
5207,13528
11814,13514
9766,13514
