peers_1,peers_2
8315,12640
8273,11895
8600,4311
753,3862
12642,12641
7700,6103
206,3412
11923,3710
7910,12398
6862,6998
8370,11962
6687,7822
8093,11853
8278,8180
6739,6736
11904,7895
12370,12393
11942,12364
6862,3442
7976,4235
3274,8180
8111,7739
8312,7659
6739,6759
7812,3710
8600,3862
3671,4084
3503,8278
7895,11904
7895,6783
8179,6687
12365,8000
7896,12392
8314,6103
3862,753
11962,8212
6862,7087
7910,11975
8214,8182
12393,7659
8118,7592
7964,8272
7998,8248
3431,7998
7998,12343
4238,8069
7015,12095
11942,12448
11895,8273
11930,7699
12365,7024
3960,3900
4109,9011
8272,7964
4109,7989
6759,6739
7587,6677
7739,8111
12324,6783
7024,12365
8314,7700
7700,8314
8182,8214
4084,3671
8180,8278
8037,8111
7699,11930
11853,8093
7736,12337
11862,7822
7087,6862
7890,8081
11975,7910
6677,7807
3502,8949
6677,6781
3900,6342
7592,8118
8099,8273
12393,12370
8000,12365
12640,12392
7620,7766
6765,8167
7901,7766
12640,8315
4109,8069
6103,7700
7860,5974
4081,753
753,4081
8212,11962
8104,3534
6699,6638
8069,4109
6739,7970
6342,3900
11962,11947
11895,7890
6781,6677
11962,8370
6677,11953
9011,4109
3862,8600
8723,8949
8380,3710
7766,7901
7717,3795
7822,6687
8180,3274
8949,3502
4235,4236
8081,7890
8167,6765
7970,6739
7807,6677
12392,7896
11947,11962
8273,8099
7989,4109
11953,6677
4236,4235
6783,12324
4109,8176
6103,8314
11953,7709
3450,3522
7822,11862
8111,8037
3534,8104
3442,6862
753,4205
11906,7643
11953,6698
4311,8600
6781,7807
8069,4238
12448,12364
753,4220
8149,7910
3795,7717
8780,11906
7910,8149
7759,7710
6687,8179
8949,8723
3900,3960
8315,7890
3710,7812
6698,11953
8008,8216
12364,12448
3710,11923
7659,12393
7807,6781
12364,11942
7895,7641
7890,11895
12135,12392
7890,8315
7998,3431
12343,7998
7659,8312
7710,7759
4220,753
3522,3450
11954,12398
3412,206
4235,7976
6638,6699
3710,8380
12392,12640
12448,11942
8248,7998
12398,11954
4248,8600
8600,4248
12392,12135
6736,6739
8256,12354
8322,6735
7643,11906
3412,7901
12095,7015
11906,8780
6735,8322
8278,3503
7901,3412
7641,7895
8176,4109
5974,7860
12641,12642
4205,753
3503,8180
6677,7587
7766,7620
12337,7736
8216,8008
7709,11953
12354,8256
6998,6862
6783,7895
12398,7910
8180,3503
