form_of_government_1,form_of_government_2
167,7
35,4
68,7
35,7
134,10
101,10
68,15
35,15
52,2
52,4
151,7
85,7
184,10
19,7
52,10
85,15
168,2
102,2
69,2
102,4
3,4
36,7
3,7
102,10
69,10
135,15
36,15
86,2
152,4
3,15
53,2
119,4
20,2
185,7
20,4
119,10
86,10
53,10
20,10
185,15
118,48
103,2
136,4
70,2
37,2
169,7
37,4
103,10
70,10
37,10
169,15
136,15
153,4
54,2
87,4
21,4
120,7
87,7
54,7
21,7
186,15
120,15
87,15
54,15
170,4
137,4
53,48
104,4
71,4
5,4
137,10
5,7
38,10
104,15
71,15
154,2
187,4
5,15
55,2
121,4
121,7
22,4
88,7
154,10
22,7
55,10
88,15
22,15
171,4
72,2
54,48
171,7
105,7
138,10
6,7
72,10
39,10
171,15
89,2
56,2
23,2
188,7
56,4
155,7
23,4
122,7
56,7
89,10
23,10
122,15
154,48
139,2
121,48
106,4
172,7
73,7
139,10
106,15
189,2
73,15
156,2
40,15
105,48
123,4
24,2
57,4
123,7
57,7
24,7
123,15
90,15
107,2
56,48
140,4
41,2
107,4
8,2
74,4
173,7
41,4
74,7
107,10
41,10
8,10
140,15
74,15
190,4
124,4
25,2
58,4
157,7
124,7
91,7
25,10
91,15
174,2
58,15
141,2
108,2
141,4
174,10
42,7
141,10
108,10
9,10
75,15
42,15
92,2
59,2
92,4
158,7
59,4
26,4
191,10
125,10
92,10
26,15
175,4
142,4
43,2
109,4
175,7
76,4
142,7
109,7
76,7
43,10
76,15
192,4
60,4
159,7
126,7
27,7
93,10
176,2
60,15
110,2
110,4
44,2
77,4
44,4
143,7
11,4
77,7
11,7
110,10
44,10
77,15
11,15
61,2
61,4
28,4
94,7
193,10
28,7
61,10
160,15
144,2
111,2
177,4
28,15
144,4
45,2
78,4
45,4
144,7
12,4
78,7
45,10
144,15
194,2
78,15
95,2
95,4
62,4
29,4
128,7
194,10
62,7
95,10
161,15
128,15
62,15
127,48
145,2
178,4
145,4
112,7
79,7
46,7
145,10
13,7
112,15
79,15
46,15
129,2
162,4
13,15
45,48
63,2
96,4
162,7
96,7
195,10
30,7
129,10
63,10
162,15
96,15
179,2
113,2
179,4
146,7
80,7
47,7
113,10
14,7
146,15
47,15
130,2
14,15
97,2
64,2
31,2
13,48
31,4
163,10
130,10
64,10
31,10
196,15
63,48
81,2
81,4
180,7
147,7
114,7
81,10
147,15
114,15
131,4
65,2
98,4
197,7
65,4
32,4
131,7
98,7
65,10
164,15
131,15
98,15
148,2
115,2
32,15
82,2
82,4
181,7
49,4
82,7
148,10
16,7
115,10
132,2
198,4
99,2
66,2
132,4
99,4
66,4
165,7
33,4
33,7
132,10
99,10
66,10
33,15
149,4
116,4
17,2
182,7
50,4
149,7
116,7
17,4
83,7
50,7
17,7
50,15
133,2
100,2
133,4
100,4
1,2
166,7
34,4
67,7
117,2
84,2
18,2
51,7
150,10
117,10
18,10
183,15
51,15
134,2
101,2
167,4
