role_1,role_2
8722,7191
8722,7193
8722,7196
793,7242
8722,7201
10104,13511
9570,13683
5346,13563
793,7249
8722,7215
6078,7253
13270,13679
8722,7212
8722,7217
8722,7219
8722,7220
8723,7198
8723,7201
12742,13679
8722,7228
8723,7206
10628,13684
8722,7233
8723,7215
8723,7217
8722,7242
13271,13679
3758,13679
6078,7295
9571,13703
6078,7294
8722,7256
8722,7249
8723,7219
12254,12445
8722,7252
8192,7303
8722,7257
8722,7259
793,7303
8723,7249
10107,13511
8722,7290
8725,7198
8723,7261
8722,7292
8725,7208
8722,7301
8725,7210
8725,7211
8725,7219
8725,7212
268,7242
13274,13679
3441,7203
8725,7242
3441,7209
8725,7249
3441,7210
3441,7216
3441,7220
3442,7201
3441,7238
3442,7215
3441,7249
3442,7217
3442,7219
3441,7254
13276,13679
8725,7303
3442,7249
9576,13703
3444,7198
3972,7212
3442,7261
3441,7295
1330,7203
13277,13679
3444,7210
1330,7211
1330,7212
9583,13511
3444,7219
8201,7215
8202,7192
8202,7198
8202,7201
8202,7203
1330,7249
8202,7215
8202,7210
8202,7211
8201,7242
8202,7212
7674,7203
1330,7259
8202,7224
1330,7261
8202,7219
7674,7206
8202,7220
8202,7229
8201,7261
8202,7231
8202,7232
8202,7227
8202,7234
8202,7235
8202,7245
8202,7242
8202,7249
8202,7250
8201,7294
8202,7263
3444,7303
8202,7269
7674,7249
8202,7277
8202,7279
8202,7276
7674,7261
8733,7216
8202,7294
10644,13511
8733,7217
8202,7295
8733,7219
8733,7215
8202,7303
8202,7304
8734,7191
8734,7201
8734,7217
8733,7249
8734,7219
10645,13511
8733,7259
8733,7261
8734,7242
8734,7249
8734,7259
7679,7203
7679,7212
7679,7211
7679,7244
11177,13511
8209,7215
12757,13679
7679,7259
8209,7219
8738,7215
9592,13511
11172,13684
8738,7217
8738,7219
11178,13511
8209,7249
8210,7220
7679,7303
3980,7294
8740,7193
8740,7194
8738,7249
3980,7295
8740,7200
8211,7215
8740,7201
8740,7202
8740,7198
8740,7207
8740,7210
8210,7249
8740,7203
8740,7215
8740,7216
8209,7294
8740,7217
8740,7211
8740,7212
8740,7214
