category_1,category_2
12773,12682
10659,12683
4317,12682
4317,12683
11716,12683
13302,12683
89,12682
6960,12682
13255,14148
11188,12683
6960,12683
4846,12682
12774,12683
2732,12683
4318,12683
3261,12683
90,12682
13303,12683
10132,12683
8018,12682
8018,12683
619,12682
12775,12683
9604,12682
6433,12682
9604,12683
5376,12683
10133,12683
13304,12683
6962,12683
6962,12682
1677,12683
12776,12682
3263,12682
10134,12682
11191,12683
14864,13509
10134,12683
13305,12682
8020,12683
10663,12683
10663,12682
9606,12683
12777,12682
12777,12683
5378,12683
3264,12682
5378,12682
3264,12683
1150,12682
1150,12683
10135,12683
11192,12683
12249,12682
13306,12682
6964,12683
13259,14148
12778,12682
3265,12683
4322,12682
10136,12683
11193,12683
13307,12683
3794,12683
5908,12683
623,12682
9608,12683
12779,12682
10665,12682
11722,12683
12779,12683
3266,12682
2209,12682
3266,12683
4323,12683
1152,12683
5909,12683
13308,12683
12251,12683
11194,12683
2738,12683
12780,12683
9609,12683
3267,12683
13309,12682
3267,12682
1153,12682
3796,12682
5910,12682
1682,12682
12781,12683
10667,12683
9610,12682
2211,12683
12253,12682
2211,12682
13310,12682
13263,14148
10139,12683
8025,12682
8025,12683
12782,12683
2740,12683
12782,12682
11725,12682
6612,7347
1155,12682
13311,12682
6612,7355
3798,12683
8026,12682
10140,12683
3798,12682
10669,12683
12783,12682
12783,12683
11726,12683
9612,12683
2213,12683
1156,12683
10141,12683
9084,12682
11198,12683
13312,12682
5913,12682
8027,12683
628,12682
628,12683
11727,12683
10670,12682
12784,12683
10670,12683
12784,12682
5385,12682
4328,12683
1157,12682
11199,12683
10142,12683
13313,12682
5914,12683
8028,12683
6612,7434
2743,12682
629,12682
1686,12683
629,12683
10671,12683
11728,12683
12785,12682
2215,12683
1158,12683
10143,12683
9086,12682
9086,12683
13314,12683
13314,12682
3801,12682
3801,12683
2744,12683
1687,12682
630,12682
9615,12682
9615,12683
10672,12683
12786,12683
12786,12682
5387,12682
1159,12682
1159,12683
10144,12683
11201,12683
13315,12683
3802,12683
5916,12683
3802,12682
9616,12683
12787,12682
10673,12683
12787,12683
10673,12682
11730,12683
3274,12682
3274,12683
