colors_1,colors_2
6782,14078
4536,14071
10218,14063
4404,14068
4404,14073
5065,14063
4536,14075
4404,14071
10482,14077
10086,14062
10482,14076
10218,14068
10398,12589
4933,14075
13918,14075
10615,14066
10615,14068
13918,14071
11276,14063
11408,14067
4934,14063
11012,14063
9955,14063
13126,14066
4453,12589
4934,14068
11408,14074
6784,14066
10748,14063
6784,14063
9955,14073
13919,14067
4538,14063
11276,14075
11012,14070
13919,14063
6784,14071
10748,14068
13919,14071
14184,14061
4718,12589
10881,14061
13439,12589
14184,14068
11013,14063
14184,14063
4803,14063
6785,14066
6785,14065
4671,14068
11013,14068
13920,14066
9428,14064
6653,14068
9560,14063
4539,14073
6653,14072
10221,14064
4539,14075
9428,14068
10221,14063
12864,14061
13921,14063
9825,14063
14185,14069
11014,14063
9825,14068
11014,14073
12864,14066
4540,14063
11675,14070
9561,14066
4408,14068
11147,14063
9561,14076
11279,14066
5069,14063
11279,14068
4408,14077
4937,14063
11015,14067
4805,14063
12997,14062
12997,14063
6787,14063
4937,14068
5069,14073
10619,14063
10619,14062
4805,14068
12649,12589
10884,14064
9478,12589
6788,14066
14187,14068
4674,14063
14187,14066
10752,14068
4806,14071
4674,14068
10752,14066
4939,14064
4458,12589
11149,14062
11017,14068
13311,12589
10753,14063
6657,14063
6789,14066
11149,14068
9347,12589
4939,14071
4675,14063
10753,14068
6789,14068
10885,14068
6657,14068
4675,14071
9300,14063
12783,12589
10225,14062
9696,14071
13000,14061
9300,14073
13264,14067
13264,14068
10225,14064
14189,14063
9612,12589
9829,14066
4808,14063
13000,14068
6790,14068
14189,14071
6790,14066
4808,14073
4988,12589
12868,14071
4808,14071
9565,14067
4676,14071
4676,14075
4412,14068
10490,14066
9877,12589
9565,14071
10490,14073
4677,14063
11151,14071
12869,14063
6659,14063
6791,14066
14190,14070
4677,14071
6659,14067
6791,14070
11680,14066
10491,14061
11284,14063
11680,14077
12785,12589
11680,14071
11416,14066
10491,14068
13134,14068
14191,14066
13134,14063
4810,14063
13134,14064
11416,14074
11284,14070
12653,12589
14191,14063
9699,14063
4810,14069
14191,14070
14191,14071
4858,12589
10228,14064
9303,14066
11417,14065
9699,14077
14192,14069
10228,14071
13003,14062
9303,14071
13135,14063
10889,14068
4679,14063
12739,14063
12739,14061
13003,14066
10889,14066
4679,14071
12739,14071
11022,14066
4944,14063
11154,14071
9965,14063
9833,14068
4944,14071
9965,14068
11022,14070
9965,14069
10890,14068
9833,14066
11154,14075
9701,14063
10494,14068
10890,14075
10494,14063
11155,14063
10494,14075
11287,14063
10806,12589
9701,14079
14194,14069
14194,14067
11287,14072
14194,14066
12741,14063
4417,14063
11155,14076
10363,14063
12741,14069
4729,12589
9174,14067
10363,14068
9174,14073
14195,14068
4682,14063
14195,14066
10628,14063
9703,14064
4994,12589
10364,14063
10100,14066
9968,14061
14196,14063
4598,12589
10364,14068
4947,14063
13007,14068
14196,14071
13007,14064
9968,14065
13007,14063
9572,14063
9836,14072
6665,14066
6665,14071
9704,14066
13404,14066
11554,14072
13404,14063
9572,14074
11554,14078
11602,12589
13404,14070
9224,12589
11687,14068
4732,12589
13273,14063
10234,14063
10366,14063
9177,14068
10366,14076
13273,14069
9177,14066
9970,14070
4685,14063
10763,14064
9970,14066
12877,14063
10631,14063
12877,14071
10631,14065
10763,14077
4950,14063
14199,14068
14199,14067
4337,12589
4950,14071
4686,14063
9179,14065
10368,14066
4602,12589
11473,12589
4470,12589
14200,14068
9179,14066
10368,14071
10104,14063
14200,14063
4687,14068
4687,14075
14201,14063
10501,14071
12880,14061
14201,14071
13144,14078
4688,14063
11691,14064
12880,14068
10898,14066
5000,12589
10898,14068
12880,14063
13144,14071
11691,14071
10946,12589
4424,14066
11691,14066
12880,14071
14202,14063
9313,14070
4424,14071
9313,14071
6718,12589
11295,14063
9313,14066
12881,14071
4425,14063
12881,14067
4557,14068
4557,14075
14203,14063
4425,14076
4822,14063
13014,14066
4341,12589
14203,14071
13014,14063
10107,14066
10107,14068
4558,14063
4822,14069
13014,14071
9711,14064
14203,14075
13279,14061
4870,12589
9447,14069
9447,14063
9711,14072
13279,14069
9447,14076
4474,12589
13279,14063
4823,14063
12883,14063
10901,14061
12883,14061
4691,14063
5003,12589
10505,14063
9712,14070
4823,14071
12883,14069
12751,14062
10769,14066
9712,14066
4427,14063
4691,14071
9316,14063
4427,14069
4607,12589
12931,12589
4343,12589
14205,14063
9316,14070
10902,14065
10902,14063
12007,12589
9449,14063
11214,12589
11563,14071
9449,14065
11563,14078
14206,14072
6675,14063
10771,14071
10771,14066
4561,14071
10375,14066
14207,14061
9450,14072
9450,14066
10375,14071
4826,14063
14207,14063
4958,14066
4958,14071
12754,14063
4826,14068
12754,14061
14207,14071
4826,14075
12754,14071
10508,14063
5006,12589
9583,14063
9583,14065
10376,14068
10508,14072
10376,14067
11433,14071
13547,14068
10244,14062
13547,14066
11433,14066
10244,14071
14208,14063
4346,12589
9452,14066
9452,14070
10906,14062
4960,14063
9849,14063
14209,14066
14209,14065
9849,14068
4960,14073
12756,14063
10906,14066
4564,14063
4696,14068
4564,14068
12756,14068
11303,14063
4480,12589
11039,14062
9982,14063
11039,14064
4565,14063
9982,14075
9982,14069
5009,12589
4745,12589
10247,14068
14211,14063
10247,14064
4830,14063
14211,14068
4830,14068
14211,14066
13202,12589
10644,14068
13551,14064
10512,14063
13551,14063
10380,14068
10380,14067
10692,12589
13551,14071
4350,12589
14212,14072
13023,14063
14212,14068
13023,14071
9456,14067
10249,14068
9456,14071
9324,14068
14213,14063
10645,14079
9985,14071
11042,14068
13024,14063
14213,14068
6682,14061
11042,14067
9985,14077
13553,14063
6682,14066
4880,12589
6682,14071
4436,14063
4700,14071
4616,12589
10958,12589
11043,14063
13025,14063
14214,14068
11175,14068
4352,12589
14214,14063
4833,14063
13157,14063
13157,14061
12893,14066
13025,14071
13157,14070
13157,14071
13025,14067
12893,14063
11043,14079
10779,14066
10779,14068
9458,14069
13290,14063
10251,14071
13290,14071
14215,14069
9458,14079
13158,14063
14215,14062
9194,14068
9194,14075
9903,12589
11753,12589
10252,14063
11177,14063
11309,14063
9507,12589
11309,14070
10913,14071
4703,14063
11177,14073
4703,14068
11177,14075
14216,14071
9592,14068
10036,12589
14217,14063
9640,12589
11178,14063
13556,14067
13556,14068
13160,14069
9989,14066
14217,14068
11178,14066
10565,12589
11178,14068
13160,14063
9989,14073
4704,14063
14217,14073
4704,14071
13425,14061
4752,12589
13557,14063
13425,14071
11359,12589
4705,14071
13293,14076
4705,14068
10915,14068
9330,14063
9330,14064
4753,12589
10255,14067
9330,14071
13558,14071
9330,14068
4706,14063
13558,14078
4442,14063
9463,14066
13559,14069
11313,14063
4706,14073
9463,14064
13559,14063
11313,14071
4442,14073
4490,12589
4358,12589
9379,12589
14136,12589
4575,14063
9728,14076
13560,14070
9728,14078
9728,14072
13560,14066
6737,12589
12900,14063
13032,14063
13032,14078
12900,14071
13032,14071
12900,14067
4360,12589
11627,12589
10787,14063
11231,12589
9598,14066
10787,14073
9730,14065
9730,14066
10174,12589
9598,14063
4889,12589
9598,14073
13298,14071
13298,14066
4578,14063
10307,12589
6692,14064
6692,14063
4578,14068
6692,14068
11581,14073
11581,14071
10128,14068
10128,14066
13167,14063
6693,14063
13167,14076
11714,14063
4711,14063
4711,14068
12026,12589
12771,14073
6693,14068
4447,14068
11714,14068
12771,14075
4447,14075
13480,12589
12904,14069
12772,14063
4712,14063
10790,14067
14273,12589
11054,14071
10790,14063
4712,14073
10790,14073
12027,12589
9469,14063
12772,14068
9781,12589
9469,14069
4977,14063
9205,14063
12905,14063
4845,14063
9205,14068
4845,14067
4977,14071
12773,14066
12905,14071
4845,14071
4977,14073
12773,14063
12773,14073
12773,14071
12028,12589
10263,14063
11056,14068
11056,14063
10263,14073
9471,14066
9471,14068
13039,14061
12822,12589
4498,12589
13039,14068
13039,14069
6697,14063
13039,14063
13039,14076
4895,12589
4763,12589
12955,12589
9340,14061
4451,14075
9340,14068
12691,12589
10794,14063
10133,14071
10530,14063
10133,14077
12824,12589
4764,12589
10794,14073
10530,14068
10398,14063
4500,12589
10134,14068
10002,14063
10134,14062
10398,14069
10134,14063
10134,14074
11984,14063
13041,14067
4849,14068
10663,14066
11984,14077
10002,14073
9738,14066
4453,14068
13438,14063
9738,14074
10663,14073
12957,12589
13438,14071
11192,14066
4718,14063
9871,14068
4586,14063
11192,14071
4718,14068
4898,12589
4586,14073
13439,14063
9391,12589
13307,14069
13307,14066
4370,12589
10580,12589
