people_with_this_profession_1,people_with_this_profession_2
12407,7643
12260,12254
12259,12335
12260,12313
12445,6670
12412,7710
12276,11942
12276,11964
12437,7054
12280,11948
12280,11957
12275,12130
12284,11942
12286,11898
12284,11975
12288,11887
12288,11904
12288,11924
12416,7990
12288,11964
12290,11919
12290,11926
12277,12352
12292,11899
12290,11961
12279,12315
12276,12411
12292,11915
12279,12332
12293,11904
12279,12359
12295,11892
12284,12231
12284,12254
12429,7780
12295,11973
12284,12337
12284,12364
12288,12254
12288,12313
12295,12135
12290,12309
12293,12313
12290,12413
12295,12313
12295,12310
12295,12323
12295,12356
12446,7694
12312,11948
12312,11953
12329,11915
12336,11855
12336,11948
12336,11953
12329,12350
12341,12095
12336,12398
12341,12313
12348,12231
12345,12342
12360,11941
12374,11941
12391,11906
12390,12323
12407,11941
2220,268
2220,308
2220,312
2220,332
2220,391
2220,412
2220,535
2220,549
2220,609
2220,629
2220,637
2220,640
2220,677
2220,707
2220,753
12430,11925
2220,767
2220,771
2220,793
2220,795
2220,808
2220,821
2220,824
2220,888
2220,1052
2220,1109
2220,1138
2220,1203
12430,12403
2220,1230
2220,1246
2220,1251
2220,1289
2220,1350
2220,1360
2220,1386
2220,1400
12451,11951
2220,1435
2220,1443
2220,1497
7288,8705
2220,3094
2220,3118
2220,3133
2220,3148
2220,3176
2220,3175
2220,3206
2220,3220
2220,3222
2220,3221
2220,3256
2220,3257
2220,3264
2220,3266
2220,3265
2220,3274
2220,3326
2220,3328
2220,3329
2220,3334
2220,3349
2220,3362
2220,3363
2220,3382
2220,3396
2220,3409
2220,3412
2220,3426
2220,3438
2220,3437
2220,3441
2220,3487
2220,3508
2220,3523
2220,3540
2220,3554
2220,3553
2220,3558
2220,3557
2220,3559
2220,3566
2220,3567
2220,3574
2220,3607
2220,3609
2220,3617
2220,3627
2220,3647
2220,3666
2220,3687
2220,3692
2220,3706
2220,3705
2220,3723
2220,3725
2220,3736
2220,3756
2220,3757
2220,3768
2220,3776
2220,3777
2220,3804
2220,3803
2220,3827
2220,3837
2220,3841
2220,3859
2220,3862
2220,3861
2220,3878
2220,3883
2220,3885
2220,3893
2220,3896
2220,3898
2220,3906
2220,3920
2220,3924
2220,3948
2220,3950
2220,3960
2220,3984
2220,3997
2220,4012
2220,4019
2220,4028
2220,4050
2220,4052
2220,4059
2220,4062
2220,4061
2220,4064
2220,4071
2220,4075
2220,4088
2220,4087
2220,4091
2220,4094
2220,4093
2220,4097
2220,4104
2220,4106
2220,4114
2220,4113
2220,4127
2220,4158
2220,4168
2220,4182
2220,4189
2220,4191
2220,4195
2220,4201
2220,4205
2220,4222
2220,4239
2220,4261
2220,4282
2220,4281
2220,4290
2220,4295
2220,4300
2220,4299
2220,4306
2220,4311
2220,4318
2220,4317
8711,603
2220,5213
2220,5239
2220,5286
2220,5332
2220,5356
2220,5378
2220,5405
2220,5407
2220,5489
2220,5582
2220,5605
2220,5624
2220,5639
2220,5670
2220,5676
2220,5707
2220,5775
2220,5854
2220,5881
2220,5909
2220,5929
2220,5934
2220,5941
2220,5976
2220,6005
2220,6013
2220,6034
2220,6062
2220,6074
2220,6118
2220,6119
2220,6128
2220,6127
2220,6139
