artists_1,artists_2
8669,8833
8708,7619
8674,8673
8727,7041
8823,4076
8841,3519
8692,8132
8823,4083
8735,6812
8732,6906
8826,3985
8726,7086
8710,7596
8686,8348
8710,7600
8826,4014
8731,6955
8678,8600
8760,6068
8784,5325
8710,7619
8704,7806
8832,3845
8697,8025
8665,9019
8835,3759
8728,7073
1807,8639
8679,8602
8732,6960
8678,8635
1807,8644
1807,8647
8669,8920
8679,8612
8841,3586
8712,7596
8732,6977
2333,8738
8732,6983
8712,7600
8693,8190
2333,8748
8712,7614
8712,7619
8729,7090
8678,8677
1807,8691
2333,8773
8678,8685
8760,6144
8688,8377
1807,8702
1807,8705
8686,8452
8755,6309
8674,8820
8678,8707
8824,4182
8701,7995
8824,4186
8710,7729
8736,6922
8737,6902
8710,7733
8835,3861
8852,3345
8852,3346
1807,8748
8732,7073
8739,6857
8824,4215
8682,8617
1807,8754
8783,5489
8701,8041
8678,8754
8682,8628
8670,9000
1807,8766
1807,8768
8832,3984
8712,7706
8678,8771
8737,6938
8760,6233
1807,8789
8712,7733
1525,1150
1807,8792
8712,7729
8739,6902
1807,8803
8670,9037
8710,7798
8682,8677
8826,4209
8678,8812
8739,6921
8735,7041
8712,7770
8739,6943
8739,6938
1807,8844
8686,8602
8712,7798
8683,8691
8682,8733
8682,8734
8712,7800
8697,8266
1807,8869
1807,8871
1807,8877
8679,8833
1807,8879
1807,8878
1807,8885
8743,6868
8710,7892
1807,8888
8683,8723
2333,8970
8841,3837
1807,8897
8743,6877
1807,8899
1807,8902
8701,8187
8760,6353
1807,8908
8739,7005
8832,4133
8712,7860
8739,7032
8682,8800
8776,5881
8708,7995
8739,7048
8688,8630
8739,7049
8853,3508
8776,5897
8739,7057
8682,8817
8743,6929
8712,7899
8683,8798
8674,9073
1807,8965
8682,8838
8832,4189
1807,8969
8710,7968
8678,8969
8710,7980
8697,8378
1554,440
8739,7086
8743,6962
8739,7087
1807,8989
8679,8945
8710,7994
1807,9003
8678,8992
8831,4254
8706,8132
8719,7740
8830,4294
8868,3118
8764,6342
8710,8028
8712,7960
8692,8592
8686,8773
1807,9035
1807,9034
8712,7968
8712,7980
8717,7820
8690,8658
8719,7770
8719,7778
8683,8890
8693,8592
1807,9067
8743,7041
8690,8689
8863,3329
8683,8914
8679,9040
1807,9084
8710,8080
8863,3346
8692,8653
8712,8054
8701,8403
8710,8117
1525,1480
8950,677
8692,8691
8769,6304
8835,4259
8937,1109
8727,7621
8784,5854
8694,8637
8835,4282
8745,7074
8769,6342
8701,8452
8710,8188
8769,6353
8776,6149
8682,9057
8852,3801
8717,7990
8712,8158
8717,8004
8793,5662
8874,3146
8954,677
8712,8180
8719,7960
8776,6194
8793,5676
8726,7770
8712,8201
8693,8802
8841,4221
8848,4014
8712,8226
8697,8696
8712,8233
8729,7706
8731,7644
8693,8833
8784,6013
8711,8270
8719,8025
8730,7684
8711,8284
8776,6266
8719,8042
8698,8696
8697,8740
8694,8833
8776,6293
8724,7899
8698,8707
8708,8398
8693,8880
8809,5287
8698,8740
8776,6341
8694,8879
8700,8699
8710,8389
8690,9011
8727,7864
8710,8398
8755,7012
8690,9027
8757,6984
8863,3701
8712,8377
8868,3550
8712,8398
8717,8236
8793,5880
8760,6904
8701,8748
8868,3573
8755,7087
8717,8263
8697,8883
8703,8702
8701,8766
8697,8900
8719,8226
8701,8787
8813,5325
8736,7714
8697,8934
8764,6857
8719,8246
8764,6852
8764,6853
8759,7009
8784,6243
8868,3640
8697,8938
8729,7960
8704,8744
8701,8839
8708,8639
8706,8705
8850,4254
8706,8715
8701,8879
8760,7062
8939,1508
8701,8898
8701,8899
8710,8628
8736,7822
8859,4014
8704,8828
8706,8768
8710,8639
8703,8869
8708,8707
8704,8833
8764,6984
8726,8164
8703,8877
8736,7848
8712,8600
8710,8664
8710,8673
8788,6257
8719,8403
8706,8803
8712,8628
8703,8908
8697,9095
