cities_served_1,cities_served_2
13061,8488
10823,8487
10703,9264
13044,11585
10823,8498
13044,8511
13044,64
13449,8498
10823,1585
13449,10545
13449,1585
13044,9289
11098,9453
10823,9654
13061,8511
13061,8508
11098,9331
13061,10058
13449,10575
13044,11351
13044,8532
11098,9990
13061,8530
11098,11397
13061,11731
10823,10575
10703,10841
10823,8529
12901,9659
10823,11357
13449,11357
10823,11609
13061,10196
13449,11609
10823,11755
13449,10487
12901,8526
10823,10487
11098,8490
11098,8491
13061,10243
13449,10116
10823,10116
13044,9995
13061,10876
11098,8510
10823,10387
11098,72
13044,8480
13061,9998
11098,11585
13044,8478
12994,8490
13044,8490
10823,29
10823,10909
13449,29
11098,10058
10823,11555
13449,8487
10823,8485
10703,9516
13449,8485
11098,8530
10703,8489
