administrative_children_1,administrative_children_2
9674,10446
127,9439
49,10834
9940,9370
9890,9889
9430,10849
86,10723
110,11003
8476,9702
110,9983
191,9521
78,9953
184,10770
10595,10594
90,11647
132,11371
6700,10526
132,11384
166,9311
108,11110
5093,11197
5115,11543
9439,9593
187,11738
9732,9731
9636,9635
9412,9411
86,11801
10055,9960
6700,8496
176,11064
10514,11104
10685,10918
90,11693
191,11638
108,10117
5095,9125
9403,9717
6669,11533
9509,9508
9925,9924
54,9754
5150,11522
179,11001
9578,9420
166,10383
6700,9555
127,8522
187,9735
5141,11808
6734,10560
10061,9821
127,8532
5181,11600
179,11018
5093,9215
9652,9202
9845,9359
176,10096
5145,11704
170,11307
9734,9733
5126,11274
9648,11383
179,11040
10561,9707
10514,11174
9578,10495
9213,8492
9553,10243
92,9652
90,11767
5115,11643
9509,9585
9213,8517
6683,11179
11016,11006
12,11134
110,11171
9,10207
5144,9747
179,11088
66,11521
6668,10637
9320,9319
9925,11047
11720,10708
6700,10677
10061,9913
13338,6632
90,11811
132,10514
13338,6639
127,9648
6644,10378
6700,10689
13338,6636
118,10956
13338,6647
90,1585
33,11544
13338,6645
5150,9590
13338,6643
9217,11513
13338,6644
141,9
110,10187
86,10931
13338,6642
17,9999
127,10685
191,9726
13338,6652
10061,10957
176,9173
9578,9558
13338,6664
71,10385
71,9361
12,10167
176,10204
11307,11252
13338,6671
13338,6672
13338,6669
6644,11427
13338,6668
182,11050
5117,10640
13338,6666
5117,11665
13338,6679
5093,9343
13338,6678
13338,6676
12,10186
13338,6688
176,9200
10355,11094
13338,6685
13338,6686
13338,6683
10538,10537
13338,6684
13338,6681
13338,6694
13338,6691
13338,6689
5187,11567
5145,10827
13338,6704
5145,9800
13338,6702
170,11452
13338,6700
5115,11759
6734,11751
13338,6705
9213,11702
5095,11362
13338,6717
9759,11173
9131,9130
13338,6716
127,9732
132,9578
13338,6725
176,11290
9,10323
108,5207
186,9957
9743,10649
61,11787
13338,6734
9759,9141
11101,11579
170,9445
170,11494
186,9978
135,10536
5095,11398
135,8489
9164,9163
110,11317
90,9890
9,11385
141,125
184,10061
12,9251
176,11338
12,9254
6644,11538
5145,10907
9709,9708
90,10942
6676,8505
54,11038
10340,10635
9845,11656
5131,9309
12,9278
176,10340
11307,9351
5145,9907
166,9632
5095,11463
9,10417
141,184
9761,9160
9131,10261
141,191
5131,9339
6647,9453
5145,10959
9947,8523
5095,11485
170,10561
5095,10465
108,11462
170,11589
6644,10577
10353,10282
5093,11559
108,9422
179,11319
11281,10192
71,8529
186,10087
186,11111
9434,10115
5143,11052
9983,10510
5194,10500
6644,11628
170,9575
176,11437
10561,11035
5182,9860
9,10478
51,5086
51,5088
51,5090
9434,9134
51,5092
51,5093
5095,8476
51,5095
191,9971
51,5098
5095,11552
51,5099
5095,11553
90,11060
51,5101
51,5103
51,5105
51,5107
5131,9418
51,5108
176,11474
71,10633
9361,9360
51,5110
51,5112
110,9427
51,5113
51,5115
51,5117
170,9620
51,5118
108,9495
51,5119
132,9776
86,10179
11373,10497
51,5124
110,9441
51,5126
51,5128
10473,10746
117,9227
117,5132
51,5131
137,10657
110,10471
51,5136
11720,9996
12,10444
11205,9579
186,9148
51,5141
11101,10749
51,5142
5126,9611
51,5143
50,9270
51,5144
117,5146
51,5145
110,9460
51,5150
51,5152
170,11705
11538,8486
5095,11608
51,5154
51,5156
51,5157
51,5158
9213,10927
51,5161
51,5164
9520,9613
184,9235
9894,9277
51,5167
9602,10138
5145,10068
117,5170
9213,10935
170,11720
191,10045
51,5169
117,5174
51,5172
125,11072
117,5177
51,5175
51,5181
51,5182
117,5185
51,5184
109,10556
51,5187
117,5189
176,9504
51,5192
176,9510
117,5195
51,5194
110,8487
117,5200
9759,11447
12,11529
184,9269
191,10077
117,5203
51,5202
117,5204
117,5206
110,9520
10685,10402
86,11289
9620,9619
5095,11658
51,5209
10061,10287
118,11326
10055,10483
132,9868
176,11577
5095,11666
9434,10285
5145,10120
9845,10859
118,9290
176,10569
5126,11741
9251,9824
132,10910
184,9299
149,11409
12,11561
9709,9969
184,9305
170,9739
11657,10005
5095,11697
13338,11144
90,11205
111,8506
176,11612
9439,10153
9,9623
12,9531
105,11772
179,9481
10700,9981
78,8516
135,10846
9732,11328
105,11779
127,11101
184,9334
5131,11623
176,11632
5095,11721
176,11633
8487,9997
12,11599
110,10612
5095,11729
9228,8534
5098,9595
9143,9132
5131,10624
6700,10113
12,10595
9460,8527
10700,10025
176,10636
5145,11220
10714,10611
78,11639
118,10405
5182,11117
5145,11246
176,9636
86,11402
10061,9374
184,9390
12,9602
11505,11725
9776,10027
86,10387
176,10670
5115,11163
9801,9259
127,9131
176,9663
176,10687
90,9258
9278,10125
11016,9496
90,11311
10514,9710
178,11659
9434,9394
10473,9967
9305,9304
13338,5
13338,3
9434,10436
13338,13
13338,14
9430,8524
13338,11
13338,12
13338,23
6700,10214
13338,24
13338,21
13338,22
5098,11746
5115,11225
13338,20
13338,17
13338,18
5098,11750
13338,31
9,10793
13338,32
13338,29
13338,30
10860,9260
13338,27
5112,10301
13338,28
13338,26
179,11673
