administrative_parent_1,administrative_parent_2
11822,176
10594,10595
10495,9578
11134,12
1585,90
11693,90
11447,9759
10205,132
9251,12
9510,176
5154,51
10204,176
9776,132
9671,9531
10215,11101
11697,5095
5187,51
167,13338
134,13338
8492,9213
5088,51
5185,117
68,13338
35,13338
9578,132
11462,108
9445,170
9747,5144
10027,9776
11696,5141
10536,135
9635,9636
9731,9732
9411,9412
6642,13338
10640,5117
10471,110
8522,127
168,13338
135,13338
102,13338
10405,118
36,13338
9154,5117
3,13338
11047,9925
9148,186
8489,135
11064,176
11494,170
9351,11307
6676,13338
9924,9925
9418,5131
9508,9509
11791,176
11665,5117
10689,6700
6643,13338
10569,176
11659,178
5090,51
169,13338
10436,9434
5156,51
136,13338
11666,5095
103,13338
9821,10061
37,13338
11599,12
10636,176
9254,12
6644,13338
9733,9734
8486,11538
5157,51
10483,10055
170,13338
5124,51
137,13338
9707,10561
104,13338
71,13338
38,13338
5,13338
9317,127
9910,176
11725,11505
6645,13338
10444,12
11101,127
6678,13338
10670,176
10340,176
10526,6700
5158,51
9481,179
171,13338
11003,110
138,13338
5092,51
5189,117
9648,127
10478,9
10907,5145
11038,54
11001,179
9710,10514
10770,184
9319,9320
9125,5095
6679,13338
11600,5181
5126,51
5093,51
5192,51
172,13338
11567,5187
9947,110
10179,86
106,13338
73,13338
40,13338
9496,11016
10287,10061
8530,23
10463,9732
10749,11101
9978,186
6647,13338
10077,191
11402,86
10560,6734
11702,9213
9141,9759
8524,9430
140,13338
107,13338
74,13338
10005,11657
41,13338
8529,71
10999,11571
9969,9709
6681,13338
10537,10538
10045,191
5194,51
10877,9
11171,110
5161,51
9652,92
10138,9602
5128,51
5095,51
108,13338
75,13338
42,13338
11205,90
11274,5126
11072,125
9520,110
10616,9135
11331,8487
9613,9520
9937,6644
10083,71
11767,90
9954,5095
11632,176
9130,9131
10812,9
175,13338
11751,6734
142,13338
109,13338
76,13338
43,13338
9983,110
9917,110
9623,9
10942,90
10402,10685
9754,54
11801,86
9422,108
6716,13338
10201,10770
6683,13338
9717,9403
9960,10055
11633,176
9163,9164
11704,5145
9290,118
176,13338
143,13338
110,13338
9590,5150
10859,9845
77,13338
44,13338
11,13338
8534,9228
9258,90
10262,9940
6684,13338
10417,9
6717,13338
10612,110
9370,9940
11371,132
11035,10561
8527,9460
9708,9709
11579,11101
10186,12
9132,9143
5098,51
5195,117
9953,78
5164,51
177,13338
144,13338
5131,51
10117,108
111,13338
11571,90
78,13338
10282,10353
45,13338
12,13338
11505,90
11372,128
11040,179
9620,170
11608,5095
11144,13338
10120,5145
6652,13338
6685,13338
11437,176
11338,176
10910,132
9,141
10388,11189
8532,127
178,13338
145,13338
10243,9553
9521,191
5099,51
112,13338
79,13338
46,13338
13,13338
11104,10514
10514,132
11427,6644
10115,9434
11639,78
6686,13338
11543,5115
11328,9732
9824,9251
11110,108
179,13338
11135,9578
146,13338
11537,190
80,13338
47,13338
14,13338
11741,5126
9227,117
9390,184
9585,9509
9361,71
10385,71
9595,5098
8502,84
11541,90
11643,5115
11307,170
5101,51
5167,51
5132,117
9634,10061
147,13338
11246,5145
114,13338
81,13338
10654,9164
9694,12
11772,105
11656,9845
9923,75
10846,135
11808,5141
6688,13338
9427,110
8521,9765
10383,166
9228,132
9890,90
9460,110
10187,110
8500,186
11382,11189
181,13338
9360,9361
9527,9305
115,13338
82,13338
11311,90
49,13338
11628,6644
9277,9894
10353,90
11638,191
10804,10685
11544,33
11804,176
9791,10355
10323,9
11774,78
11705,170
6689,13338
11474,176
9420,9578
5202,51
11409,149
10387,86
5169,51
5200,117
10957,10061
182,13338
10637,6668
5136,51
149,13338
9862,5095
8504,90
116,13338
5103,51
11738,187
83,13338
11174,10514
50,13338
17,13338
11513,9217
9477,9868
10087,186
9856,179
11111,186
9131,127
9495,108
10261,9131
10746,10473
9531,12
11673,179
9860,5182
10055,170
8535,186
183,13338
117,13338
84,13338
10192,11281
8476,5095
18,13338
10285,9434
11746,5098
9631,9235
10153,9439
10125,9278
6691,13338
5105,51
151,13338
118,13338
9619,9620
10685,127
85,13338
11052,5143
9926,110
9394,9434
9430,127
10708,11720
8506,111
9957,186
9981,10700
9374,10061
6725,13338
11117,5182
5203,117
9925,170
10294,5115
185,13338
5172,51
9593,9439
152,13338
86,13338
53,13338
5170,117
9726,191
20,13338
10624,5131
12867,110
8511,9202
11281,132
8509,51
10849,9430
11577,176
11811,90
5204,117
186,13338
120,13338
5107,51
11533,6669
87,13338
54,13338
21,13338
10757,12
11485,5095
10378,6644
11718,9135
9453,6647
11385,9
6694,13338
10556,109
10446,9674
9270,50
11647,90
11252,11307
5141,51
11580,118
11750,5098
187,13338
154,13338
10577,6644
9299,184
5108,51
11779,105
121,13338
88,13338
11220,5145
9200,176
22,13338
11209,9578
10113,6700
11050,182
11798,9761
11552,5095
10611,10714
9602,12
11612,176
10723,86
9558,9578
184,141
9663,176
9800,5145
10687,176
5142,51
5175,51
11317,110
188,13338
122,13338
11553,5095
89,13338
9434,127
5206,117
56,13338
23,13338
9999,17
9336,90
9134,9434
10295,9278
9765,110
11018,179
11120,9317
5207,108
9339,5131
8523,9947
9732,127
5209,51
8496,6700
5110,51
156,13338
5143,51
123,13338
9736,9228
90,13338
9235,184
57,13338
5174,117
9632,166
10214,6700
24,13338
10793,9
9304,9305
9334,184
11384,132
10061,184
10657,137
10595,12
6664,13338
190,13338
10677,6700
11173,9759
5144,51
157,13338
124,13338
9269,184
91,13338
58,13338
9403,127
10465,5095
11538,6644
10827,5145
10927,9213
10956,118
10959,5145
6632,13338
9569,118
11520,54
10167,12
5145,51
10525,186
11721,5095
11453,90
158,13338
5112,51
9555,6700
92,13338
59,13338
26,13338
10068,5145
9343,5093
10096,176
11225,5115
9402,9403
11002,11003
9309,5131
6666,13338
10301,5112
11522,5150
11319,179
5113,51
11289,86
192,13338
159,13338
126,13338
8517,9213
9160,9761
5177,117
60,13338
27,13338
11088,179
11521,66
10791,179
11452,170
6700,13338
10131,166
11189,132
9173,176
9259,9801
127,13338
9868,132
94,13338
28,13338
11623,5131
93,63
9305,184
9439,127
10497,11373
9636,176
9278,12
6668,13338
6734,13338
10561,170
8516,78
9735,187
10649,9743
9504,176
5181,51
11787,61
11559,5093
161,13338
5115,51
11658,5095
128,13338
9870,108
95,13338
8483,90
9873,9
62,13338
29,13338
5146,117
11060,90
10941,10942
9441,110
6636,13338
6669,13338
6702,13338
191,141
125,141
9913,10061
5182,51
10510,9983
162,13338
129,13338
96,13338
63,13338
30,13338
9997,8487
9579,11205
10025,10700
10500,5194
9907,5145
11362,5095
9215,5093
9359,9845
9709,12
11163,5115
9260,10860
10799,17
9438,9439
8519,50
10728,179
11686,179
11197,5093
11006,11016
11290,176
5150,51
11179,6683
5117,51
196,13338
9611,5126
130,13338
97,13338
10633,71
11094,10355
31,13338
10918,10685
9967,10473
11720,170
11759,5115
6704,13338
6671,13338
10357,9674
9702,8476
5118,51
5184,51
197,13338
164,13338
131,13338
8505,6676
98,13338
65,13338
32,13338
11326,118
10931,86
11561,12
11589,170
11463,5095
9739,170
9760,9761
9202,9652
10688,10689
6672,13338
6705,13338
6639,13338
10207,9
9412,90
5086,51
198,13338
5152,51
165,13338
5119,51
99,13338
66,13338
11314,6669
33,13338
10498,9439
10865,110
10932,75
11383,9648
9575,170
11529,12
10935,9213
10834,49
9889,9890
9213,127
11398,5095
11755,183
9971,191
8487,110
9311,166
11729,5095
166,13338
10967,5161
133,13338
100,13338
11593,90
67,13338
9996,11720
10578,10061
34,13338
9845,12
132,63
10635,10340
