parents_1,parents_2
5895,6248
7821,7727
362,1387
3127,6296
7724,7922
6118,7017
3928,8353
3100,3299
276,476
11963,7852
6249,7842
5614,646
793,3412
3975,5379
3597,714
1464,1046
371,6002
6811,6810
6259,6002
1403,642
3511,5441
3887,4280
870,3860
6342,5239
5493,1355
6107,5614
5992,3810
8283,6770
6117,6339
6097,3629
7647,7807
931,4292
6352,854
5397,1016
8376,5700
406,4197
7894,8359
312,8392
1366,5670
6077,7598
777,5243
971,4103
1239,6038
6255,4144
777,8077
11941,7591
5825,5700
11963,6140
7752,7915
3387,646
5992,1300
5575,406
7862,4267
3724,6337
1288,5826
4050,6741
3478,5791
936,371
8045,7834
7951,4091
6097,642
6150,7708
3800,3499
5456,7974
793,206
5591,5834
6060,5381
14850,13723
8376,6299
3409,3088
866,6916
3316,3928
6831,6336
5825,6299
1316,414
6117,5698
3273,676
1209,6038
3636,4022
1025,994
5336,476
660,3098
5917,8074
8091,585
3597,895
1403,3629
3219,3142
8766,6300
6770,7758
5591,6167
569,572
6852,7017
642,6248
6260,8221
3552,519
5559,8193
7089,4280
5378,6128
6334,5929
1025,7698
5422,414
4144,4197
5926,1436
3489,3768
8766,694
