sequel_1,sequel_2
1965,1612
2913,2436
2947,5995
2761,3056
5844,5788
2245,2158
5715,6203
2681,2989
5411,5913
2444,2657
2595,1560
2555,1778
2502,2401
2174,1820
2249,1542
2340,2308
1864,2730
1801,1612
1653,1596
2680,3042
1866,2679
2836,1797
2109,1809
1692,1938
2210,1751
345,5809
6203,5975
2611,5712
5382,2247
1913,1754
5506,6082
1823,2497
2679,5658
2247,2666
2286,1974
1636,2160
2756,2776
5683,5225
1995,2817
5647,2247
5995,5795
2344,2756
1718,2195
1804,2089
2657,5345
5693,2878
2469,2474
2169,2049
2764,2547
5479,2863
5711,5911
2863,3067
6019,6096
2460,2759
2344,2776
2576,2751
2182,1658
2386,2502
2114,2229
2706,2827
3021,2796
5598,5344
5741,1932
1738,2124
2025,2444
2496,2695
2479,2200
2459,5382
3028,5663
2050,2195
2347,1692
2463,2710
2466,1596
1696,1913
2807,2803
3060,1618
2314,2215
1891,2531
2050,1718
5571,5721
1983,2774
2249,2210
3076,1668
6066,5234
5809,2964
1778,2493
2632,5715
2556,2951
2828,5785
5884,5261
2643,1797
2728,2748
2466,1653
2469,2584
2138,2102
5966,5801
2817,2559
1650,2896
1987,1665
2207,2017
2643,2836
2871,1917
2660,1804
5474,5711
5764,5426
2249,1751
1653,5385
1690,1684
5399,2932
1668,2879
2337,2621
5355,5832
2376,1926
6274,6019
5998,5873
5335,5435
5515,1908
5613,5526
2998,5693
2562,2828
2519,1603
2753,3053
3048,1587
2297,2860
5479,3043
2696,2281
5832,5419
2555,2048
5295,2611
5484,2903
2159,2562
2463,2356
1964,2978
5479,3067
5873,2632
2878,2807
5965,2853
3050,2598
5499,5529
2169,1748
5529,5620
2056,2182
2803,5653
3056,2934
5335,5503
2620,2629
5903,5818
1853,1840
1560,2732
2841,6031
6261,5998
2380,1891
5653,5906
5495,5685
2796,5386
2552,2709
2962,1778
2210,1542
2751,2181
5435,5503
5975,2078
3043,2863
2542,2522
5769,5399
1748,2049
2474,2584
2064,2496
2877,5453
5818,5930
6094,6081
5913,6065
5421,5966
1881,3066
5654,5398
2091,2191
1820,2913
5536,5476
2181,2477
2347,1938
1556,2915
2782,2288
2459,5647
5211,5329
1797,5691
5499,5620
3067,5749
1665,2620
2155,2790
2356,2710
14751,14753
3042,5515
5709,2714
14421,14751
2528,3019
6081,5523
1918,6066
2158,2722
2722,5718
2124,1736
2710,3028
5906,5337
1751,1542
6338,1683
5261,5884
2078,2159
2016,6132
5337,6094
1729,5301
2827,1987
2211,1626
2989,2599
2597,2468
1587,3060
2600,1866
14753,14755
5334,5699
2369,2380
2855,2676
5788,5965
5247,5328
1612,2814
1626,2381
1908,2855
5785,2998
