team_1,team_2
13554,4860
13548,5052
8276,4696
13552,4980
8276,4716
7750,4645
11965,5058
13554,4973
13552,5034
8276,4750
13552,5042
8276,4775
7750,4695
13554,5008
8291,4359
8288,4447
8288,4475
8276,4898
8288,4540
7750,4834
8288,4544
8291,4476
7750,4865
8288,4586
7750,4891
8291,4500
7750,4890
8288,4613
8291,4514
4809,14188
4809,14189
4809,14192
4809,14196
4809,14202
4809,14200
4809,14211
7750,4963
8276,5047
7771,4338
8288,4696
8288,4741
7773,4359
8291,4688
8288,4796
7773,4387
8300,4455
8291,4755
7771,4512
7773,4450
7773,4462
8300,4520
7771,4561
8288,4941
7771,4593
7771,4597
8288,5021
8291,4930
8300,4668
8291,5055
7771,4803
7771,4814
8300,4830
8300,4844
7773,4807
8300,4907
7771,4948
8300,4955
7773,4944
8300,5005
7773,4974
8300,5035
7771,5074
631,13472
4332,13438
13453,9659
8060,13024
673,12716
14389,13547
14389,13553
14389,13557
14390,13547
14390,13556
14390,13553
14390,13560
14390,13558
14390,13557
673,12905
7818,4427
7818,4475
8060,13368
13900,12681
13900,12741
8060,13558
13900,12754
13900,12756
13903,12681
13900,12772
13900,12790
7818,4738
13900,12824
7818,4758
13903,12741
13905,12681
673,13279
13903,12756
13903,12754
13903,12772
13900,12869
13906,12681
13900,12868
13900,12881
13900,12877
13904,12754
13903,12790
13900,12883
13905,12741
13905,12756
13905,12754
12315,12900
13903,12824
13906,12741
13905,12772
13900,12928
13900,12936
13900,12931
13905,12790
13906,12756
13906,12754
13900,12948
13903,12868
14389,14187
13903,12869
13900,12957
13906,12772
14389,14195
13903,12877
673,13404
14389,14190
13900,12963
13906,12790
13903,12883
13903,12881
14389,14210
14389,14208
14389,14206
13905,12824
14389,14205
14390,14187
14389,14216
14389,14215
13900,12990
14389,14214
14389,14213
14389,14212
14390,14195
14390,14190
13906,12824
13900,13007
14390,14199
14390,14212
14390,14209
8366,4341
14390,14208
14390,14206
14390,14205
13905,12868
13903,12931
13905,12869
13903,12928
14390,14216
14390,14215
7818,4958
14390,14213
13905,12877
13903,12936
13903,12948
7818,4970
13905,12883
13905,12881
13903,12957
7818,4988
13906,12869
12315,13039
7818,4985
13903,12963
13906,12868
13909,12772
13910,12741
13906,12877
13904,12948
13909,12790
13906,12883
13900,13070
13906,12881
13904,12957
13911,12741
13900,13087
8366,4414
13905,12931
13905,12928
13903,12990
13905,12936
13900,13106
13905,12948
13903,13007
13906,12928
7818,5041
13905,12957
13906,12936
13906,12931
7818,5055
13905,12963
7818,5063
13906,12948
13905,12990
13906,12957
13912,12772
13906,12963
13909,12869
13905,13007
13900,13157
13909,12877
13900,13167
14389,14392
13903,13070
13906,12990
13903,13087
13906,13007
13910,12877
13900,13202
13903,13106
14390,14392
13900,13196
13909,12931
13915,12741
13911,12877
13905,13070
13914,12790
13900,13231
13913,12824
13910,12931
13905,13087
13909,12963
13912,12877
13903,13157
8366,4576
13910,12948
13906,13070
13912,12881
13900,13264
13905,13106
13903,13167
13906,13087
13910,12963
8366,4602
13911,12931
13911,12928
8366,4611
13911,12936
13911,12948
13903,13196
12315,13273
13913,12881
13903,13202
13904,13167
13906,13106
13912,12931
13911,12963
13917,12772
13905,13157
13900,13312
13905,13167
13912,12948
13903,13231
13913,12931
13906,13157
13915,12877
13913,12936
13906,13167
13905,13196
8106,12739
13915,12883
13905,13202
13903,13264
13916,12881
13916,12877
13909,13106
13905,13231
13906,13196
13915,12928
8366,4717
13906,13202
13915,12936
13917,12881
13903,13312
13906,13231
13910,13106
13915,12948
13905,13264
8366,4752
8106,12822
13916,12936
13916,12931
13915,12963
13914,13007
13906,13264
13911,13106
13909,13167
13916,12948
13917,12936
13905,13312
8106,12860
13910,13167
13917,12948
8375,4538
8375,4539
13913,13087
13917,12963
13906,13312
5996,12773
13914,13087
8366,4851
5996,12787
13912,13167
13900,13551
13900,13559
13913,13167
8375,4623
13910,13264
13915,13106
13914,13167
13911,13264
5996,12889
13917,13106
8366,4963
13903,13551
8375,4705
13903,13559
13914,13231
13916,13167
13917,13167
13905,13551
13905,13559
8375,4767
5996,12983
13906,13551
13906,13559
13916,13264
13917,13264
8106,13192
8375,4906
13900,13901
13900,13902
13900,13907
13900,13908
8375,4970
13900,13921
13900,13919
7866,4361
13900,13920
13900,13918
8375,4988
8375,4985
8106,13348
8106,13357
13903,13901
13903,13908
13903,13907
13903,13902
8375,5055
13903,13920
13903,13921
13903,13918
13903,13919
13905,13902
13905,13901
13905,13908
13905,13907
13905,13918
13905,13919
13905,13920
13905,13921
8106,13478
13906,13901
8106,13480
13906,13902
13906,13907
13906,13908
13906,13919
13906,13920
13906,13918
13906,13921
7871,4408
5996,13404
7871,4475
7866,4642
7604,12787
7871,4561
5996,13560
7871,4597
7866,4881
7866,4911
7866,4939
7871,4803
7885,4375
7866,4968
7866,4969
7871,4853
7871,4868
7866,5041
7885,4560
7604,13279
7885,4611
7604,13368
7885,4663
7604,13404
7885,4705
7885,4731
7885,4753
7885,4767
7885,4805
7885,4847
7885,4878
7885,4888
7885,4958
7885,4988
13452,12702
7885,5063
13453,12691
13452,12726
13453,12702
13452,12739
13452,12750
1285,13099
13452,12769
13453,12739
13454,12702
13453,12744
13452,12771
13452,12783
13453,12750
13452,12780
13454,12739
13452,12801
13453,12771
13453,12769
13453,12774
13454,12744
13453,12783
13453,12780
13454,12750
13456,12702
13452,12822
13454,12769
13453,12801
13452,12830
13452,12827
13452,12828
13454,12780
13452,12842
13456,12726
13454,12783
13457,12702
