exported_to_1,exported_to_2
183,22
79,176
50,51
68,11
79,183
51,29
114,126
6636,188
117,51
166,6725
51,50
6688,127
168,12
6688,141
115,127
51,6725
168,29
183,79
51,75
6725,6684
51,78
51,89
6688,170
51,90
6725,51
54,3
36,51
3,50
3,51
117,110
170,3
51,108
51,110
86,51
51,113
51,117
51,127
188,6636
51,132
198,185
168,92
71,27
185,78
170,6688
198,188
3,90
117,141
186,51
51,141
185,90
170,51
90,6632
51,161
90,11755
22,41
185,110
168,127
51,170
54,79
188,22
41,6632
183,185
168,141
51,186
90,3
6725,141
156,12
90,11
170,102
90,22
122,54
6725,166
90,27
22,90
90,6688
3,170
9,6644
6725,176
141,3
75,3
141,11
75,11
122,90
9,12
90,61
73,79
105,113
59,3
59,6668
9,29
90,79
170,161
59,20
110,11755
6632,41
59,29
108,6704
141,51
59,37
122,132
9,51
170,185
6734,6632
90,114
90,115
188,158
6666,6704
6632,6734
6679,156
6679,161
176,27
6632,90
9,89
9,92
78,3
27,51
110,6704
141,113
110,51
108,115
90,161
141,117
11,51
92,102
161,12
61,6704
127,51
176,6725
9,127
61,51
9,132
11755,34
190,156
90,185
59,122
176,79
90,188
156,190
78,51
6652,6688
127,6725
12,51
6666,115
11,89
161,51
59,142
126,114
9,170
79,50
27,127
110,115
92,161
59,161
110,117
6669,54
9,179
161,75
61,108
61,110
59,177
61,115
11,132
161,92
59,183
114,17
59,186
179,51
113,51
78,114
59,198
6688,12
61,141
27,176
115,6666
115,12
127,156
9264,51
79,110
6704,50
127,161
161,132
6704,52
6704,51
132,11
176,185
110,185
176,188
1585,6688
164,51
12,156
79,127
12,161
79,132
6688,51
51,11755
113,105
51,6644
11755,176
6704,86
6704,89
177,185
161,170
78,185
198,51
9264,90
51,3
6704,100
51,11
11755,198
9264,108
181,79
6704,110
113,141
6704,108
34,6688
