subsidiary_or_constituent_schools_1,subsidiary_or_constituent_schools_2
10647,12026
10647,12029
10724,11433
10647,9975
6785,10917
10647,12035
10647,12031
10647,10494
10647,12030
10647,12033
6788,11087
10230,11654
6680,9838
6782,12051
6718,9429
10647,12047
6727,14021
10647,12049
10628,10856
6773,11572
6707,10297
10890,9643
10946,10221
10946,9712
10995,9210
10628,10862
10946,9463
9912,9512
6768,9962
9912,9524
6768,12009
6758,10531
6769,10960
10647,10563
10230,11458
10230,9410
6764,9589
10230,9151
10647,10054
9428,10980
10946,11293
6727,10238
6755,9882
6728,10985
10946,10789
10230,11733
10199,10902
10946,10276
6722,9899
6761,10225
10230,9955
6650,9576
6787,10961
10230,10217
6771,11714
10647,10855
6727,10267
6769,9220
10339,10432
6771,10193
6701,10059
10230,10748
6771,9939
12000,11423
10230,12021
10647,12921
10946,10819
6769,10014
6768,9537
10230,12039
10230,9234
6730,9698
10230,11790
6771,12016
9355,12036
6650,9884
11255,11255
10230,9750
10946,9313
10647,10134
10039,10039
10230,9749
10647,11672
10946,12652
6768,10587
10946,10603
10230,10278
6769,10826
10603,12046
6769,10066
6771,11028
10280,10280
9781,9877
10647,9145
6771,9498
10946,9355
6769,9571
6768,10114
10230,10565
10230,11077
10451,9348
11303,10079
6769,10606
10230,9306
10647,9690
6769,9847
9428,9332
10230,10082
6773,10492
10647,12004
10647,11231
10647,10719
10647,12010
6650,11247
10647,12018
10856,9381
12008,10274
