minor_1,minor_2
11979,13745
6693,13764
12011,13776
11979,13744
11978,13775
11979,13739
11979,13738
6727,13739
10194,13780
13738,2217
9138,13758
10014,13739
11978,13784
11979,13747
12550,12429
13182,2053
9204,13758
11979,13758
9392,12550
11979,13755
13747,13732
11979,13767
13769,12550
11979,13766
13664,13758
6727,13758
9205,13747
13737,12517
11979,13764
13747,13739
13182,1571
6768,1745
6722,7267
11979,13774
11980,13746
11979,13776
10701,12429
13747,13746
11985,12050
11979,13785
13747,13758
13731,13739
6761,13755
11980,13758
13747,13763
11287,13747
11154,13774
8545,13757
13731,13755
9768,13739
13732,13733
13732,13739
11680,13363
11303,13785
13732,13747
11980,13795
13739,12517
11979,2053
9381,2217
6752,12550
13733,13732
11998,13759
13732,13764
6697,13744
13762,13363
13743,12429
11979,1571
10171,12050
10382,12677
11980,13830
13766,13758
13288,13739
13752,12677
12677,13747
6748,13738
11979,13363
10787,12429
11993,12429
11985,12677
12677,13755
12022,12550
12429,13758
13182,12429
13747,1571
6675,12429
10530,13758
11983,13768
6788,12517
13768,13739
11812,12429
11985,13733
12677,13785
9524,13732
11979,7267
11985,13739
11978,12429
6650,13759
13668,13795
11985,13757
11985,13759
13754,12677
11985,13758
10663,13775
13769,13747
13738,13182
6768,12677
9869,13830
12020,8590
12045,12429
11978,2217
11979,12429
8536,12677
11985,13785
13737,13758
13776,12550
11979,2217
13737,13765
13746,2217
11141,1576
12615,13738
12550,12677
10171,13732
9576,13758
9640,2053
10701,12677
13738,13776
11979,1745
11014,13739
13732,12429
6771,12677
9640,1571
11978,12550
13732,13984
11979,12517
13739,13775
11988,13780
13756,13758
11985,13363
12550,13766
6703,13785
12550,13776
13758,12677
9205,12517
13741,13739
8736,13774
11979,12050
12677,12429
6788,13747
13742,13739
6722,13759
9696,13733
9282,13763
6768,13363
11199,13739
7203,8590
10157,13795
13775,13758
11985,12429
6778,12050
13758,13785
13739,1571
11680,12677
10787,13732
13732,12050
13182,13738
11992,13767
11985,13984
11993,13739
11978,12677
11993,13746
13762,12677
11993,13758
9647,13774
13182,13759
10787,13762
13733,12050
13741,1571
9204,12677
10128,13739
11993,13780
12517,7267
11978,13730
6742,13746
11979,12677
11978,13732
12429,12050
3340,13739
11978,13741
6764,12050
11978,13739
10881,12429
11978,13746
11978,13748
11978,13747
11985,12517
11978,13758
13758,13363
6709,13766
13746,13732
9666,13758
11021,13739
10312,12677
11979,13733
11979,13732
11978,13763
11980,12677
