administrative_area_type_1,administrative_area_type_2
131,14690
6688,14690
98,14690
65,14690
32,14690
156,14690
123,14690
90,14690
57,14690
24,14690
181,14690
6647,14690
115,14690
6672,14690
82,14690
6705,14690
49,14690
6639,14690
140,14690
107,14690
6664,14690
74,14690
41,14690
198,14690
165,14690
132,14690
99,14690
66,14690
6689,14690
33,14690
190,14690
157,14690
124,14690
91,14690
58,14690
6681,14690
182,14690
149,14690
83,14690
50,14690
17,14690
141,14690
108,14690
6632,14690
75,14690
42,14690
166,14690
133,14690
100,14690
67,14690
34,14690
158,14690
92,14690
59,14690
26,14690
183,14690
117,14690
84,14690
51,14690
18,14690
175,14690
142,14690
109,14690
76,14690
43,14690
6666,14690
167,14690
134,14690
68,14690
35,14690
192,14690
6691,14690
6716,14690
159,14690
126,14690
60,14690
27,14690
6683,14690
151,14690
118,14690
85,14690
52,14690
6642,14690
176,14690
143,14690
6700,14690
110,14690
77,14690
44,14690
11,14690
168,14690
135,14690
6725,14690
102,14690
36,14690
3,14690
6684,14690
127,14690
6717,14690
94,14690
61,14690
28,14690
185,14690
152,14690
6676,14690
86,14690
53,14690
20,14690
177,14690
6643,14690
144,14690
6668,14690
111,14690
78,14690
45,14690
6734,14690
12,14690
169,14690
136,14690
103,14690
11144,14690
37,14690
161,14690
128,14690
95,14690
6652,14690
62,14690
6685,14690
29,14690
186,14690
120,14690
6644,14690
87,14690
54,14690
21,14690
178,14690
145,14690
112,14690
6636,14690
79,14690
6669,14690
46,14690
13,14690
6702,14690
170,14690
137,14690
104,14690
71,14690
38,14690
6694,14690
5,14690
162,14690
129,14690
96,14690
30,14690
6686,14690
187,14690
154,14690
121,14690
88,14690
6645,14690
22,14690
6678,14690
179,14690
146,14690
80,14690
47,14690
14,14690
171,14690
138,14690
196,14690
130,14690
97,14690
31,14690
188,14690
122,14690
89,14690
56,14690
23,14690
6679,14690
147,14690
6704,14690
114,14690
81,14690
6671,14690
172,14690
106,14690
73,14690
40,14690
197,14690
164,14690
