school_1,school_2
14263,9499
13404,9499
13099,10763
13087,11149
13202,11680
13369,10593
13369,10607
13202,9640
13202,9647
14264,9489
13231,6697
14267,9395
12835,6697
13024,11076
13070,9647
13202,9649
13369,10631
13126,9970
14266,11491
14249,9970
14247,10030
13231,6722
13348,11287
14264,11563
13032,6748
14258,9711
12983,10325
12741,11680
13369,10645
13099,6722
12900,6748
14248,10030
12835,6727
14265,9499
12881,9392
12900,6755
12889,11206
13231,6749
12772,10735
13032,6772
13561,6755
12748,9428
14250,9970
14267,11491
13106,10631
13561,10862
12741,9658
12900,6778
12702,6772
14262,9612
14255,9829
13090,11122
13167,6697
13369,10673
13000,9836
13369,10695
13561,6788
14251,9970
13167,10820
12893,11122
6231,6697
12772,6682
12905,6653
13231,6785
12883,9392
14250,10023
13099,6788
14252,12006
12773,6653
13167,6727
12716,10482
13167,6738
12931,12006
14250,10030
13106,10673
13167,6748
12773,6675
12936,9811
12773,6682
12783,10469
13369,10735
13404,9658
14257,9836
14253,12006
13357,11122
13312,10469
13196,9970
13024,11206
13369,6653
13369,6650
13167,10862
12905,6697
13041,10673
13369,10753
12772,6745
14206,9395
14260,9768
13369,10763
13557,11076
12883,11491
13369,6665
14264,9640
12905,6722
13369,6675
13369,10771
12772,6748
12982,10491
14252,10034
13369,6682
5996,9970
12877,9647
14264,9658
13369,6680
14259,9811
14214,11206
12827,11206
7688,10771
13264,12006
13369,6703
14265,9647
13157,9177
12772,6776
12931,10037
13369,10795
14249,10139
13396,12006
12792,10247
13369,6697
13264,12000
12772,6785
13369,10806
13368,6742
13369,6709
12882,11563
12773,6748
13369,6718
13198,9970
13369,6715
13369,6727
13369,10820
13279,11563
13369,6720
14253,10036
13066,9970
13369,6732
13369,6733
12772,10901
13039,6720
12905,6778
8060,11563
13369,6742
12905,6790
13369,6743
13369,6740
13014,11602
13369,6738
13106,6697
14255,12038
14260,9836
13369,6748
13369,6749
14256,9970
13369,6745
13369,6758
13369,10852
13369,6755
12790,10366
13369,10862
13106,6727
14851,12024
13369,6764
14267,9647
12842,6715
12822,9395
13369,6772
13369,6773
12893,11284
13369,6782
13039,6772
13369,6780
13106,6742
13369,6778
14257,9970
13369,6779
12756,9395
14255,10030
13106,6738
13369,6790
13369,6791
12748,9658
13369,6788
13369,6787
13106,6748
13348,3340
13369,10881
13087,9395
14250,10206
13106,10852
12830,9179
14259,11984
12936,12038
13312,10619
13073,9836
13369,10901
14249,10255
13192,10251
12835,11076
13106,6772
13425,11216
13106,6769
14190,10030
12948,11680
13041,6749
12881,9658
12882,9640
12952,11563
12702,11122
13202,12006
12881,9664
13106,6785
13087,11482
12948,9647
13070,12006
13231,11122
14250,10251
12936,10023
14259,9970
14252,10202
13041,6778
8219,6755
13087,9447
14252,10206
14260,9970
12949,9646
12741,12006
12741,9970
12773,11021
13369,10977
12889,3340
12824,9447
13313,10673
12754,9583
14261,9970
12691,3340
14259,10038
14250,10314
13196,10234
12990,10469
13369,11022
13073,12006
13469,9970
13369,11021
12702,11216
12846,6749
13369,11017
14253,10251
14262,9970
12780,6755
14262,12014
13369,11039
12912,6772
13231,11214
13264,10206
13090,9456
12772,11122
13369,11042
13369,11043
12936,10139
14251,92
13000,10202
13404,12014
12990,10512
14251,90
13157,11491
14263,9970
14261,10030
13312,6680
12835,9179
1285,6788
12877,11984
14263,12023
12772,11154
14256,10206
13369,11076
12716,6740
12783,10820
13024,9489
14262,10036
13312,6715
13310,6778
12983,6675
13368,11122
13167,11207
12877,9970
13310,6788
12783,6738
13312,6722
13024,11563
13369,11108
13160,9395
13425,13469
13099,11287
12875,10036
13310,6791
12936,10206
14187,10334
12783,6755
12928,10452
12830,9392
13404,10030
12983,6697
12893,3340
13192,10469
14249,10468
14263,10034
13311,6779
14249,10469
13369,11122
14265,9970
13404,10036
12716,6788
12756,9658
12982,6745
13312,10852
12883,9811
13312,6764
12787,6653
12681,11984
13273,10030
13369,11149
12783,6785
13369,11147
12957,9583
14264,10023
12681,12006
13312,6779
13313,6748
14250,10469
13198,10314
13369,11154
13312,10885
13312,6788
12877,10030
13106,11122
12982,6785
13192,10512
12773,9179
13368,11207
8227,6740
13070,10206
13313,6782
13106,11149
14256,10314
12824,9647
13369,9144
13369,11206
13369,11207
12756,9728
14251,10482
13369,11214
13160,9499
13167,9279
14257,10314
14252,10469
12681,10030
12881,9970
13039,11216
13369,9179
12936,10314
14256,10366
13032,9395
14267,10030
14248,10619
13106,11206
13354,9658
12948,9970
13561,9395
13369,11260
13014,12023
12842,9174
14257,10374
13558,11563
12883,12006
13369,9229
14261,10247
13179,11021
12949,9970
12881,10030
13369,11287
13369,11284
14254,10469
12790,6715
13264,10451
12756,9816
14265,10139
12883,9970
14248,10673
13278,10036
13264,10468
14262,10247
12702,9456
13000,10469
12950,9970
13198,10469
12716,11076
13369,9265
13311,11076
13369,9279
12739,10374
12790,6745
13231,9456
12792,6682
14254,10512
12830,9598
12875,10251
12990,6697
13192,10673
13004,10364
14263,10247
14249,10695
13369,11358
13369,11354
14255,10512
14247,6665
12824,9829
13310,11147
12990,6727
13057,6697
14264,10251
12990,6738
14257,10469
13273,10251
12772,9395
13099,9499
12990,6748
13073,10314
13134,10469
14852,10460
12792,6749
12963,9640
12842,11341
14247,6697
13369,9349
14249,6653
12936,10490
14263,10310
14247,10820
12783,11149
13404,90
14263,10325
13057,6748
14247,6722
12990,6778
13369,11408
12860,6722
14262,10364
13348,10023
12990,6785
14248,6697
12739,10469
13134,10512
13369,11416
13404,92
12990,6782
14247,6727
12931,10673
14258,10491
14247,6748
13369,9391
13310,11216
12773,9428
12822,9970
13167,11563
13057,6778
13369,9395
12860,6742
13310,9174
13369,9393
14247,6764
13057,6791
13369,9400
14248,6727
12860,6748
14249,6697
13313,11147
13087,12006
14259,10490
14210,12023
13087,9970
14248,6747
14260,10469
14251,6653
14249,6715
12893,9836
13369,9428
14249,10820
13126,6722
12880,10247
14249,6720
13369,11473
13369,11482
12928,6722
13032,9640
14247,6791
14251,10763
12860,10889
13369,9447
14248,6772
13369,11491
14251,6675
12862,6740
14250,6720
14249,6748
14249,6749
13312,11216
14261,10469
12681,10310
14249,6758
14251,6697
12928,6748
14260,10512
12928,6745
13126,6752
12756,10030
12982,11216
14249,6755
13369,9456
12822,10030
13039,9447
14250,6722
12948,10234
13231,9647
13126,6758
13369,9478
14252,6682
13231,9658
14249,6772
12928,6764
14251,6720
13369,3340
13106,11491
14249,6778
14249,6779
13087,10030
14253,6653
14251,6715
14249,6790
14261,10512
14253,6665
14250,6755
13369,9488
14251,6722
13369,9489
13041,9428
13369,9499
12936,10631
14249,10889
14251,6745
14251,6740
14250,6772
14251,6738
12928,10901
12824,10030
13126,12953
14251,6748
14254,10752
14251,6749
13196,6697
14252,6727
14250,6790
14253,6697
12881,10314
13106,3340
14262,10512
14252,6738
12931,6727
14263,10491
13007,10512
12931,10820
13713,11155
12931,6722
13167,9647
14257,10673
13353,10037
13273,10469
13106,9499
14251,6772
14252,6742
14254,6680
14259,10619
12893,9970
14251,6782
14252,6752
14259,10631
14259,10628
14251,6778
14250,12953
14252,6748
14251,6779
14251,6790
14251,6791
14251,6788
14263,10512
12868,6665
12931,6768
13196,6745
12772,9649
14252,6778
13369,9572
13090,10030
12869,10735
13196,6742
14252,6782
13196,6748
14253,6749
14254,6727
13196,6758
13196,6755
12931,6790
14254,6738
12931,6788
13066,6697
14253,6778
14254,6748
14254,6745
14255,6715
14256,6680
14255,10820
13369,9612
12990,11122
14254,6749
14260,10673
14253,6790
13000,6722
13066,10820
14253,6791
14254,6758
13039,9618
12868,6727
12716,9391
13264,6738
14254,10862
13264,6749
13196,10901
13264,6745
13312,11401
14255,6745
13369,11680
12900,9836
13369,9646
12880,10469
12869,6715
14251,10977
13000,6748
14256,10820
13369,9640
14261,10673
13066,6755
13369,9649
13343,10469
12963,12006
13369,9658
13106,11680
14255,6778
14256,6748
14256,6745
13066,6772
12773,9711
14258,6682
12860,11122
13312,9395
13264,6788
12869,6745
13134,6722
13066,6782
14257,6722
14257,6720
12869,6755
12842,9640
14262,10673
13202,10763
12936,6722
14259,6680
13004,10763
12936,6727
13134,6748
14257,6748
13369,9696
12990,11206
14851,6762
12936,6749
14257,6758
14258,6727
13369,9711
14256,6788
13343,10512
13313,9395
14257,6755
13369,9704
14264,10631
14266,10591
14248,11149
14257,6773
14260,6680
12936,6773
14265,10631
14258,6749
12882,10491
13192,11122
13369,9728
14853,10828
13070,10820
12822,10314
14259,6727
12739,6748
13560,9970
12739,10856
14259,6745
13713,11380
13202,6738
13070,6748
14260,6722
13202,6749
13070,6745
13087,10314
14258,6779
7916,6778
14259,6749
13004,6740
14250,11122
14392,6720
13196,11042
12741,6715
14259,10852
12681,10619
12875,6653
14258,6785
12741,6722
14262,6675
12681,10631
12787,9393
14248,11206
14261,6715
14263,6653
12741,6727
12860,9179
13231,12014
