used_to_treat_1,used_to_treat_2
14581,14107
14792,13965
13809,13973
13809,14101
13809,13333
13809,13971
14792,14101
13809,14106
13809,14107
14110,12712
13809,14104
13165,14101
14110,13236
13809,14119
14792,14107
13809,13494
14120,14094
13809,13236
14120,14101
14793,13974
14110,12876
14110,13260
14120,13974
14793,14119
13165,14794
14473,13926
13809,13260
13809,12876
14120,14111
14110,13149
14110,13163
13809,13149
14110,13415
14473,13958
14110,13178
14473,13956
14792,12897
14110,13944
14551,14096
14110,13941
14110,13942
13809,13942
14792,13166
14473,14094
14473,13965
14110,12929
13809,13937
14792,13415
14473,13974
13809,13178
13809,13944
14473,14111
14110,13972
14473,13977
13809,12929
13809,13965
14473,14114
14110,13333
14473,14112
