countries_used_1,countries_used_2
12986,63
12786,117
12986,60
12986,58
12737,108
12885,6654
13150,102
12737,115
12892,184
13227,176
12986,96
12892,194
13150,132
12892,191
12892,64
13150,127
13150,12
13150,137
12986,9573
12986,101
12892,72
12892,69
13150,6664
13150,11144
12986,105
13150,6669
13150,6684
13150,153
12892,11361
12737,165
13150,32
13150,6700
13150,170
13150,6694
13150,179
13150,6705
12986,6669
12986,11660
13150,45
12737,6704
13150,59
13150,6716
12986,11551
13150,67
12986,160
12892,125
13150,63
13227,107
13150,190
12892,9
12986,40
12986,46
12892,6669
12892,141
12986,56
13150,92
13150,89
12885,110
12986,51
