medalist_1,medalist_2
7100,12413
7868,8060
7100,8060
51,533
51,12309
75,7982
7100,12418
7838,8227
51,7961
7100,12415
533,7868
7648,7982
7931,8168
7111,8244
14151,8369
11961,7650
6643,6366
8227,533
12669,8242
51,8227
14152,7838
12415,13554
7764,8227
7931,8177
7155,8168
7179,7940
14150,7650
7155,8177
117,8242
135,7940
7868,7838
51,8244
7100,7836
78,13554
14150,8168
7604,7838
7179,533
7179,12309
7155,7931
14150,8177
14152,7604
7129,7975
7111,7764
13554,12314
7982,7648
14150,7931
12413,7763
14152,7868
7838,7764
7100,8369
176,7975
14150,7940
12415,12314
7868,7604
7105,7961
14151,7648
7100,11961
14152,7871
51,7763
14151,13549
51,7764
7100,7868
7982,13549
7102,12669
8242,12669
7763,12413
7604,7868
7111,8303
78,12314
7838,8303
8303,8227
14152,6366
13549,7648
14150,7961
8227,7764
14150,12309
14150,533
14150,8227
51,5996
51,8303
7764,8303
12314,12415
7100,7650
7100,7648
8227,8303
117,12669
14151,12309
14150,8244
51,8060
7179,7763
51,12413
14150,8242
14152,13554
533,8227
7100,13549
7100,13554
7111,7836
7129,5996
92,11926
7111,7838
8227,8060
8303,7764
8060,7868
13554,12415
7764,7838
14150,7763
14152,12309
51,7836
51,7838
7111,7604
14151,7982
7179,12413
7838,7604
75,7871
7111,7868
14152,12314
8227,7838
7868,533
7100,533
7100,12309
14152,8227
7838,7868
7100,12314
14150,5996
7764,7604
51,7604
13549,7982
14152,7975
51,11961
7764,7868
51,7868
7868,8227
7100,8227
8244,7836
7179,11926
7100,7982
7179,7836
14150,8060
78,12415
7604,8227
8227,7604
75,7648
7100,8244
14150,12418
8227,7868
14150,12669
14150,12413
75,13549
7129,7871
7179,8369
533,8060
186,12418
14152,7763
14152,7764
7179,11961
7648,13549
8168,8177
51,7650
14150,7836
8303,7838
51,8168
8168,7931
14150,11926
8060,533
7836,8244
7868,7764
7650,11961
7100,7763
8177,8168
12314,13554
51,8177
7604,7764
8303,7604
7155,11961
51,7931
8303,7868
14150,8369
8060,8227
7111,12309
14152,8303
8177,7931
14152,12413
14150,7868
14150,11961
7102,8242
7868,8303
7179,6366
7179,7650
6644,8369
7111,8227
14152,12415
7604,8303
