founders_1,founders_2
8473,3388
14333,7587
14331,7902
6637,141
12168,4296
12189,4157
12131,6990
6949,3533
13393,6781
13342,5287
12152,3522
14334,8337
14334,7826
12723,11941
6649,6701
6649,6707
3735,3856
13419,7780
6631,7780
6649,6709
13245,3200
6637,179
3125,6648
6649,6718
13181,4156
12161,3522
12705,7661
9313,8111
8427,7922
6649,6727
3122,3172
8441,6990
3125,7687
3122,3171
12168,6648
13393,7587
12705,7920
13386,3193
6627,6646
12984,3381
6661,12254
12814,5580
3249,8460
6707,6736
13059,8218
14325,7629
13040,7029
14229,3450
12747,4081
3125,3860
3125,8216
12940,3470
7055,3891
14334,8381
6981,4137
6649,6755
13316,8209
3122,3450
9352,7956
13038,3513
14332,8197
14334,8136
10267,8015
6649,6762
12168,8216
13539,3604
6649,6764
6649,6771
3855,3271
14335,8381
6649,6769
6649,6768
6695,7902
6718,6677
3802,3891
13170,5580
12995,3834
13711,6990
6649,6787
13342,5897
6649,6784
13445,3470
12779,6962
12823,5343
12186,5645
6628,6677
9781,6736
13079,7920
10531,6781
7081,7749
14325,5645
11691,6670
3141,8292
6637,12
13079,6646
12161,4144
13062,1304
12802,3999
14336,7902
6758,6781
13544,4036
13036,6726
13059,6781
3802,3450
3743,3742
6637,45
13059,8325
13414,3717
13414,3718
6637,52
8421,3891
12937,1365
12861,7813
6627,8046
7070,3533
12723,12356
7042,3381
13040,6880
4223,3480
13542,3871
3192,3193
13421,5580
6706,6646
13203,3891
4223,931
9038,8089
12489,8119
14340,7826
12941,6646
13388,7637
13316,398
6637,89
12964,5420
9883,6990
6637,95
6844,6989
3282,3750
3735,3533
13394,8226
13540,3711
13424,8075
14338,7902
12705,7835
13447,5580
3507,7029
13539,676
10706,7858
3678,3522
14333,6781
8417,7651
14337,6670
12168,3764
9248,7758
11089,7769
13233,3513
1568,6990
7070,3856
8421,3450
13255,8218
8473,4137
12168,3770
11691,6781
14339,3282
14229,3891
13419,6726
6637,132
12168,4293
10246,6783
13086,1173
6634,7910
