parent_disease_1,parent_disease_2
13933,14482
13966,13969
14094,13969
13979,13950
13926,13926
13941,13333
13958,13969
13944,14659
14105,14661
12876,13333
13260,13333
14346,14482
13975,13950
13968,13926
14111,13969
14100,13926
14101,14660
13946,13333
13178,13333
13975,13969
13935,13926
13149,13333
13938,13333
13236,13333
14099,14482
13942,13333
13951,13950
13927,13926
13415,13926
14483,14482
12712,13333
14111,14632
14347,14482
14097,13926
13970,14659
14348,13950
13937,14659
13976,13969
14346,14659
13956,13950
13977,13950
13953,13926
14092,14482
14030,14482
13972,13333
13939,13970
14117,14482
13415,13333
13178,14661
13964,13333
14121,14482
14105,13955
13163,13333
13937,13926
13928,13950
13236,14661
13944,13333
14114,13950
13966,13926
13955,14661
13491,13950
13961,13333
13928,13969
13495,13950
13333,14632
14096,14660
13962,13950
12929,13333
13491,13954
13953,13968
14350,13950
13939,14659
14115,13950
13954,13950
