hall_of_fame_1,hall_of_fame_2
8752,12150
3463,11499
3442,12150
3708,13892
1316,11499
8975,12150
7051,12150
7844,12150
7588,12150
3956,13892
4128,12150
5649,13892
4171,13892
3228,12150
7646,12150
8984,12150
4062,12150
6719,14524
7002,12150
1310,14524
3907,13892
1021,14524
8786,12150
5509,13892
8753,12150
6156,11499
3530,11499
3410,12150
1127,11499
8885,12150
6994,12150
3633,12150
1474,11499
3643,13892
6251,12150
8844,12150
4005,12150
4026,11499
4261,12150
5830,12150
4193,14523
1001,13892
1480,13892
8373,12174
3462,13892
3609,12150
6025,11499
6266,14523
9010,12150
6838,12150
6231,13303
3221,12150
1505,13892
3824,12150
6962,12150
6194,12150
1439,13892
1150,13892
4237,12150
3502,12150
8936,12150
4270,12150
14522,14084
663,13892
12059,13892
8044,12150
8771,12150
3636,13892
8994,12150
1285,13303
3362,12150
6133,11499
3841,12150
3537,13892
4107,13892
9019,12150
4194,14524
8191,14525
8829,12150
5968,11499
8170,13892
8243,12150
6147,13892
3412,12150
3641,14523
1385,11499
961,13892
4081,12150
753,12150
8747,12150
4205,12150
8970,12150
3503,12150
730,13892
3817,12150
854,13892
8289,11499
3751,12150
6990,13892
8871,12150
3363,12150
7025,14084
3553,12150
8072,13892
5578,13892
3256,12150
6057,13892
7961,14525
6741,12150
3778,13892
6916,13892
8349,14524
4272,12150
7980,12150
5218,11499
8938,12150
8872,12150
442,13892
8847,12150
7920,14523
8748,12150
8839,12150
5678,13892
5831,14525
8773,12150
3645,12150
4025,12150
6841,12150
3513,12150
6932,12150
3893,12150
1219,13892
8080,12150
3794,12150
1288,11499
5797,11499
3984,12150
1021,13892
4147,14524
3274,12150
856,13892
8716,12150
8016,13892
881,13892
3155,11499
6962,11499
4282,12150
4026,12150
4292,13892
4193,13892
4109,12150
3630,12150
3516,13892
4175,12150
4119,13892
8277,14524
3721,12150
3987,13892
8098,12150
3676,11499
8306,13892
3847,13892
3335,13892
6275,13892
9073,12150
8329,12174
3862,12150
7025,12150
6022,11499
1414,11499
3294,13892
6034,12150
8290,13892
4077,12150
7002,13892
3875,11499
3854,12150
3707,13892
7017,12150
1048,13892
3641,13892
3286,13892
726,13892
8867,12150
1443,12150
663,11499
1472,13303
4061,12150
3501,13892
3706,12150
4251,12150
