film_1,film_2
12457,6094
12457,6093
12463,5904
6255,1748
8353,2241
12459,6027
3998,6178
12470,5699
12456,6131
4132,2028
12458,6066
12457,6110
12442,6572
4112,2663
12458,6081
12459,6050
12457,6112
4118,2481
12458,6082
12458,6093
12458,6094
4135,1964
4112,2680
6127,5750
12456,6164
12457,6130
12456,6161
12457,6131
4135,1973
12459,6066
12457,6143
12459,6081
6255,1792
12458,6110
8365,1919
4118,2516
12459,6082
4112,2703
12459,6094
12459,6093
12466,5876
12457,6164
12458,6131
6215,3060
12458,6132
12457,6161
12458,6143
8368,1859
8361,2076
4131,2131
12456,6214
12457,6178
12456,6209
4126,2303
4142,1805
12460,6093
12466,5905
6244,2183
12466,5906
4144,1748
6253,1911
12457,6198
12459,6132
12458,6161
12459,6131
6223,2848
4142,1827
4150,1580
12456,6234
12457,6214
4135,2050
12458,6178
12457,6209
4105,2987
12461,6094
4030,5323
12459,6164
4118,2600
12461,6112
4126,2349
4144,1792
12461,6110
12457,6234
6217,3075
12458,6214
12472,5777
12457,6240
12458,6209
6245,2221
4143,1846
12472,5792
12458,6240
4137,2041
12458,6234
12457,6279
12459,6214
4118,2645
12456,6316
6260,1784
12463,6094
8339,2878
4118,2659
4118,2657
4131,2255
8357,2325
12463,6110
4137,2077
6239,2457
4107,3013
4118,2679
12457,6316
8368,2011
12460,6234
4144,1885
4124,2509
4137,2105
12465,6094
4144,1895
8353,2495
12458,6316
12457,6354
4135,2200
4081,3873
4142,1982
4156,1548
4137,2143
4117,2760
4112,2921
4144,1934
4137,2151
4117,2768
6235,2652
4124,2556
4124,2559
6227,2902
4124,2565
6241,2473
12458,6354
6255,2049
4142,2015
4150,1768
4157,1553
12468,6066
4146,1898
12459,6340
4117,2802
8357,2431
4117,2807
4157,1570
4124,2598
12459,6354
4143,2020
4146,1925
4137,2208
12468,6093
12420,7581
12420,7582
4142,2057
12420,7580
4149,1841
4131,2405
8361,2350
4118,2812
4157,1601
4117,2851
12472,5994
4137,2242
12469,6094
8385,1636
4131,2436
12469,6112
12469,6110
6246,2418
4157,1641
4144,2049
8343,2956
4126,2606
8385,1662
4157,1659
4118,2869
4124,2690
6255,2169
6148,5485
4137,2288
4161,1553
4124,2712
4144,2098
4126,2653
4134,2405
4162,1542
12456,6576
4038,5394
4124,2731
8368,2240
4162,1563
4142,2184
8265,5440
4143,2161
4117,2969
6250,2388
12457,6576
4118,2957
4162,1599
8230,6557
12458,6576
12458,6572
4144,2169
4037,5484
6255,2268
8357,2637
4149,2026
4137,2406
4139,2349
4124,2817
4117,3032
4131,2605
6260,2140
4135,2479
8357,2671
8368,2339
6142,5820
6243,2688
6231,3059
4124,2845
4119,3001
4143,2255
4161,1702
12472,6199
4124,2848
12460,6572
8392,1616
8385,1840
4032,5715
6233,3021
8385,1853
6239,2838
4125,2843
4037,5571
4118,3066
12473,6214
4144,2268
4131,2676
8392,1659
4124,2891
4131,2680
4039,5536
4032,5751
4126,2843
4039,5545
4124,2914
8361,2634
8368,2423
4032,5774
4154,1989
6145,5810
4124,2927
8361,2659
4139,2471
12463,6576
6247,2671
4124,2951
6265,2123
4143,2372
6248,2652
4135,2619
6136,6134
4032,5820
4137,2568
4151,2157
4124,2992
4144,2372
4143,2408
8368,2503
4139,2536
6273,1918
4143,2411
4131,2795
4032,5873
12466,6572
4151,2200
4124,3050
6270,2065
4139,2591
6256,2505
6242,2938
8368,2568
4131,2853
4032,5925
4135,2730
4126,3014
4171,1624
6248,2772
6169,5225
4167,1751
8384,2096
8395,1768
4132,2850
8429,717
6268,2175
6262,2368
6288,1567
4150,2310
8357,2976
4038,5792
4032,5975
12469,6576
8357,2988
4032,5998
4046,5565
6249,2808
6252,2721
12470,6576
6251,2759
4157,2137
8395,1842
8385,2160
4137,2782
6287,1666
6248,2881
8371,2602
4144,2574
4170,1771
6264,2392
8357,3047
6255,2680
4137,2806
4056,5319
4177,1579
4149,2459
6163,5564
6174,5221
4150,2430
12440,7585
4157,2221
4177,1608
6276,2081
4177,1615
4177,1612
4131,3042
8371,2682
8368,2788
4156,2283
4146,2599
4149,2506
4051,5546
6322,681
4142,2730
12442,7583
4132,3045
12442,7581
4157,2269
4051,5560
12442,7579
4135,2956
12442,7580
6172,5345
4142,2744
4174,1768
4151,2479
4157,2298
6268,2391
6255,2808
6167,5545
4181,1575
4177,1704
8408,1622
6255,2829
4136,2979
4137,2957
4146,2681
4136,2997
4142,2811
4161,2223
4142,2812
6290,1764
4177,1729
6278,2140
4142,2827
6268,2461
4143,2798
4172,1900
4162,2210
4137,2988
4142,2840
6249,3057
8413,1514
8406,1726
4167,2073
4032,6261
8412,1548
8395,2088
6172,5466
8409,1649
4163,2212
6250,3050
4167,2086
4162,2249
8413,1542
6172,5479
6250,3075
8368,2956
8408,1716
4144,2829
4177,1805
8371,2866
8287,5471
8252,6557
4157,2438
6267,2565
8408,1733
4140,2969
8284,5571
6284,2041
4177,1824
6301,1520
8412,1626
8392,2246
4157,2462
4151,2648
6259,2841
4163,2278
6255,2967
8406,1828
4167,2169
4151,2668
4143,2914
6277,2303
8408,1781
6169,5653
4143,2922
4069,5221
6298,1668
4157,2503
8384,2538
8392,2297
8392,2298
4177,1899
4157,2516
8406,1876
6300,1624
8408,1820
4144,2933
4145,2910
6287,2046
4157,2548
4144,2958
4144,2967
4143,3005
6264,2791
4142,3043
8284,5709
4154,2673
8408,1877
6282,2241
6299,1721
6298,1754
6271,2598
4172,2132
8412,1766
8408,1905
6305,1573
6257,3060
6289,2078
6284,2231
4146,2989
4154,2750
4053,5886
8415,1738
6269,2735
4162,2513
1930,6178
8408,1973
4177,2057
4151,2872
8392,2476
4177,2068
4163,2513
12456,7581
4172,2237
8411,1900
4181,1966
12456,7583
4167,2408
4157,2717
8412,1886
12457,7582
8412,1903
4162,2579
8408,2027
12457,7580
12457,7581
4060,5746
4177,2130
4183,1942
6266,2910
8409,2020
4157,2760
12458,7583
12458,7581
12458,7582
12458,7579
4151,2956
4161,2647
4172,2306
4180,2062
4187,1842
8412,1949
4183,1979
4172,2323
4157,2797
8284,5931
8418,1778
8395,2503
4177,2184
6172,5884
8427,1527
4154,2920
12460,7581
6268,2930
6118,7579
8413,1977
4191,1782
8412,2004
8392,2636
8415,1925
6284,2469
8425,1638
8408,2174
6295,2140
8395,2572
4161,2757
4177,2265
8406,2240
6160,6338
8425,1671
4183,2099
4167,2609
12647,1891
6298,2114
6283,2587
4196,1748
8408,2262
8408,2255
8415,2052
8408,2269
4181,2236
4200,1647
4081,5337
4177,2361
8395,2675
8425,1746
8408,2281
8427,1721
6282,2677
8412,2193
4187,2090
4177,2407
8417,2035
8416,2081
6275,2925
8418,2048
8406,2416
4167,2762
8408,2362
8406,2424
8436,1510
4086,5295
6281,2791
4076,5608
6320,1586
6317,1677
4208,1524
8413,2249
4183,2302
4167,2798
6310,1912
8411,2321
8392,2904
8425,1892
