philosophers_1,philosophers_2
13985,11975
13815,11862
13756,6794
13739,11924
13986,11947
13771,11957
13771,8370
13815,12639
13758,6739
13986,11960
13986,11957
13815,12392
13756,11917
13768,12313
13986,11953
14808,6696
13986,11954
13815,12135
13986,8370
14808,8240
13986,11962
13758,11862
13986,11975
13986,11973
13983,12323
13815,8315
13985,7658
13983,6696
13810,12313
13756,11953
13815,11917
13756,11954
13756,8370
13986,8149
13810,12323
13762,7680
14808,6739
13756,11957
14808,6736
13771,7658
13984,6699
13756,11973
13739,8149
14808,12640
13983,8007
13771,7680
13815,11948
14808,12398
13756,7632
14808,12392
14808,12135
13815,11956
13815,11953
13771,7953
14808,11900
14808,8315
13983,12640
13815,11960
13983,12639
14808,7812
13731,7658
13984,8007
13983,12135
13983,11892
13758,11956
13984,11862
14808,6794
14808,3465
13985,8240
13815,8149
13815,7632
13983,7812
13815,7896
13986,12323
13808,11954
13984,12640
13986,8240
13810,8315
13983,11924
13815,7658
14808,11947
14808,11957
13984,8315
13771,8007
14808,11954
14808,8370
13748,12313
13808,8149
13756,7709
14808,11962
13985,12398
13986,11855
13756,6698
13986,6736
13758,7658
13756,12323
13983,11956
13983,11957
13985,11892
13983,8370
13986,6739
13983,11953
14808,11975
13986,12639
14808,8149
13771,12135
13983,11960
13815,7953
13986,12135
13986,12392
13810,11960
13983,11973
13771,11887
14808,7896
13986,11887
13984,11947
13741,12313
13815,12323
13983,11975
13810,11975
13983,8149
13815,6698
13810,11973
13984,11956
13984,11953
14808,7658
13986,11892
13815,8240
13986,11900
13984,11962
13984,11960
13984,11973
13810,8149
13986,7812
13771,6794
13756,12392
13762,11947
12677,12313
13985,11954
13739,11900
13756,12398
14809,7658
13985,11953
13815,8007
13815,6736
14808,7953
13756,11892
