award_nominee_1,award_nominee_2
4009,5847
4063,4177
4080,3651
4094,3222
6177,4190
3971,7038
4067,4068
2061,716
1962,3793
1982,3180
4095,3219
3972,7037
4170,898
4068,4067
4099,3112
4099,3113
6177,4228
4074,3912
6094,6835
4101,3084
4086,3556
1948,4308
6279,1127
4099,3177
4094,3345
6188,3967
4090,3475
4085,3634
4085,3635
1952,4219
1959,4009
1868,6830
4084,3671
4099,3207
4088,3557
1913,5451
4028,5420
2061,865
4099,3232
1958,4068
4065,4285
1958,4067
6127,5907
6134,5690
3978,6996
3977,7025
4097,3308
1913,5490
4097,3326
4164,1251
2059,982
4097,3345
2043,1495
1820,8408
1819,8445
1970,3770
1970,3771
4037,5236
4082,3841
4087,3692
4026,5582
4075,4076
1868,6959
1828,8202
1820,8450
1990,3192
3986,6857
3986,6858
1831,8131
4099,3361
3980,7051
4076,4075
4095,3496
4100,3347
1973,3752
1971,3818
4078,4044
4037,5315
6301,665
4078,4045
4086,3804
2075,611
1915,5572
4096,3501
2049,1421
4095,3533
2083,380
4081,3986
1923,5348
1973,3802
4092,3651
4101,3379
1909,5797
4077,4127
1910,5768
1868,7070
6214,3413
1986,3416
1990,3296
1990,3297
3985,6998
3985,6997
4099,3469
4101,3405
4099,3472
6192,4126
3985,7005
1990,3318
1981,3601
2061,1122
6301,768
4108,3229
6209,3635
2087,343
4108,3228
4170,1311
2073,781
1995,3208
4186,827
1837,8108
1827,8424
1987,3467
1990,3375
6157,5268
1990,3377
6104,6915
1837,8125
1828,8406
6100,7048
1924,5433
4107,3306
4107,3317
4186,865
1971,3998
2061,1208
4083,4084
1970,4049
1985,3597
3992,6916
6228,3142
6228,3141
4097,3670
1990,3450
2069,1001
4092,3830
4024,5940
4081,4176
4084,4083
1852,7742
1990,3466
4097,3687
4099,3622
6301,903
6228,3166
6228,3167
3997,6796
4098,3670
1929,5377
1987,3590
4081,4226
4200,535
4101,3612
4170,1474
2069,1072
6194,4270
1975,3989
6134,6136
1929,5422
1876,7070
4079,4326
1990,3556
4183,1110
2083,676
3993,7006
3998,6860
1990,3569
4095,3856
4100,3699
1970,4196
2002,3208
6324,301
2005,3125
1973,4135
4089,4090
1993,3528
4026,6046
1998,3384
6134,6244
1854,7855
4101,3738
1917,5914
4107,3564
2061,1453
4090,4089
4085,4255
1995,3508
4117,3274
6214,3801
1969,4329
1884,6970
6199,4279
4086,4250
4116,3325
6301,1139
6116,6873
1991,3674
1887,6901
1995,3552
2094,488
1882,7065
4037,5797
4100,3847
1990,3726
4106,3670
2009,3145
6228,3433
1987,3833
1886,6966
1993,3651
4093,4094
4088,4248
2003,3351
1990,3758
4099,3914
1988,3822
4093,4104
4115,3422
1929,5655
4094,4093
4182,1365
1999,3504
1887,6979
4112,3546
4097,4019
4056,5290
4094,4115
1937,5450
1981,4086
2077,1118
1846,8287
4024,6310
1993,3735
2087,821
4124,3208
6301,1261
4106,3777
1979,4183
4181,1456
6301,1273
1929,5737
4094,4164
1891,6920
2102,386
4007,6869
2004,3428
1843,8424
4009,6818
4096,4121
4096,4119
4009,6826
6301,1310
4009,6825
6160,5679
4026,6304
2089,814
1912,6310
