title_1,title_2
6728,13703
13071,13688
13270,13679
13270,13692
13270,13690
13072,13679
13270,13685
12146,13715
12808,13685
12808,13686
13276,13511
9372,13700
12808,13679
12808,13692
12808,13687
3697,13511
6730,13693
7661,13511
6670,13511
3295,13688
6736,13511
9313,13509
7893,12468
13276,13531
12941,13687
4498,5085
12822,5085
12941,13692
13272,13686
13140,13679
13140,13680
12016,13703
11994,12339
13140,13689
9248,13509
13140,13685
13140,13686
12955,5085
6732,13680
10107,13511
4029,13511
10960,13693
13140,13692
10247,5085
12023,13511
1585,13509
6738,13511
13272,13715
13339,13687
13339,13685
132,13513
13339,13690
12943,13679
12156,13511
9772,13683
9772,13684
12943,13686
13274,13679
3832,13511
9772,13703
13274,13685
4156,13715
13274,13686
12719,12467
13274,13691
12156,13531
13274,13692
13208,13688
12019,13684
8325,13511
12878,13686
11028,13703
12878,13697
12884,13511
11240,5085
6674,13511
13274,13705
12884,13522
12152,13679
12878,13714
12879,13679
9391,5085
12879,13689
11293,13703
13276,13679
12819,13511
1185,13715
13276,13686
3306,13511
13157,5085
6749,5085
13414,13511
12819,13522
13276,13691
7997,13511
3697,13697
6940,13522
13079,13685
13079,13692
10238,13693
9643,13707
3698,13688
10310,13511
10238,13703
13053,12467
4029,13679
3698,13697
13079,13705
9782,13511
12887,13511
4029,13686
9975,13682
3698,13705
12887,13522
12987,12467
12887,13531
5,13511
3435,13679
13086,13511
3435,13686
6738,13693
3435,13688
13020,13522
12156,13679
7042,12467
4498,13511
3435,13697
7042,12469
12156,13687
12156,13689
9381,13693
3435,13705
12156,13686
3831,13715
9778,13683
13425,5085
6745,13511
9982,13511
12156,13701
12030,13511
12757,13511
13418,13511
6806,13679
12884,13679
12157,13697
12163,13511
11232,13700
12757,13531
12884,13687
12884,13686
13418,13522
13413,13688
12163,13522
10380,13511
12792,12467
12819,13679
12163,13531
4706,5085
12164,13511
12819,13686
13017,13688
6675,13693
10375,13683
1528,13509
12819,13691
12827,13456
12159,13679
12819,13701
12693,13511
13123,12467
12159,13691
12693,13522
12159,13686
11234,13703
1528,13531
9979,13693
3775,13511
12826,13522
6682,13531
12826,13531
12887,13687
12166,13522
11963,13679
4907,5085
13020,13679
12029,13682
12166,13531
11170,13682
13086,13679
12887,13705
13086,13691
13020,13687
12887,13714
8065,13694
13020,13686
12795,12469
13086,13686
11969,13511
11276,12465
12167,13511
13020,13691
10246,13682
8065,13708
13219,13681
8065,13710
13219,13679
3447,13511
12928,12467
13219,13686
8065,13712
13219,13685
3249,13511
11969,13522
9784,13684
12757,13679
3447,13522
10246,13693
13153,13688
12823,13679
13219,13691
13418,13679
12823,13692
13259,12465
12757,13691
3976,13511
12757,13689
3249,13522
12757,13686
12757,13687
13219,13701
12168,13511
12823,13687
12163,13679
9658,13511
13418,13685
13418,13681
12757,13692
13418,13682
13259,12467
6745,13700
12163,13686
13418,13691
13418,13692
13088,13679
3250,13511
13358,13511
12163,13691
11172,13693
13358,13522
13358,13531
13221,13682
12164,13687
10452,13511
12164,13686
12693,13679
7605,13714
1930,13511
1528,13688
11972,13511
12693,13689
12693,13686
12693,13687
13426,13511
12826,13679
3775,13679
6748,13680
12826,13687
9655,13682
3775,13689
3775,13686
12826,13686
3775,13687
3775,13691
10850,13511
14015,13697
13426,13522
12700,13511
13426,13531
12166,13679
6748,13703
12166,13686
12702,13456
12702,13453
12166,13687
6749,13680
12959,13679
10647,13682
12172,13511
