recipient_1,recipient_2
13897,7915
14603,7915
14602,7704
13898,7895
14600,7891
14604,8283
13881,6270
14604,6770
13898,7920
13898,7915
14600,6760
14604,7915
14603,7704
13881,7813
14600,8433
14600,1135
13898,7677
13670,7704
14601,3928
13881,3464
14602,7752
14605,7915
13898,8197
14600,8319
14601,7915
13881,7704
14600,3463
14600,3464
14600,3860
13897,4156
14600,6054
13881,8368
14600,3872
14604,11939
14602,7915
13897,7752
14603,3928
14600,7734
13881,8135
14600,7987
14601,7827
14600,5679
14602,8318
14600,3386
13898,4156
14601,6297
14602,8328
13898,7752
14600,3651
14604,7752
14602,8197
14600,576
14602,8065
