religion_1,religion_2
3616,1631
888,12479
5909,12479
8023,12485
6041,12480
5202,1631
4059,12489
7891,12480
6173,12488
6297,12745
7758,12510
7759,12485
3927,12493
3881,1631
5645,12480
7052,1631
11941,1631
5117,12479
5117,12477
5117,12482
1285,12488
3370,13390
5117,12483
5117,12480
5117,12481
5117,12486
5117,12490
5117,12491
7892,12480
5203,1631
5117,12495
5117,12493
757,12489
5778,12485
1418,12481
7628,12485
3750,1631
5118,12476
6042,12503
5118,12479
7760,12498
5118,12480
6175,12480
6967,12503
5118,12483
3371,13390
6043,12480
8289,12481
5118,12481
8362,14315
5118,12482
3354,1631
5118,12488
5118,12486
51,1631
5118,12490
5118,12495
5118,12493
6704,12480
7893,12485
6704,12483
4053,12745
4326,12482
8422,12480
1505,1631
8422,12485
3240,13390
4194,12486
4280,1631
12651,12480
8112,1631
5648,12485
1420,12480
4062,12503
12387,12479
3343,14315
11944,1631
891,12503
449,1631
7762,12503
8509,1631
7622,12745
569,14315
3403,12479
5253,12480
12124,12480
1025,12483
4064,12489
6971,12485
893,12486
12124,12489
629,12480
3403,12502
8028,12485
3536,12480
7632,12485
715,1631
3140,12482
1158,12485
6047,12480
8015,12917
6311,12493
5915,12480
5378,12745
7897,12481
7765,12480
7970,14316
11947,1631
7765,12485
5651,12488
6781,14321
102,12480
8294,12480
320,1631
5209,1631
13269,1631
3538,12480
5255,12498
5857,14316
3611,14315
11948,1631
11862,12485
5124,12477
5124,12476
5124,12481
4067,12480
5124,12482
1028,12480
5124,12479
8295,12480
7766,12498
5124,12480
5124,12486
5124,12483
8031,12485
8249,1631
5124,12490
4153,1631
5124,12493
632,12480
7972,14315
3274,12502
6783,14315
3671,12485
6651,14315
5521,12480
5124,12500
1293,12480
5917,12498
12392,12485
7635,12493
8164,12479
4009,14315
8032,12485
633,12480
7061,1631
5522,12480
8296,12498
5126,12476
5126,12479
5126,12480
1030,12480
5126,12483
6315,12488
5126,12481
4069,12480
5126,12482
8033,12485
5919,12480
5126,12486
5126,12491
898,12486
6711,12508
5126,12493
7710,14315
8297,12498
588,1631
7901,12498
5391,12482
3145,12480
4202,12482
7902,12480
5213,1631
7902,12479
3806,12477
3145,12493
7769,12510
4070,12489
635,12480
6845,12480
3909,13390
3674,12485
10016,12489
6977,12498
10016,12502
5128,12481
5128,12482
5656,12498
5128,12479
5128,12480
5128,12486
5128,12483
5128,12489
4071,12486
5128,12488
7903,12485
11338,12489
5128,12495
3893,1631
5525,12480
8035,12503
5657,12488
108,12480
108,12488
8168,12480
108,12489
1119,1631
7904,12480
3808,12480
3808,12485
5922,12485
6318,12503
12132,12498
11954,1631
108,12503
373,12480
3412,12485
109,12480
109,12483
8037,12480
1384,1631
6980,12485
6848,12479
7641,12485
5131,12476
5131,12477
9227,12480
6055,12503
5131,12480
5131,12481
12398,12480
5131,12479
328,1631
5131,12482
5131,12483
5131,12486
5924,12486
7774,12480
5131,12493
10568,11886
5131,12490
4160,1631
5131,12491
5131,12495
8124,1631
5131,12500
5528,12480
1432,12485
5264,12480
7906,12508
111,12488
12135,12485
8171,12488
6189,12488
6850,12485
726,1631
12392,12723
1301,12480
11957,1631
7643,12486
4208,12489
6719,12481
773,12485
7776,12480
7981,14316
6719,12483
1434,12480
3416,12480
7908,12498
113,12479
113,12480
113,12481
113,12483
774,12479
5531,12480
113,12503
596,1631
3635,1631
114,12488
6662,14315
3900,1631
3768,1631
7587,14316
5136,12477
5136,12476
5136,12481
5268,12485
8175,12482
5136,12482
5136,12479
8043,12480
5136,12480
5136,12486
5136,12483
5136,12490
1040,12488
5136,12493
512,12480
1173,12480
3155,12480
4080,12481
116,12488
3948,12482
5798,12480
3684,12479
11962,1631
5402,12480
7780,12493
117,12480
117,12483
4081,12480
3288,12489
910,12480
117,12488
5799,12480
3685,12480
6017,1631
3553,12479
514,12480
7649,12483
1439,12479
6810,1631
7781,12488
8309,12503
1439,12486
6328,12481
118,12480
3157,12480
1043,12480
3818,12480
5093,1631
12142,12498
3422,12480
6811,1631
5404,12480
6725,12499
6990,12479
5226,1631
12142,12509
8047,12480
6725,12504
5933,12480
11878,12503
7915,12483
998,1631
7783,12485
7783,12482
5742,14314
1441,12480
912,12498
5141,12479
5141,12476
5141,12477
5141,12482
5141,12483
5141,12480
7915,12503
3159,12485
5141,12481
5141,12486
1177,12488
913,12480
6991,12480
5141,12490
5802,12480
7783,12508
5141,12495
5095,1631
5141,12493
5142,12476
8332,11886
5142,12479
7784,12498
8181,12480
5142,12480
253,12485
5142,12483
5142,12481
8181,12479
5142,12486
5142,12491
8313,12488
4039,1631
5142,12493
6331,12498
5142,12500
5671,12485
11954,14315
5143,12476
5143,12477
5143,12480
8532,1631
3293,12485
7917,12503
5143,12481
3161,12480
5143,12479
5510,13390
1120,14315
5143,12482
5143,12483
122,12488
518,12501
5143,12486
783,12482
8314,12489
8182,12485
5143,12493
3954,12488
5143,12490
5143,12491
