locations_in_this_time_zone_1,locations_in_this_time_zone_2
14413,10994
13137,9591
14408,11148
14410,11085
13137,11637
13137,9587
14407,9126
14416,10895
14410,11081
13137,11646
14407,11188
14407,11187
14411,11062
13137,11642
13137,9594
14413,10997
13137,9606
14407,9148
13137,9607
14410,11102
13137,9604
13137,11648
13137,9600
13137,11649
14407,11204
14409,11141
13137,9610
13137,11658
13137,9611
14407,11199
13137,11668
13137,9621
13137,11666
13137,11667
13137,9616
14407,9158
13137,9617
13137,11676
14407,9171
13137,9626
13137,9624
14407,9167
13137,9625
14411,11090
14408,9136
14410,11136
14411,11104
13137,9637
14407,11224
14410,11130
14411,11112
13137,11692
13137,9644
14409,11173
13137,9645
14407,5088
13137,9642
14407,9185
14407,5086
13137,9641
14407,11230
14407,11244
14407,5101
14408,11213
14409,9132
14407,5099
13137,11701
13137,11698
14413,11052
13137,11697
14410,11160
14410,11159
14417,10941
13137,11706
13137,9659
14407,9201
14407,5105
14410,11153
13137,9657
14407,9212
13137,9670
13137,11719
13137,9668
14411,11135
14411,11133
14409,11194
14407,5113
14410,11162
13137,11713
13137,9665
14407,5124
14407,11268
14411,11144
14413,11080
14409,11203
14407,11265
13137,11721
13137,9687
14410,11183
13137,9684
13137,11732
14407,5131
14407,11273
13137,9682
14410,11180
14407,5128
14407,11272
14410,9129
14407,9223
13137,11729
14409,9175
13137,11740
13137,9692
13137,11741
14408,11251
13137,9688
13137,9689
14407,9231
13137,9702
14409,11229
13137,11747
13137,11745
14407,5156
14410,9158
14411,11174
14407,5152
14410,9155
13137,11752
13137,11766
14417,10999
13137,9718
13137,9719
14410,9165
13137,11764
14411,9134
13137,9714
14407,11304
14407,5161
13137,11760
14410,9162
14407,5172
13137,9724
14411,11191
13137,11773
14407,9267
13137,9725
13137,9722
13137,9723
13137,11771
14407,5167
14410,9184
14413,11138
14407,11323
14407,11321
14407,5175
14411,11209
14410,11239
13137,11788
13137,9740
14407,5187
14407,11330
14407,5184
14407,5182
14410,9186
13137,9751
14407,5192
14410,9196
13137,9744
14407,9287
14410,11241
13137,9758
14410,9208
13137,9756
14407,5202
13137,9757
14410,11253
14410,9203
13137,9752
14407,11342
14410,5119
14407,9308
13137,11815
14407,9309
14410,11263
14413,11169
14410,9211
14407,11364
14407,11363
14407,11360
13137,9783
14410,9232
14417,11060
14409,9259
13137,9777
14410,5144
14409,11316
14410,9236
14407,11389
14413,11202
13137,9799
14407,9338
14407,9339
13137,9797
14410,5150
14411,9213
13137,9793
14410,5158
14411,11270
13137,9805
14413,9158
13137,9802
14410,11300
14410,11299
13137,9803
14410,9252
14407,9342
14409,11343
14411,9233
14407,11404
14407,11403
14407,9354
14413,9168
13137,9813
13137,9822
14407,9365
14410,9272
14415,11163
14407,9362
14407,9363
13137,9818
13137,9819
13137,9817
14413,11220
13137,9827
14407,9369
14409,9304
13137,9839
14411,9253
14407,9377
14413,5092
14409,11374
14410,5200
14409,11372
14407,11432
13137,9843
14413,11246
14410,9292
14413,11245
14411,11307
14410,5194
14407,11430
14410,9303
14407,9396
14413,11259
13137,9854
14407,11444
13137,9853
14410,11348
13137,9851
14411,11315
13137,9862
13137,9860
14408,11419
14407,11449
14407,9401
14413,11261
14413,5117
14407,9399
14407,11460
14409,11397
14413,5128
13137,9864
14419,11082
13137,9865
14407,9418
13137,9876
14410,9326
14407,9419
14408,9385
14407,11464
14411,11351
13137,9884
14413,5144
14413,5145
13137,9885
14413,5143
14410,11377
14413,5141
14407,9436
13137,9895
14410,9344
14409,11421
14410,11390
14409,9373
14407,11481
14410,9337
14411,11355
14407,9431
13137,9902
14407,9444
13137,9903
13137,9901
14413,5158
14413,5156
14407,11486
13137,9911
14409,9388
14407,9448
14413,5167
14411,11382
14415,5115
14411,9331
14407,11516
13137,9927
14417,11205
14413,5184
14410,9371
14411,9341
14411,9352
14413,5194
14407,11524
14413,5192
13137,9933
14410,9382
13137,9942
14407,9484
14413,11346
14407,9483
13137,9938
14414,9262
14413,11353
14413,5209
13137,9945
13137,9954
14410,11451
13137,9964
14410,9414
14410,11459
13137,9963
14411,9378
13137,9961
14413,9328
13137,9973
14407,11558
14409,9463
14407,11569
14412,11414
14408,11537
14410,9425
13137,9977
14407,9533
14410,9437
13137,9987
14411,9402
14409,11513
13137,9984
14411,9403
14407,9540
14414,9321
14407,11587
14410,11492
14410,11490
14410,11489
14411,9420
14410,11499
14411,11480
13137,10010
14410,9457
13137,10009
14410,9472
13137,10019
14411,13532
14409,9496
14411,11483
14411,9446
14411,11494
14411,9445
14413,9380
14410,11522
14407,9580
14409,9514
14413,9389
13137,10033
14413,11436
14413,11450
14409,11574
14409,9527
13137,10044
14413,9401
14410,9491
14407,11645
14410,11550
13137,10052
13137,10053
14411,11518
13137,10050
14411,11517
13137,10051
13137,10048
13137,10049
14408,11622
13137,10063
14407,11650
14411,9477
14411,11523
13137,10057
14407,9599
14410,11566
14411,9487
13137,10069
14411,9485
14407,11655
14413,11469
14411,11530
13137,10078
13137,10076
14413,9433
14407,11664
14407,11663
13137,10073
14410,11582
14410,9534
14407,11671
14410,11592
14413,9451
13137,10092
14407,11683
14407,11681
13137,10091
14407,9630
14409,11617
14417,11368
13137,10098
14407,11689
14410,11596
13137,10099
14407,11688
14409,11638
14411,11576
14407,11700
14408,11669
14407,9650
14407,11699
14407,11695
14411,9523
14409,9585
14407,9660
14410,11614
14410,9564
14411,9531
13137,10124
14410,11621
14410,9574
14410,11619
14413,9476
14411,11601
14407,9676
14407,9677
14407,11724
14407,11723
14407,9672
14410,9577
13137,10143
14409,9623
14411,9558
14410,9590
14411,11605
14411,11604
14410,11634
14413,9492
13137,10136
13137,10137
13137,10148
14407,9691
14409,11675
13137,10147
14409,11674
14414,9470
14408,9669
14409,11685
14411,9575
14410,11652
14414,11528
13137,10155
14407,11744
14410,9601
14407,9706
13137,10162
13137,10163
14411,11641
14407,9716
14407,11765
13137,10173
13137,10168
13137,10169
14413,9538
13137,10183
14407,9720
14411,9596
14411,11644
14410,9628
14417,9411
13137,10190
14409,11718
13137,10188
14407,9729
14411,9602
14407,9727
14413,11588
14407,9741
14411,11661
14407,11782
14407,11796
14411,9620
13137,10212
14407,9755
14407,11800
13137,10222
14409,11748
13137,10226
14407,11817
14413,11630
13137,10224
14409,9705
14411,11705
14407,9779
13137,10232
13137,10233
14409,9726
14410,9695
14407,9786
14411,11710
14412,11678
13137,10240
13137,10241
14408,11799
14411,11720
14412,9639
14409,9733
14410,9700
14410,9697
14413,11665
14410,11758
13137,10259
14408,11816
14411,11722
14407,9812
14409,11798
13137,10271
13137,10266
14407,9809
14411,9693
14410,11770
14407,9815
14414,11660
14409,11810
14411,9710
13137,10292
14413,11696
13137,51
13137,10288
14410,9737
13137,10289
14415,11643
14413,11704
14410,9747
14410,11795
14409,9791
14413,9667
14410,11805
13137,10309
14410,9767
13137,10318
14407,9861
14407,9858
13137,10316
14410,9766
14410,11813
14410,9763
14411,11780
13137,10327
13137,14420
13137,10324
13137,10320
13137,10321
14411,9739
14410,9780
14411,11809
14409,9821
13137,10338
13137,99
14413,11742
13137,10336
14411,11802
13137,10337
14412,11785
13137,10348
13137,10349
13137,10347
14417,9579
13137,10358
13137,117
14407,9905
14413,11777
13137,10372
13137,10370
13137,10371
13137,10369
13137,10380
14410,9828
14413,11781
14410,9826
13137,10377
14410,9835
14410,9834
14414,11772
13137,10399
13137,10395
14413,11797
13137,10406
14407,9949
14414,11779
13137,10404
14413,11808
14411,9820
13137,10400
13137,10401
14407,9957
13137,10415
14409,9892
14410,9859
13137,10408
14407,9958
14407,9970
14411,9844
13137,10424
13137,10425
13137,10434
14411,9852
13137,10433
14417,11727
14417,11725
14413,9800
13137,10440
13137,10455
14407,9994
14407,9993
13137,10461
14407,10000
14407,10001
13137,10457
14410,9920
14410,9915
13137,10465
14413,9830
14410,9921
14410,9935
13137,10484
14407,10026
14410,9934
13137,10485
14407,10022
13137,10480
14409,9975
14407,10035
14407,10032
14410,9951
14411,9914
14410,9946
13137,10506
13137,10516
14411,9932
14407,10056
14410,9976
13137,10524
13137,8476
14409,10005
14413,9886
14417,11811
14413,9887
13137,10528
13137,10542
14407,10084
13137,8494
14411,9956
13137,10539
14410,9986
13137,10550
14413,9907
14407,10088
14410,10007
13137,8509
14410,10004
13137,10552
14407,10106
14409,10045
14410,10011
14409,10042
14410,10012
13137,8512
14409,10041
13137,8526
14411,9990
13137,8525
14407,10111
13137,10582
14407,10122
14409,10061
13137,10581
13137,8531
13137,10588
13137,10586
14407,10129
14407,10126
13137,10585
13137,10598
13137,10599
13137,10596
14410,10043
14412,9980
14407,10146
13137,10605
13137,10602
14407,10142
13137,10614
14410,10064
14407,10154
13137,10608
13137,10609
14411,10027
14413,9978
13137,10618
14413,9972
14411,10046
13137,10639
14411,10055
14413,9991
13137,10646
14411,10058
14408,10152
14409,10134
13137,10655
14410,10097
13137,10663
14410,10109
14410,10108
14417,9889
14410,10119
13137,10666
13137,10667
14407,10209
13137,10665
14410,10127
14410,10123
14407,10227
14410,10132
13137,10680
13137,10681
14407,10223
13137,10693
13137,10691
14410,10151
14410,10149
13137,10696
14407,10239
13137,10711
14413,10067
14410,10157
14407,10248
13137,10707
