film_story_credits_1,film_story_credits_2
7013,2823
7903,1854
7925,2205
5224,2996
7010,1901
3576,2889
8172,2747
7730,6209
3522,5589
3970,1948
4218,2459
8092,2172
8339,5785
2541,2224
11897,3003
6116,1996
3850,1587
3541,1955
908,5760
5679,6338
3902,3060
6885,2744
8272,1738
6946,2906
8272,1736
3748,1698
7939,2853
6116,2025
7904,2916
12426,3019
3850,1618
4313,5699
1102,1816
5781,5250
8032,3054
3860,2336
5224,2038
7966,2031
8346,1520
7010,1975
8407,5779
12326,3076
908,1701
6936,5295
6935,5326
7942,1768
3380,1878
11944,5705
5622,2015
8111,2682
8076,2743
8447,2516
3993,2347
8099,6130
6936,5326
6651,2896
8339,5873
7595,5384
5390,2057
8339,2807
8339,2803
7718,5674
7718,2608
3688,1583
3283,1861
3393,5618
831,2097
11958,2246
2541,2337
3611,6031
3964,2258
3679,1878
3786,5733
3380,1938
8339,2828
3688,1606
12403,2796
3880,2824
7966,2112
3594,2475
8339,5906
908,2801
12093,6280
4026,2403
3993,2405
3784,2744
7851,2620
3522,2676
6850,2936
7620,1594
7950,5699
7739,3023
8339,5925
7924,366
7851,2629
6919,5921
4313,2743
5781,2288
1445,2563
1201,1936
3450,5954
3681,5965
4246,2787
7837,3080
3522,2705
3679,1938
8159,5394
11925,5392
7007,5271
2541,5484
8339,5975
1102,1981
4145,1859
7957,2470
6759,1719
7851,1665
4134,5276
4313,2796
6141,2449
8339,5998
2541,2441
7976,1891
7882,5835
6950,2988
4022,2618
1102,2003
3679,3015
5933,2774
7851,2706
4145,2910
11899,2148
4135,2200
4169,2171
3834,2316
4020,2696
7950,1704
908,867
3943,3041
8127,2362
8320,2528
11878,2834
7950,2743
5781,2399
8175,6014
4150,1771
7613,1937
3681,1979
2541,2503
6936,5526
8339,2998
5970,1684
3393,2722
908,2961
5761,3050
4235,5298
7828,2464
3530,2584
7837,2184
6829,5788
8339,6094
4218,1748
8260,5472
3522,1820
7718,2813
3889,1706
7950,2796
5796,3010
4235,2247
3541,2261
3253,2998
4011,2028
4236,5298
4312,1918
4235,5326
3522,2855
12124,5501
12404,1951
6950,2062
6828,5844
8000,2293
7605,5330
8000,5373
12403,3021
4236,2247
11899,213
7893,2545
4236,5326
4324,2595
7851,2827
8174,3053
4313,1918
6103,1723
2541,2581
11897,2342
6829,5844
435,5408
4231,2423
3587,2937
4312,6066
7007,5469
3196,1752
4325,2595
4235,5382
3522,2913
4125,2653
4320,1733
3602,2487
7006,5512
6759,2926
7023,886
8339,2078
3522,1908
2541,2622
7655,1788
7718,1881
8099,2358
4313,6066
4236,5382
8159,2552
3355,2997
7957,2668
6798,1733
7000,2639
6935,2611
8272,2124
8112,6066
3964,1537
3548,2145
2541,2644
7724,1721
8393,5565
7957,5766
7923,2722
4319,5908
3707,2351
4195,2582
4313,3021
7672,2322
6935,5712
6936,2611
6828,5966
3851,6093
3926,5816
3993,1692
8393,1494
3850,3060
6116,2444
11899,2370
8037,2290
8393,2513
5933,1983
8000,2415
3708,2351
4048,2054
7964,5583
6936,5712
3668,2573
8339,2159
6829,5965
8134,2373
8339,6261
5679,1683
3994,1695
12103,5298
8087,2821
7592,5878
3552,2097
5684,2569
435,5544
7700,5608
3669,2573
3522,3042
3826,1816
3894,2779
908,2162
6116,5579
3993,2795
4235,2459
3380,2347
7851,1987
3451,2200
4311,2168
4119,3001
7950,3021
7976,5298
8092,2724
7976,5295
5318,1684
7964,2599
4236,2459
12426,2528
8385,1840
8159,2709
7718,3066
4320,2932
4312,5234
3993,1811
4216,6166
3562,1861
12100,5469
3532,1771
7737,5561
6836,5844
4235,5579
3548,2303
3679,2347
3501,2744
8088,1859
6884,5398
6160,6338
3380,5476
3748,2259
6946,2456
3902,1587
4313,5234
3964,1715
7659,1869
4236,5579
8282,2013
3944,5421
7795,5851
3355,2186
3902,1618
3926,1899
11878,2179
6950,2372
7964,2681
7925,2864
1489,1680
7001,2842
1354,2795
6129,2225
3679,2405
3159,2145
3380,5536
7815,5266
8127,1743
4022,3049
6923,2207
6109,1840
3522,2174
12403,5386
6109,1853
6905,2787
4125,1925
7925,1885
2541,2903
3160,2145
8035,2574
6946,504
3851,2238
6836,5966
7976,2369
12326,1668
7837,5652
4313,5334
7737,2619
2541,2924
8076,2348
7037,2818
7594,1935
6759,2219
7976,2380
2541,1914
3852,2238
12122,2895
3495,2044
1034,2563
6965,2002
3337,5927
3548,2457
7599,2832
4066,1764
4218,2169
4235,2666
3355,2300
11899,2651
3754,2225
1102,2520
7837,2634
8320,3019
4313,5386
3496,2044
3358,2225
4236,2666
3355,5403
12402,5526
2541,1966
8339,5523
2541,1970
1201,1527
854,3078
3151,2532
7847,2368
8385,2079
3604,5904
8339,5546
7964,1821
5226,1706
7655,2193
6651,2596
6298,5347
5457,5816
7950,5334
7630,2965
7927,1957
7837,648
6971,2924
11878,2360
597,5965
5860,1534
8319,2102
3681,5602
8112,2387
6842,2850
5490,1754
3255,5506
5684,2911
7001,3044
2541,3075
4020,2281
3196,2230
6141,6164
7950,5386
7976,2531
8319,2138
7737,5855
5761,2598
7774,5730
4313,5506
7911,2511
3162,5347
4218,5382
7713,5587
4313,5512
8385,2160
7739,5811
6651,1650
8092,6131
8371,2602
5684,6031
8139,5709
8339,5653
7774,1672
3380,1692
7924,2141
11878,2452
8093,2026
3246,1764
7024,2404
7739,5838
3393,5398
7939,5788
4312,5590
3522,2436
4004,5928
8000,1860
3822,2358
8339,5693
7976,2611
7964,2989
7595,2145
3450,2638
8339,2632
8175,5666
4020,5452
3532,2150
4313,5590
3679,1692
6814,5888
8339,5715
7837,802
3552,2565
7976,5712
8371,2682
3681,2673
7939,5844
8139,2714
6950,1691
7950,5506
854,5324
7950,5512
6851,5788
908,580
4320,5399
7976,5728
7837,2874
7904,2845
4159,5274
