included_in_group_1,included_in_group_2
11865,11837
11860,11927
11905,11879
14606,14098
11830,11835
11849,11945
13654,11863
14608,14607
11870,11945
11946,11831
11877,14098
11914,11927
11883,14098
11828,11837
11913,11837
11860,11879
11844,11863
11827,11945
11826,11842
11879,11927
11907,11893
11828,14098
11825,11945
11858,11945
11846,11945
11890,14098
11896,11927
11950,11920
11866,11835
11921,14098
11868,11837
11876,14098
14380,11863
11873,11945
11891,11837
11945,11826
11950,11863
11913,14098
11868,14607
11830,11945
11905,11927
11837,14098
11901,14098
14719,14607
11883,11837
11832,11945
11836,11831
11850,11843
