military_commander_1,military_commander_2
170,8105
12,8396
10993,7956
13590,8344
90,12383
13600,12383
51,8218
13625,6756
13611,7956
13596,6630
13576,13662
11631,13534
11631,7902
97,8344
13572,7649
13600,7803
51,7981
13656,8126
13181,4156
13572,7920
51,7744
13616,8344
13623,8136
13575,11939
13572,7677
13653,4155
13607,8136
170,8181
13644,11861
13625,7587
13623,7902
11819,13662
51,6756
141,8318
13573,8181
13600,8381
51,12651
13104,7881
13611,6756
13630,7958
39,6630
90,8381
13646,4155
13569,8078
6655,8136
51,7803
13606,7956
13587,13662
13594,8065
13581,7956
13600,8136
13577,8337
141,11939
141,8356
13607,8197
16,7881
51,8078
127,13662
13609,8396
13609,8136
13632,7945
13615,7958
13609,7902
51,7587
13600,6646
13636,8344
13580,13662
13607,7958
13611,8356
13127,7744
13094,7744
13611,7587
13590,4155
13653,8344
13577,8136
13651,7649
13569,8396
13608,7956
13621,8318
13104,8218
13569,8136
13633,7945
13618,7649
13569,7902
13623,11861
13569,5343
51,8397
13644,8136
13610,7649
194,8065
13604,8105
13610,7920
13627,7649
13627,13534
13627,7902
13597,8318
13571,11939
13104,7997
13607,11861
13618,7677
13649,7997
13646,8344
13569,6646
13627,7920
141,7677
13610,7677
13569,8181
13568,7956
13644,7902
13644,13534
13569,7920
13615,12383
13585,6670
141,8197
13627,8181
51,7920
13580,11939
13607,12383
13569,8197
51,6646
50,7958
13627,7677
13569,7958
13607,7803
13589,8105
13594,6670
6655,11861
13594,7691
13602,7956
119,8396
13606,7587
13606,8356
13104,12651
13586,6670
51,6670
13644,8197
13575,13662
13581,8356
