risk_factors_1,risk_factors_2
14105,11837
12876,14093
13974,13333
14096,13661
13491,13980
13933,14100
14115,14090
14119,13977
13935,14046
14119,13974
14116,14089
12712,14089
12712,14090
13955,11920
14104,13954
13956,13932
13972,13962
13955,11927
14114,13661
14100,14095
13973,13937
13149,11833
14100,14093
13935,14100
14117,14091
13956,13955
13935,14095
14092,13333
14107,11842
14101,14090
13974,13932
13166,11842
14106,13932
13933,13661
14105,11927
14105,11920
14101,14093
13976,11833
13973,13974
14104,13495
13936,14095
12929,14093
14099,13660
14106,13955
13974,13962
12712,13660
13936,14111
12929,14108
13937,14093
14102,14095
13937,14090
14102,14093
13937,14089
13937,14100
13974,13975
13260,14093
13954,14095
14102,14111
13944,11842
13976,11883
13958,13976
13178,14090
13926,13955
13938,14093
14092,13927
13961,11842
13971,14090
14092,13937
14092,13933
14092,13932
13936,13661
13955,14093
13955,14090
14092,13939
14101,13661
13928,11863
13494,13029
13163,14089
14104,14102
12929,13660
13927,13955
14092,13955
13939,14090
13236,11833
14106,14045
13163,14093
13937,13660
14092,13973
14092,13971
13973,14090
13978,13936
13494,14090
14105,14090
13260,13660
13956,14113
14094,13932
13494,14108
13178,13661
14089,14090
13956,14118
13973,14100
13971,13660
13494,14110
14094,13955
13974,14090
14089,14109
14096,11842
13974,14095
14106,14111
13958,14090
14106,14110
13149,14090
13939,13660
13941,14110
13958,14093
13974,14110
13975,14090
14121,13660
14107,14093
13236,13955
13149,14093
14112,13936
13978,13491
13942,14093
13926,14089
13926,14090
14107,14120
13926,14100
13166,14108
13926,14095
13973,13660
13926,14093
13980,13955
13965,13928
13927,14093
13927,14090
13415,14090
14092,14096
13927,14089
13415,14089
13976,14103
14092,14091
14096,11920
14109,14089
13958,13660
13965,13955
12712,11833
14092,14109
14097,13955
13944,14090
14104,13236
13333,14093
14114,13955
13961,14090
13928,14090
13149,13660
13928,14095
13978,14095
13933,13955
13926,13660
13166,13661
14094,14106
13415,13660
13927,13660
14094,14116
13236,14090
13968,13926
14094,14110
13236,14093
13977,13660
12929,11842
14116,13955
14109,13661
14112,14102
14116,13976
13935,13955
14100,13955
14096,14093
14112,14107
14096,14090
13980,14100
14096,14098
14096,14095
14102,13931
13974,12268
13965,14090
14097,14093
14097,14090
13955,11837
14097,14089
14097,14100
13260,13936
13494,13333
13972,11842
13236,13660
13937,13955
13933,14090
12876,14090
13163,11842
13260,13955
