contributor_1,contributor_2
7210,9004
7303,6119
7207,9095
7212,8946
7247,7860
7250,3671
7249,7798
7211,8976
7212,8944
7194,5406
7249,3706
7249,3705
7249,7801
7221,8668
7212,8953
7231,8363
7277,6942
7250,3683
7241,3960
7211,8992
7242,3933
7210,9027
7211,9002
7211,9008
7232,4261
7212,8976
7252,3645
7242,3954
7231,4295
7249,3736
7242,3960
7212,793
7249,7843
7215,8896
7212,8993
7303,6171
7212,9002
7212,9001
7249,3756
7267,3205
7249,7862
7198,5346
7249,7860
7254,3617
7249,3772
7219,8802
7249,3776
7249,7876
7247,7938
7303,6208
7212,9027
7210,9095
7242,4012
7219,8820
7249,3794
7210,9097
13562,8798
7215,8946
7249,3803
7250,3772
7215,8953
7249,7899
7247,3862
7259,7596
7212,9052
7250,7874
7259,7601
7211,9095
7235,4254
7249,3827
7235,4261
7249,3825
7264,3366
7242,8142
7241,4081
7249,7929
7247,7996
7235,4272
7254,7778
7249,3837
7201,5325
7242,4060
7215,8992
7249,3842
7249,3841
7211,9115
7267,3287
7242,8158
7247,3906
7250,3813
7212,9097
7252,3760
7249,7948
7212,9095
7215,9002
7201,5346
7259,3553
7249,3862
7254,3706
7303,6283
7249,3861
7266,3333
14655,3646
7242,4084
7249,7960
7247,8028
7242,8183
7242,4087
7237,8336
7249,7971
7303,6296
7249,7968
7247,8044
7225,8725
7249,7980
7261,7614
7242,8202
7254,3734
7242,8201
7249,3895
7249,7991
7257,3645
7249,3893
7259,7679
7302,6345
7249,7995
7247,3958
7220,8896
7249,7996
7249,3900
7244,4061
7262,7601
7198,5489
7238,4254
7250,3887
7303,6345
7268,3333
7219,8953
7261,3553
7249,8027
7249,8025
7244,4084
7261,3557
7229,8644
7254,7874
7249,8028
7266,3409
7215,898
7259,7733
7249,8042
7215,9095
7220,8946
7219,8976
7261,7674
13562,8946
7259,3645
7249,8055
7219,793
7242,4173
7229,8672
7261,7686
7249,3960
7219,8993
7256,3749
7215,9115
7242,4188
7246,8158
7219,9001
7256,3760
7245,8202
7203,5407
7267,3423
7261,3609
7229,8696
7249,8083
7242,4204
7267,3427
7259,7770
7262,7684
7261,7715
7231,8644
7249,3989
7249,8084
7261,3627
7220,8992
7233,8589
7257,3749
13563,8976
7249,8098
7203,1330
7247,4070
7257,3760
7249,4014
7249,4012
7249,4019
7231,8672
13562,832
7261,3645
7211,1109
7249,4026
7247,8188
7242,4247
7247,8187
7242,4254
7249,8132
7263,3607
7249,8142
7247,4108
7249,4055
7249,4052
7235,8589
7249,4063
7203,5489
7249,8158
7249,4062
7249,4061
7249,4060
7252,8069
7242,8378
7242,4282
7245,4188
7208,5346
7249,4075
7279,3147
7249,4076
7261,7800
7234,8644
7249,4087
7242,8398
7249,8180
7249,4084
7250,4060
7220,9086
7249,8187
7252,3996
7247,8246
7205,1360
7249,4097
7261,3725
7245,4220
7247,8254
7249,8202
7249,4106
7261,3736
7267,3557
7249,8211
7249,8210
7250,4083
7225,8953
7261,7846
7220,9115
13563,9095
7244,4282
7249,8226
7261,3756
7274,3363
7249,8233
7250,8202
7208,5407
7225,8976
7249,8236
7264,7778
7249,8246
7250,4117
7252,4062
7259,7938
7249,8254
7247,4220
7249,8263
7235,8695
7249,4164
7232,8787
7249,8266
7249,4168
7261,7892
7249,4175
7284,3089
7235,8709
7212,5325
7249,4176
7256,8069
7212,5346
7227,8976
7291,6992
7210,5407
7219,1034
7249,8302
7294,6907
7249,4205
7249,4204
7236,8709
7266,7778
7261,3837
7227,8992
7249,4219
7257,8069
7249,4220
7249,4226
7294,6925
7224,9095
7229,8946
7211,5407
7284,3147
7295,6907
7249,4237
7261,7960
7294,6942
7249,8336
7249,4247
7249,4244
7295,6920
7227,9027
7249,8345
7198,5830
7280,3287
7249,4248
7211,1330
7249,4254
7239,8658
7214,5346
7212,5407
7270,3609
7261,3888
7229,8976
7215,5325
7261,7995
7259,3958
7295,6942
7212,1330
7256,8158
7242,8592
7249,8378
7249,4282
7270,7726
7249,4281
7261,3909
7210,5489
7256,4070
7249,4295
7269,7770
7249,8389
7231,8946
7198,5880
7231,8953
7249,8398
7269,7778
7198,5881
7266,7876
7211,5489
7249,4311
7212,1360
7253,4189
7257,4070
7270,7770
7252,4238
7210,1443
7257,4082
7261,3958
7241,8672
7217,5325
7267,7874
7212,5489
7252,4247
7231,9001
7242,8672
7270,3706
7294,7057
7270,7801
7198,5941
7263,8028
7266,7938
7259,4064
7259,4062
7232,9001
7279,3457
7259,4076
7294,7086
7282,3362
7234,8946
7303,6817
7269,7870
7212,1443
7259,4088
7270,7843
7242,8713
7259,4097
7253,8378
7214,5489
7211,5582
7295,7074
7267,7948
7242,8725
7267,7960
7259,8211
7198,6005
7261,4052
7215,5489
7267,7971
7303,6858
7203,5881
7270,7899
7266,8028
7277,7684
7261,4084
7235,8992
7220,5360
7261,4088
7261,8188
7242,8787
7232,9097
7303,6894
7269,7948
7235,9002
13563,5346
7198,6062
7275,7770
7257,4238
7189,6345
7303,6907
7275,7778
7257,4247
7303,6921
7303,6920
7191,6296
7249,8592
7303,6925
7261,4133
7249,8600
7276,7770
7261,8233
7276,3671
7303,6930
7249,412
7242,8827
7277,3645
7283,3463
7261,8246
7303,6942
7195,6194
7269,7996
7242,8838
7264,4060
7259,4220
7260,4189
7277,3671
7284,3457
7263,8202
7191,6345
7239,8953
7270,3895
7261,4174
7247,8709
7196,6194
7277,7778
7203,5974
7234,9115
7241,8896
7259,8345
7259,4248
7261,4189
7235,9095
7278,7768
7303,6992
7201,6062
7303,6994
7267,8117
7192,6345
7249,8672
7242,8896
7271,7996
7270,8027
7266,4060
7268,3996
7284,7596
7275,7874
7198,6171
13562,5489
7259,4282
7241,8946
7294,3206
7303,7022
13563,5489
7219,1443
7249,8709
7266,8188
7261,4246
7249,8713
7210,5830
7237,9095
7303,7048
7275,3825
7267,4073
7249,8725
7291,3333
7303,7057
7263,4201
7242,8946
7224,5407
7270,8084
7266,8211
7270,3989
7242,8953
7252,8658
7222,5489
7303,7074
7242,8976
7249,8756
7248,8787
7224,5439
7291,3362
7198,6245
7210,5880
7286,7619
7249,8765
7212,5830
7269,4060
7242,8993
7249,8787
7242,9004
7286,3551
7211,5881
7249,8798
7253,8672
7270,4055
7270,4060
7291,3412
7262,4318
7277,7948
7269,8202
7276,3888
7294,3329
7249,628
7249,8820
7254,8672
7212,5880
7292,3400
7249,8838
7249,8843
7244,9002
7266,4222
7295,3329
7295,3333
7271,4076
7294,3362
7201,6245
7294,3366
7210,5974
7198,6345
7269,4148
7249,8864
7227,1360
7242,898
7261,308
7203,6208
7245,9001
7266,4259
7261,321
7247,8946
7278,7996
7211,5974
7203,6233
14023,7798
7270,8254
7247,8976
7286,3671
7215,5881
7212,5974
7277,3958
7252,8828
7261,367
7295,3412
7249,8946
7231,5407
7253,8827
7210,6062
7249,8953
7211,6034
7295,3441
7256,8744
7268,8372
7270,4219
7247,9027
7249,8969
7203,6309
7295,3457
7249,8976
7212,6034
7210,6100
7270,8336
7294,3494
7260,8644
7249,793
7294,7596
7303,3220
7231,1360
7249,8993
7249,8992
7297,3412
7291,3609
7212,6062
7294,3519
7286,7862
7294,7614
7249,9008
7203,6345
7215,5974
7295,7596
7294,7625
7231,5489
7295,7601
7277,4060
7270,8378
7203,6365
7284,7948
7276,8202
7234,5407
7274,8261
7295,7614
7256,8828
7295,3523
7295,7625
7212,6100
7277,4084
7211,6139
7279,8132
7277,8202
7277,4106
7212,6119
7284,7989
7291,7770
7294,3586
7291,3684
7291,3683
7261,8709
7259,8770
7303,3325
7249,9095
7303,3329
7276,8261
7261,8725
7303,3333
7291,3706
7303,3345
7249,9115
7286,7968
7262,8709
7235,1360
7295,3596
7276,4189
7276,4188
7294,7725
7280,4070
7295,7701
7295,3607
7294,7738
7279,8202
7275,4237
7303,3366
7219,5974
7235,5489
7259,652
7274,8377
7294,3665
7295,3645
7294,7770
7295,7738
7297,7684
7236,5489
7215,6139
7300,7600
7276,4247
7294,7791
7262,8787
7235,1435
7295,3671
7294,3702
7284,4012
7263,8765
7279,4173
7295,7770
7191,6909
7295,7778
7242,5325
7276,4278
7265,8713
7303,3444
7211,6294
7211,6309
7242,5346
7282,8202
7295,7798
7219,6062
7222,5974
7212,6283
7266,8709
7220,6046
7292,7907
7268,8658
7303,3475
7211,6334
7282,4133
7257,9011
7212,6309
7268,8668
7259,8946
7259,8953
7302,7619
7291,3862
7212,6320
7215,6233
7303,3509
7212,6334
7308,3362
7295,3762
7303,7614
7224,5974
7212,6345
7295,7870
7286,4060
7193,6942
7297,3721
7241,1360
7303,3539
7293,7948
7259,9002
7259,9008
7303,3553
14023,4133
7303,3551
7303,3550
7294,7929
7286,4087
7249,1138
7269,8709
7267,8787
7300,7770
7261,8976
7294,3862
7303,7679
7294,3861
