politician_1,politician_2
14333,7587
13268,6295
14634,7981
14340,8136
12694,7958
13059,7920
13393,8325
13059,7669
13328,8297
13393,3976
13393,12424
13393,8338
13393,7827
13181,4156
13059,5379
13393,8350
13393,7595
12731,7637
13059,8218
13059,7963
13393,7858
14333,7647
13059,1058
14633,8328
13328,6299
13344,7849
13059,7978
13393,7609
13393,7622
13393,11972
13059,6711
13001,826
13393,11969
13059,6721
14335,8381
13393,8143
6695,7902
13059,6719
13059,7741
13059,7997
14635,7793
13393,726
13059,6729
13059,6726
13188,7847
14333,7678
13268,7670
13393,7891
13059,7746
13393,8145
13393,5343
13268,7682
13328,8379
13059,8015
13059,8010
14637,1333
13059,3928
13103,8197
13344,7635
14635,7807
13181,7824
13059,3927
13393,7661
13393,6646
13224,7790
13183,352
13393,7678
13393,5628
13059,12651
14340,11861
13059,5490
13393,7681
14633,7910
13059,6267
6695,6696
14634,8397
13059,8325
14636,8075
13059,4240
13059,8078
13393,7963
12694,8381
13393,6950
14333,8274
14634,7647
13059,6297
13268,6218
13059,1173
13393,801
13059,8353
14633,8197
13393,7981
14635,11972
13059,7835
13393,7731
13268,8022
13059,5296
14340,8337
13393,6719
14340,7826
13393,8250
14333,6756
14635,7647
14333,7793
13393,8258
13188,7713
14638,8075
13059,449
13424,8075
13393,6221
13393,8277
14333,6781
13393,5722
13059,8397
13183,3796
13268,8074
13059,7897
13059,6361
13344,3923
13393,7780
13393,6756
13328,5700
13059,3796
13103,8318
14634,8218
13393,8046
13332,7888
13059,4316
13393,8043
13344,8023
