location_1,location_2
6006,9464
8152,8475
3357,9660
8152,8476
8078,10766
7997,5090
449,9702
1016,8512
4386,10540
692,10365
11959,5156
753,8475
3355,9737
4188,8488
1017,8488
729,9226
5468,1585
8093,10316
8068,11093
5675,11551
1282,8475
3660,8488
225,8476
12116,8494
8260,5150
12877,9490
3373,9199
4189,8476
8152,8510
3925,8476
8262,5107
4189,8488
1190,11348
7888,8512
13438,8498
8153,8488
6243,10365
1283,8475
1283,8476
4990,60
3133,8475
3594,10570
705,10019
6677,5112
6040,8475
3328,10632
1487,10361
5520,29
3628,9527
8789,5182
11853,8512
6250,10170
490,8508
1225,10300
3242,5118
6003,9638
3614,9973
1490,10288
6941,5150
8367,10094
8372,9940
952,10589
4170,9137
5883,5187
3862,10497
3318,10984
6002,9697
6741,11364
3640,9193
3399,8475
7736,5099
1130,5095
3107,9345
7588,9702
665,11321
760,184
5968,10768
6306,8488
3927,8509
8164,41
12352,9472
5991,10058
757,8477
5249,8488
14212,9167
12352,9481
3937,12
6267,9702
7628,8476
4985,8488
4138,10170
1256,9405
6783,10098
229,8475
4730,14
229,8476
1131,5095
1213,10745
3773,5112
1022,8475
7891,8526
5622,5143
7736,5145
493,8494
3838,11299
4300,5169
3928,8509
5475,9702
3841,11204
6018,9259
6836,8475
6043,8488
494,8475
6266,9766
4300,5182
4102,11320
8087,10667
14206,9396
6013,9426
5045,6664
7893,8488
6049,117
4156,9654
7596,9514
3626,9702
1023,8475
7827,10543
4124,10648
8378,9853
12893,9155
8118,9718
759,8475
6043,8510
4202,51
8053,11744
8061,11498
8164,108
7630,8476
712,9942
5684,11459
4193,8533
5456,10340
1288,8478
5516,8485
6154,5095
8076,11046
1288,8488
5447,10636
6018,9320
5781,8475
3369,9516
760,8476
1288,8494
3667,8475
5781,8476
6154,5112
7631,8476
982,9795
3666,8512
7822,10750
3877,10170
769,25
6838,8494
3403,8485
3667,8494
6946,5156
5732,10021
4885,11702
1235,10170
7020,11061
3350,10143
768,75
3145,117
3676,43
8338,11176
977,9987
233,8475
1290,8476
233,8476
6311,8476
6154,5150
4125,10704
7791,11747
4197,8476
7632,8488
3880,10112
7836,10361
1500,10170
7631,8526
7631,8531
7740,5156
679,11058
6817,9199
12833,11112
5362,5150
1230,10365
4432,9407
5364,5095
5892,5112
8394,9468
4307,5095
7641,51
1476,10940
472,9297
7003,11641
7844,10146
8346,10962
702,10362
605,5182
6950,5093
426,10732
975,10097
12398,51
768,130
5362,5175
8112,10033
3603,10552
3564,11764
499,8475
6950,5101
3913,9137
7592,9780
1261,9436
451,9973
5256,8477
7033,10732
3370,9602
8385,9790
762,8533
7594,9733
3935,8475
3085,10253
1210,11033
6842,8476
14203,9665
8373,10170
500,8475
500,8476
7868,9443
5521,8478
3118,9243
3407,8476
1136,5150
8103,10362
6314,8475
6049,8497
5759,9294
1136,5154
1138,5093
1266,9318
7845,10170
1242,10062
3371,9602
5521,8488
6262,10093
6263,10062
6231,11061
7597,9674
5737,9991
5454,10575
3252,5110
3353,10170
3316,11321
6950,5161
5522,8476
4176,9239
3611,10372
6812,9448
237,8475
608,5169
12393,8476
465,9604
3085,10306
3676,177
6267,9973
4170,9443
4395,10661
692,10766
6012,9688
3251,5169
4950,9841
6003,9973
1497,10394
5707,10954
1240,10170
3673,8476
12398,141
3599,10773
7844,10248
5460,10423
3328,10984
7637,8477
3651,9164
11972,5164
998,9490
4162,9709
4169,9493
7015,11385
8010,5115
14187,10239
5217,9780
4201,8513
3624,10019
12393,8526
8373,10265
14215,9389
3608,10524
5710,10899
708,10316
873,5202
14189,10200
3370,9724
3146,8475
14200,9876
768,8475
3094,10097
8010,5158
13157,9451
3517,5182
3939,8488
1232,10487
14353,5150
5525,8476
1231,10524
7851,10102
8136,9468
6263,10184
1296,8514
4391,10876
768,8505
3107,9726
4527,6669
6005,10001
1406,5115
716,10124
5713,10864
3412,8476
12362,9559
3676,8485
5420,11764
1032,8531
12404,59
5262,8476
6162,5150
3109,9682
7614,9289
8705,54
6852,154
13160,9399
730,9718
6023,9481
5996,10316
14210,9637
6809,9688
3941,8485
1302,186
1245,10147
744,9294
5634,5164
6055,8494
7610,9441
4913,11133
613,5172
4738,179
3149,8476
1298,8514
6165,5099
5899,5150
8147,9188
3787,5095
3328,11131
3904,9659
4923,10845
3784,5194
996,9702
1034,8526
3640,9659
12398,8496
5528,8475
12846,10989
8169,8532
3088,10392
5218,9901
1036,8475
8404,9443
3943,8476
997,9688
5000,8478
5791,8531
7907,8476
4373,11532
1013,9199
6321,8488
12399,8488
1004,9479
12135,8478
5237,9331
7868,9688
6849,8513
4447,9253
4711,9259
5698,11435
1211,11267
6167,5093
6796,10170
8278,5182
4481,12
4208,8476
4170,9659
6783,10576
8015,5152
5771,9188
5794,8475
5902,5126
4053,5101
434,10797
7644,8478
998,9702
737,9604
3091,10362
4318,5093
3152,8475
6322,8510
8405,9481
3084,10589
1411,5110
1495,10698
12868,10389
1311,18
6037,9161
354,5112
4698,9714
4479,125
3354,10423
3098,10170
5531,8476
6294,9399
472,9656
5772,9195
3422,127
3906,9702
5267,8476
1148,5093
773,8526
3891,10170
5500,9443
12365,9623
3096,10245
3946,8476
12346,10220
7646,8475
7877,9504
5215,10112
4438,9623
673,11649
7646,8477
1304,8475
14361,5115
247,8476
1251,10123
5481,10067
3922,9242
5500,9481
1040,8476
13145,10048
4105,11764
1039,8509
5742,10170
3261,5164
5797,8475
208,9700
14361,5131
5797,8477
512,8475
7851,10345
1264,9740
3338,10984
5802,137
7911,8492
998,9802
12900,9490
8383,10248
4744,186
6855,8476
3596,11202
3874,10773
5700,11512
14361,5161
6810,9876
5269,8494
6326,8495
4212,8494
450,10436
8146,9425
5270,8475
13196,8525
5270,8476
1235,10680
5534,8488
3156,8478
8705,8488
7071,9999
7647,8526
778,8476
12117,9221
5799,8476
4056,5164
5799,8475
5226,9859
3693,37
623,5095
6794,10408
4450,9341
12079,10408
7618,9437
8658,9973
3640,9881
4484,104
259,9
13123,10832
12381,9259
3916,9523
1316,18
623,5118
3685,8500
6327,8525
1307,8495
3685,8509
515,8476
8124,10170
1498,10773
785,108
12352,10170
3422,8475
450,10497
484,9443
251,8475
1308,8476
7067,10170
251,8477
749,9425
7658,51
3362,10348
3422,8488
13427,9630
3685,8526
623,5152
4486,85
5540,184
7869,9909
7863,10094
5646,5099
6010,10200
7915,8488
1309,8475
1309,8476
8150,9402
3794,5172
12083,10361
12408,8485
516,8495
8180,8476
6798,10361
8180,8488
7828,11203
5802,8477
974,10691
5475,10423
3318,11755
1258,10081
5015,110
12144,8488
5224,10021
12936,8513
8353,11321
12321,11193
1310,8477
704,10879
5537,8514
7604,9973
5537,8512
4324,5156
4216,8509
623,5202
6257,10773
1046,8475
4189,9345
4062,5095
5016,97
3861,11327
7086,9659
8376,10635
1001,9881
12111,9541
12251,5200
13466,8494
1239,10698
3689,8476
8290,5118
12673,8508
12095,10045
712,10657
5213,10389
8444,8531
1255,10210
3914,9702
3387,9659
1316,131
7917,8494
4181,9623
8452,99
3917,9616
479,9702
8446,8485
6861,8475
783,8475
8879,11447
783,8476
426,11353
6861,8478
6861,8476
6042,9289
3084,10879
527,35
519,8476
13172,9443
518,8513
3856,11531
8182,8496
6301,9464
2541,11340
4062,5150
1048,8476
6309,9226
5237,9688
3955,8476
1047,8510
7086,9718
7822,11483
518,8531
8378,10639
8289,5202
5214,10423
8378,10648
7655,8478
995,10142
5277,8475
6300,9527
312,6744
520,8488
4220,8475
5541,8488
1011,9660
364,5142
5748,10273
4987,9289
5277,8488
3536,5118
1269,9859
3692,8475
13440,9396
1508,10648
6296,9682
978,10698
7073,10170
3428,8475
7083,9859
5761,9881
3651,9761
6312,9188
785,8494
3651,9760
6334,8512
12383,9412
7830,11290
3908,9991
789,186
5775,9465
5773,9528
5224,10170
5507,9587
6303,9493
3429,8476
7889,9481
5473,10648
1021,9399
6335,8509
8186,8477
1051,8476
14195,10614
8450,8488
3897,10361
785,8532
3371,10289
3800,5181
5489,10170
952,11551
787,8475
6299,9636
7868,10148
7621,9613
3429,8494
5475,10608
740,9935
6259,10879
3889,10626
3693,8509
8143,9827
5651,5157
3334,11448
4759,38
14268,175
4151,10698
8380,10670
1316,8476
259,8475
6298,9688
7067,10423
7895,9331
12881,10408
1291,9259
6810,10208
523,8495
4175,9973
12899,9859
6079,99
5775,9528
1239,10879
7923,8475
5232,9981
3638,10241
6080,75
3127,9702
5025,17
11892,132
5218,10423
1426,5095
756,9481
533,12
1260,10245
6828,9667
1240,10867
8295,5150
12354,10394
4069,5095
8452,8488
5754,10201
8295,5164
3904,10208
8188,8475
789,8476
8188,8488
7658,8531
789,8478
14272,108
13171,9659
3904,10220
3118,10016
7028,11688
261,8475
1318,8476
14274,61
3168,8476
6795,10729
7668,54
7074,10275
3961,8475
980,10773
3969,37
899,5095
8132,10245
8188,8509
3961,8477
465,10361
6868,8476
635,5095
3370,10423
7668,70
3097,10698
14271,176
7925,8488
14194,10754
6292,9966
14214,10147
430,11464
3916,9897
6047,9371
1061,99
6868,8500
3911,10060
1324,144
8299,5110
6845,9221
526,8509
3353,10984
13436,9714
7661,8509
