topic_1,topic_2
14884,13122
12682,11
12682,12
12682,22
12682,29
12682,27
12682,38
12682,34
12682,52
12682,71
12682,75
12682,86
12682,89
12682,90
12682,109
12682,108
12682,115
12682,127
12682,126
12682,135
12682,132
12682,137
12682,156
12682,168
12682,171
12682,170
12683,146
12682,177
12682,188
12682,186
12682,199
12682,207
12682,208
12682,203
12682,204
12682,201
12682,202
12682,216
12682,210
12682,229
12682,228
12682,226
12683,209
12683,207
12682,238
12682,234
12683,216
12683,217
12682,248
12683,214
12683,215
12683,210
12682,241
12682,254
12683,221
12682,250
12682,262
12682,258
12682,271
12683,241
12682,269
12683,238
12682,270
12683,234
12682,277
12682,275
12682,273
12683,256
12682,287
12682,285
12682,283
12683,252
12683,264
12683,265
12682,296
12683,263
12682,291
12682,292
12682,289
12683,258
12683,272
12683,273
12683,271
12682,302
12683,280
12682,309
12683,275
12682,319
12683,287
12682,314
12683,296
12682,328
12683,297
12682,326
12682,324
12683,291
12683,304
12683,305
12682,331
12682,332
12683,298
12682,329
12682,341
12683,311
12683,309
12682,351
12683,321
12682,349
12683,319
12682,347
12683,317
12683,314
12682,359
12683,329
12683,326
12682,354
12682,368
12683,337
12683,332
12682,364
12682,362
12683,341
12683,339
12683,352
12682,383
12682,378
12683,361
12682,390
12682,387
12683,356
12683,357
12682,398
12682,395
12682,394
12683,376
12682,408
12683,372
12683,370
12682,402
12683,384
12682,416
12682,414
12683,383
12683,381
12682,412
12683,390
12683,391
12682,419
12682,417
12683,401
12683,398
12682,429
12682,428
12683,409
12682,440
12682,436
12682,433
12683,402
12683,403
12682,445
12683,412
12682,441
12682,442
12683,425
12682,453
12683,421
12682,449
12683,419
12682,450
12682,464
12683,430
12683,431
12683,426
12682,458
12683,427
12682,471
12683,438
12682,469
12683,437
12683,434
12683,435
12683,448
12683,449
12683,445
12683,442
12683,443
12683,457
12683,455
12682,484
12682,482
12683,465
12683,462
12683,463
12683,460
12682,489
12682,490
12682,503
12683,470
12683,468
12682,498
12682,509
12683,478
12683,477
12682,517
12682,518
12683,487
12683,482
12682,527
12683,497
12682,524
12682,535
12682,543
12682,544
12683,509
12682,537
12682,538
12682,551
12683,521
12682,552
12682,549
12682,547
12683,517
12682,559
12683,529
12682,557
12682,555
12683,524
12682,556
12682,553
12682,554
12683,536
12683,535
12682,563
12682,561
12683,544
12683,543
12683,540
12682,569
12683,552
12683,553
12682,581
12682,582
12683,549
12683,547
12683,561
12682,592
12683,558
12683,559
12683,556
12683,557
12682,588
12683,554
12683,555
12682,597
12682,607
12683,577
12682,605
12683,572
12682,604
12682,601
12682,602
12682,614
12682,623
12683,590
12683,588
12682,619
12683,586
12683,601
12682,629
12682,630
12683,596
12682,628
12683,597
12683,609
12682,640
12683,607
12682,635
12683,603
12682,645
12682,646
12682,643
12682,655
12682,656
12682,654
12682,651
12682,649
12683,628
12683,629
12683,640
12682,669
12683,637
12683,635
12682,666
12682,679
12683,649
12682,677
12682,678
12682,676
12683,643
12682,687
12683,656
12683,654
12683,655
12682,684
12682,691
12683,658
12683,671
12682,700
12682,697
12683,667
12682,711
12683,678
12682,709
12683,679
12682,707
12682,708
12683,677
12683,675
12682,719
12682,720
12682,727
12683,697
12683,694
12683,692
12683,693
12683,690
12683,691
12682,722
12683,702
12682,730
12682,744
12683,711
12682,738
12683,720
12683,719
12682,750
12682,757
12683,722
12682,753
12683,737
12682,768
12682,765
12682,761
12683,744
12682,773
12682,771
12683,740
12683,738
12683,753
12682,781
12683,747
12683,758
12682,788
12683,757
12683,768
12682,800
12683,767
12682,798
12682,795
12683,765
12683,763
12683,777
12682,808
12682,803
12683,772
12683,770
12683,771
12683,784
12683,778
12682,823
12682,824
12683,793
12682,821
12682,819
12683,800
12682,825
12683,794
12683,795
12682,826
12683,808
12683,807
12682,834
12683,816
12682,848
12683,814
12682,843
12683,810
12682,841
12683,824
12683,825
12683,822
12682,854
12683,821
12683,819
12682,861
12683,829
12683,826
12682,858
12683,827
12683,837
12683,834
12682,866
12683,849
12682,877
12682,878
12683,845
12683,842
12683,843
12682,887
12682,886
12682,884
12682,881
12683,851
12682,896
12683,871
12682,912
12683,878
12683,888
12682,919
12682,920
12683,895
12682,935
12682,933
12683,898
12683,912
12683,911
12683,908
12682,951
12682,952
12683,921
12682,949
12682,947
12683,928
12683,925
12683,922
12683,923
12682,968
12683,933
12682,961
12682,974
12683,938
12682,969
12682,984
12682,979
12683,949
12683,946
12683,958
12682,988
12683,969
12683,963
12683,977
12682,1005
12683,975
12682,1001
12683,985
12682,1016
12683,981
12682,1009
12683,993
12682,1021
12683,988
12682,1032
12682,1030
12683,999
12683,994
12683,1009
12682,1033
12682,1034
12683,1016
12682,1047
12682,1048
12682,1041
12682,1055
12682,1056
12683,1025
12683,1021
12682,1052
12683,1032
12682,1061
12683,1028
12682,1057
12683,1040
12682,1070
12683,1036
12682,1079
12683,1046
12683,1047
12683,1044
12683,1055
12682,1086
12683,1061
12682,1104
12683,1071
12683,1066
12682,1097
12682,1109
12683,1079
12683,1077
12682,1108
12682,1105
12683,1074
12682,1106
12683,1084
12682,1127
12683,1094
12683,1104
12682,1136
12683,1105
12682,1133
12682,1134
12682,1130
12683,1113
12683,1109
12682,1138
12683,1120
12682,1150
12683,1117
12682,1145
12682,1159
12682,1157
12683,1126
12682,1155
12682,1153
12682,1176
12682,1173
12683,1138
12682,1170
12683,1152
12683,1150
12682,1180
12683,1158
12682,1190
12683,1159
12683,1156
12683,1164
12682,1195
12683,1165
12683,1176
12682,1208
12683,1177
12682,1205
12682,1206
12683,1183
12682,1212
12683,1190
12682,1219
12683,1189
12683,1186
12682,1226
12682,1240
12682,1233
12683,1203
12683,1217
12683,1215
12682,1246
12683,1212
12683,1225
12683,1222
12682,1251
12682,1252
12682,1250
12683,1233
12683,1231
12682,1260
12683,1226
12683,1240
12683,1238
12683,1246
12682,1285
12682,1283
12683,1252
12683,1250
12683,1251
12682,1282
12683,1260
12683,1272
12682,1304
12682,1301
12682,1302
12683,1279
12683,1289
12682,1316
12682,1314
12683,1283
12683,1296
12683,1297
12683,1292
12683,1304
12683,1305
12683,1302
12682,1332
12683,1299
12683,1312
12682,1343
12838,12891
12682,1344
12683,1310
12682,1340
12683,1318
12683,1319
12682,1348
12683,1315
12682,1360
12683,1326
12683,1325
12682,1353
12682,1367
12682,1365
12683,1330
12682,1373
12683,1340
12683,1341
12682,1370
12683,1352
12682,1384
12683,1350
12683,1349
12683,1346
12683,1360
12682,1391
12682,1389
12683,1359
12682,1390
12683,1356
12682,1386
12683,1364
12683,1365
12682,1393
12683,1376
12682,1406
12682,1402
12683,1371
12682,1413
12682,1411
12683,1381
12682,1421
12682,1420
12683,1386
12682,1417
12683,1387
12682,1418
12683,1400
12683,1398
12682,1426
12682,1438
12682,1435
12683,1404
12683,1402
12682,1433
12682,1434
12682,1445
12682,1443
12683,1413
12682,1455
12682,1456
12683,1425
12683,1420
12682,1452
12683,1421
12683,1432
12683,1433
12683,1428
12682,1459
12682,1460
12682,1457
12683,1441
12683,1438
12682,1470
12682,1467
12682,1468
12683,1435
12683,1447
12683,1444
12683,1443
12682,1474
12683,1457
12683,1455
12682,1495
12683,1462
12682,1503
12682,1497
12683,1466
12683,1478
12683,1477
12682,1508
12683,1474
12682,1516
12682,1514
12683,1483
12682,1528
12683,1497
12683,1503
12683,1510
12682,1542
12683,1508
12682,1540
12682,1537
12683,1519
12683,1537
12683,1534
12682,1565
12683,1533
12683,1531
12682,1571
12682,1570
12682,1582
12683,1551
12683,1560
12682,1585
12683,1568
12682,1596
12682,1593
12682,1603
12682,1631
12683,1599
12683,1596
12682,1626
12683,1609
12683,1617
12683,1614
12683,1610
12682,1653
12683,1621
12682,1650
12683,1619
12683,1632
12682,1671
12682,1672
12683,1638
12683,1637
12683,1642
12682,1687
12683,1653
12683,1651
12682,1682
12682,1696
12683,1673
12682,1704
12682,1701
12682,1699
12683,1669
12683,1666
12682,1709
12683,1677
12682,1708
12682,1706
12682,1720
12683,1686
12683,1696
12682,1727
12682,1729
12683,1699
12683,1712
12683,1706
12682,1751
12683,1717
12682,1748
12683,1715
12682,1764
12683,1743
12683,1741
12683,1746
12683,1757
12683,1755
12682,1799
12683,1767
12683,1771
12683,1784
12682,1816
12682,1813
12683,1782
12683,1778
12683,1779
12683,1793
12683,1790
12682,1821
12682,1820
12683,1789
12683,1800
12683,1801
12683,1798
12683,1796
12682,1825
12683,1795
12683,1806
12682,1837
12683,1805
12683,1817
12682,1846
12683,1813
12683,1811
12682,1851
12683,1819
12683,1832
12682,1861
12682,1871
12682,1872
12683,1834
12682,1865
12682,1877
12682,1876
12682,1874
12683,1843
12682,1883
12683,1865
12683,1863
12682,1894
12682,1891
12682,1903
12682,1904
12683,1870
12682,1900
12682,1898
12683,1876
12683,1877
12682,1908
12683,1888
12682,1915
12682,1916
12682,1914
12683,1897
12683,1892
12683,1890
12683,1891
12683,1902
12682,1934
12682,1930
12683,1913
12683,1908
12683,1907
12682,1938
12683,1918
12682,1947
12683,1929
12683,1927
12682,1968
12683,1930
12682,1975
12683,1942
12683,1943
12682,1970
12682,1982
12683,1948
12682,1991
12683,1961
12682,1992
12682,1990
12683,1956
12683,1954
12683,1968
12682,1999
12682,2000
12683,1965
12683,1963
12683,1976
12683,1977
12683,1972
12682,2004
12683,1985
12683,1982
12682,2013
12683,1983
12683,1981
12683,1992
12682,2024
12683,1993
12683,1990
12683,1988
12683,1986
12682,2031
12683,1997
12683,1995
12682,2036
12683,2014
12683,2012
12682,2042
12683,2023
12682,2054
12682,2051
12682,2052
12683,2019
12682,2063
12683,2031
12683,2040
12682,2065
12683,2035
12683,2046
12682,2075
12682,2076
12683,2045
12683,2042
12683,2052
12682,2093
12682,2091
12683,2060
