spouse_1,spouse_2
7586,1444
7586,1443
7586,1442
7586,1441
7586,1448
7590,1324
7586,1447
7586,1446
7586,1445
7586,1451
7586,1456
7586,1455
7586,1454
5215,1226
7586,1453
7590,1329
7586,1459
7586,1458
7586,1457
7586,1464
7586,1462
7586,1461
7590,1337
7586,1467
7590,1343
7586,1466
7590,1348
7586,1472
7586,1471
7586,1470
5672,3459
7586,1469
7586,1476
7586,1475
7586,1474
5406,3517
6924,5611
7586,1480
7586,1479
7586,1477
7590,1353
7586,1484
7586,1483
7586,1481
7586,1488
7586,1487
6181,4081
7590,1361
7586,1485
7586,1492
7590,1367
7586,1490
7590,1366
7590,1365
7586,1489
7586,1495
7586,1493
7586,1500
1018,307
7586,1497
7586,1502
7586,1508
7586,1506
7586,1505
7590,1387
750,434
7590,1394
7590,1402
7590,1407
7590,1421
7590,1436
7590,1456
7590,1453
7590,1468
7590,1467
635,4079
1427,4109
7962,6331
6314,8267
8216,6648
1265,955
7590,1500
7590,1497
4008,6047
3394,518
5857,6113
6719,3976
7908,8090
1456,3318
6058,8152
6300,694
8215,6879
3401,481
6331,7962
8153,632
4081,4009
3412,206
3241,5525
670,3321
3833,3611
406,3373
3463,6923
8194,7722
5283,7862
3145,423
6993,4037
1010,1096
5422,3612
825,6872
8325,3755
5540,8205
1120,5961
1377,6195
3517,5406
1185,3975
8055,4016
4039,5642
5849,6885
1032,567
1290,789
416,3355
3238,5992
423,3145
8351,3195
1387,6091
3300,4146
5897,5581
5896,5648
677,3599
3301,4191
1402,5716
3841,3842
3264,5351
3842,3841
3573,3997
5943,4260
8159,1099
8094,3117
770,789
1140,5713
485,1454
6152,6023
7586,2541
750,1500
1017,1430
6874,8281
5634,5789
1228,3145
5270,739
1283,1464
6879,8215
5434,3858
673,4016
5897,5924
3318,3975
7808,4051
952,3612
1213,3719
6068,684
1209,3864
6167,5834
3145,1228
5269,920
6135,6849
1338,8107
8267,6314
8003,6311
5992,3238
3989,7985
6063,1052
3724,8028
8025,5775
1324,527
6337,791
6229,4141
5611,6924
789,770
1052,809
7586,3082
7586,3081
7586,3088
7586,3087
7586,3092
7586,3090
7586,3089
7586,3096
7586,3095
7951,8164
7586,3093
7586,3100
