combatant_1,combatant_2
41,78
108,51
89,6786
13569,13613
13600,108
13631,166
13574,141
6786,141
108,61
13631,176
89,141
13569,51
187,177
51,41
13583,141
13637,6655
13579,11778
108,78
41,108
13629,6655
13600,141
61,6
13601,108
51,61
141,89
13625,141
13569,13651
78,6
51,78
141,108
13580,13583
177,20
13616,177
13630,6655
20,24
13587,51
177,24
13616,187
193,11819
13601,141
178,6655
13630,6
13583,195
12506,11819
141,6786
6655,178
61,51
90,178
13621,51
24,177
51,108
78,41
13637,13629
13630,35
108,141
24,187
78,51
13580,11819
82,187
13630,41
13569,141
195,13583
13629,13637
13637,90
78,61
13630,51
13579,11361
61,78
13629,90
187,20
187,24
20,82
13630,66
13601,195
13630,13629
13630,61
13601,193
178,13629
133,176
13630,13637
61,108
178,13637
176,133
141,195
13630,78
108,195
13630,90
13601,12506
13587,141
78,108
13616,20
6,41
90,6655
13580,108
13574,51
178,90
13630,108
13582,13628
13580,117
6,51
13616,24
11819,193
187,82
6,61
24,20
41,6
13621,141
82,20
13580,141
82,24
13637,178
6,78
13601,13583
195,108
13580,150
13597,135
13629,178
13621,170
13600,51
13582,95
11819,12506
13597,141
13580,170
108,6
6786,89
6655,13629
13625,51
20,177
13631,133
141,13583
108,13583
6655,13637
90,13629
13616,82
6,108
20,187
41,51
195,141
177,187
90,13637
12506,193
13601,11819
13630,178
51,6
13616,97
13583,108
13582,10891
193,12506
24,82
108,41
6655,90
