cinematography_1,cinematography_2
2572,8395
246,7799
2742,8247
2174,8450
5345,8454
2314,8207
2960,6618
2391,7875
5533,7754
5669,6618
5709,8449
2684,12116
2406,8449
2761,7689
5247,8449
1889,8101
5523,7065
1944,8443
2050,4135
6184,8082
1998,7797
2783,8040
2100,3615
2506,8439
2904,8392
2459,7855
1616,8392
2613,8207
2676,8310
1736,7754
5758,8003
5592,12126
1460,8122
2870,8443
2341,8463
2551,8102
2084,8247
1684,8361
6198,7689
5440,6618
5501,7797
2476,8392
2144,8450
2223,7026
1949,8357
2442,8438
2607,8449
405,8102
1781,8454
2092,12126
1583,8450
2321,8101
2397,7797
2675,8395
2303,6618
6228,6799
2246,8392
1748,8470
2566,7689
2717,8131
2112,8456
2150,4207
1764,6961
1650,8449
1959,7065
2086,8247
2535,6618
5251,8438
2555,7026
1838,7754
1629,7065
2628,7839
1657,8247
3016,8101
1750,8438
2081,8416
1868,6830
1783,8443
1993,7065
1993,7064
7583,6830
1828,7064
1922,8247
5785,8310
1915,8470
5452,8392
6031,6830
1751,8443
2976,8357
1737,7856
1553,8443
2709,8449
1512,7673
2266,6830
3072,8470
1730,7065
5760,7065
5273,6800
2417,4207
1969,6830
2031,6961
1752,8449
5399,12126
1859,8207
2756,7027
5653,8357
1990,8247
2105,7754
2373,6618
2049,8470
2070,6800
2070,6799
2350,8361
1884,8474
2447,8438
1628,4135
2934,7689
6557,12114
2493,7026
2062,8101
2844,8439
2612,8463
2557,8122
1919,8449
2764,6830
1820,8450
3032,7754
2041,7754
5275,6830
2658,7065
1831,8131
1733,7078
1633,8131
2349,8464
1755,8449
2567,7856
2953,8178
2435,6830
2361,7078
2922,8122
2138,7855
2720,8247
3047,8357
2263,7065
2088,8395
2265,12126
1659,8392
2410,6618
3873,6322
2893,12126
2682,8434
3023,7078
5938,7856
2913,8450
2925,8082
1727,8361
2918,4207
3059,12126
5658,8357
1758,8434
2451,8454
2696,12126
5693,8310
2958,7077
1934,7077
2564,12126
1526,8464
5424,8456
1810,7855
3060,12116
1636,8131
2232,7064
1670,7078
2070,6968
3079,8456
2485,8438
2070,6969
2210,7754
3057,8131
5769,12126
2662,7065
1890,8474
1964,4135
2455,6322
3080,8456
5701,8101
1514,6830
1597,8361
2005,8003
2626,8207
2109,7855
2175,7856
3034,6830
2850,8438
1630,6322
1608,12126
2006,7979
5738,8003
1792,8474
2423,6322
1709,7979
2962,7026
5330,6322
2269,12126
3075,7626
3049,8434
2201,8101
2923,8247
6338,7855
2325,8357
5288,6618
6272,7856
2433,7065
1771,8131
2279,7754
5727,8392
2375,6830
1683,11903
6166,7077
2631,8122
2047,7797
6362,8178
6302,8003
1939,7065
5382,7855
1906,7065
1711,6968
2932,12126
2621,8454
5211,8040
1985,3596
2819,8464
2145,7856
1795,8474
2798,8101
2159,8456
2988,8357
5925,8450
1865,8357
2270,7065
2364,8247
5647,7855
1907,7065
2137,8131
2170,8131
1676,7064
2963,8131
2096,8384
2897,8131
2865,7077
1840,8131
2821,8443
2336,8122
2689,8443
2009,12116
1544,7077
2233,8247
2659,8361
2259,8474
1632,8456
3006,7855
2800,7078
2841,6830
2767,7078
2149,11903
1735,8357
2836,12116
1778,7026
2412,6830
2789,8454
2440,12116
5809,12126
2074,8101
3020,8474
5250,6931
2664,8247
5730,8434
1634,8438
2757,8443
2240,7064
1768,8395
5357,5684
3041,6830
2297,8392
1546,8131
2505,8102
2866,8178
2120,7754
1776,8178
2967,8122
2431,8357
2212,7979
5637,4207
1774,8247
2298,8392
2101,8357
1921,7797
1702,8443
2846,7797
2628,8416
2547,6830
6044,6968
3002,7065
1967,8438
681,6322
1846,7077
2911,6830
1854,7855
2342,7065
6177,6969
5715,7979
2456,6618
1935,8438
2969,8131
2344,7027
1582,8122
6008,8131
2113,7026
2706,8101
1981,7026
2387,7754
1707,8357
2450,6830
2512,7979
2214,8003
2310,7078
2907,12126
1988,6830
2379,12116
2048,7026
1573,8439
2048,7027
2010,8207
1738,8454
1948,7065
2998,8310
1882,7065
2116,12116
2183,6968
2928,8449
2933,4207
2411,8101
2776,7027
2735,4207
2634,8361
2920,7689
5803,8434
2588,7754
5352,7064
2896,8449
1914,8178
2169,8470
2809,7065
5252,8131
5357,6931
2974,8101
2472,4207
3074,8082
5432,7689
2083,7065
1842,8395
5758,7839
2115,8131
2190,6830
1812,8310
1654,7065
2503,8395
2971,8224
2755,7754
2574,8247
2176,4207
2637,8357
5640,8449
5838,8454
2636,8392
2967,6322
2216,7077
2337,8454
2073,8449
2881,7979
2448,7065
2657,7754
2076,8361
1809,8450
2538,8384
2671,8357
2391,6800
3056,7689
2258,6830
6137,8438
5363,6830
1713,6322
2647,7065
2085,7078
1644,8464
5261,6931
1524,7065
2779,8101
2188,6969
2180,8247
2206,8470
2457,7856
2945,7064
2332,6618
2008,8470
