organization_type_1,organization_type_2
3855,14705
3793,14704
13238,14648
3306,14704
13026,14704
13414,14705
8451,14704
13447,14705
4223,14704
3678,14705
3389,14704
3802,14704
13065,14648
3290,14704
12832,14704
4029,14705
3775,14648
13109,14704
13276,14648
3282,14704
6764,14157
13545,14508
12182,14648
12924,14705
8421,14648
12872,14648
3192,14704
12703,14648
13015,14704
12887,14705
8473,14705
6710,14705
13426,14648
6807,14648
12034,12615
12034,14157
6731,14706
11467,14707
13544,14705
6628,14706
3250,13824
13447,14650
13148,14704
4192,14704
6843,14704
7070,14705
1568,14648
11316,14156
8441,14704
12186,14705
3507,14705
12192,14648
13109,14650
6791,12615
12147,14648
12975,14704
7081,14508
13314,14704
12806,14704
6791,14162
13504,14451
13500,14704
6844,14704
13320,14648
3735,14705
3413,14704
