music_1,music_2
5695,6816
2896,3476
3075,8169
1681,4279
3015,3887
1864,6801
2540,4280
2194,6816
1548,8412
2078,4272
1600,6801
5328,5920
5654,8108
2935,8426
1948,4212
2827,3590
1750,4212
1758,3972
2884,5929
2562,3626
5730,7819
2479,4151
1728,6956
1982,3180
5387,4118
2587,9006
5590,3977
1963,7874
5544,3359
2348,8229
1751,4212
2696,3590
2938,4279
2679,4118
2313,3179
5583,4212
2313,3180
2022,8108
2481,4118
5579,8431
2212,4267
2852,6957
2947,8108
1817,4229
2750,3977
2814,8140
1774,7611
5788,8108
3027,3590
1950,4212
3059,8747
3006,4246
3006,4245
2916,7038
2812,4118
2759,3715
2237,7611
2762,3626
2622,5920
2182,3180
2125,6995
1682,8440
2985,9006
1555,8284
1801,6802
6134,7645
5321,4177
2357,3905
2284,6172
5986,6100
2889,7907
1974,7600
5911,8430
5779,8431
2900,3475
2500,3590
1619,6324
1634,7907
2455,7037
2949,8108
1994,6995
1797,9006
2084,4212
2642,1250
3010,4177
1730,6995
1759,6100
5501,8884
1884,4279
5266,3887
1952,4219
2178,5405
1949,8412
2566,3626
3020,3887
2080,8462
6029,6876
5319,8412
1627,4084
2283,4229
2015,8440
6280,3199
2113,5405
1900,3815
1907,7696
5524,4118
504,8185
2436,3590
2770,3476
1849,5405
2790,6956
2901,7611
5855,8195
681,6801
2774,5405
2945,4208
1908,3590
2176,3475
2700,7719
2681,4212
2745,6324
6008,3475
2895,7823
2359,6007
5452,8430
2035,3765
1691,8284
2544,8465
1710,3601
3045,1129
2796,6802
2951,8140
2709,5405
2768,5624
2364,7907
2626,3887
2040,7719
2930,6753
5653,6308
1824,4177
2658,6995
1601,6995
5398,3977
1628,4117
1975,7696
2261,9070
1886,8412
1764,8097
1781,3475
2683,4187
2715,3199
5337,3836
1699,3977
2174,3590
2025,4117
2261,7040
2225,4060
1640,3765
2556,8140
2041,3626
2380,5405
2314,5405
3045,3231
1891,8284
2944,8412
2263,6995
1514,3590
1690,4279
2229,3957
1918,5405
1535,7040
1650,3476
2567,7819
2691,3977
2711,5405
1828,8202
2727,6957
6031,6931
2157,4151
2755,8140
1889,4267
2529,6957
2956,8055
2310,3509
2090,4187
2020,8409
2435,3736
2684,4212
5467,3957
2233,7954
1734,7040
2095,8140
2687,6172
2623,4060
1960,8229
1964,8108
2189,3180
5994,8108
2152,8426
2218,8428
1689,8448
3076,8462
1573,7952
2311,3509
2176,7696
5785,8458
6029,7038
5421,5405
1763,4118
2565,3836
1916,3476
2003,6922
6029,7050
5330,4144
5884,5405
5995,8108
2551,4279
1834,3977
1965,8108
6338,7714
1804,814
5821,3267
1760,4229
5620,5405
2087,8431
2597,9006
6051,8426
2383,5405
2879,8462
2181,3476
2813,8462
2706,3590
3040,3475
2377,3548
5811,3590
2697,5920
2098,8108
1686,8592
2699,3815
2961,3887
5683,3476
1626,8412
5865,3977
5613,7696
2219,8465
5419,3476
3013,8431
1520,7611
5469,3977
717,3836
2467,6930
1716,3590
2235,3887
5925,4187
2186,5405
2428,12239
5330,4197
1694,6324
5750,3476
2457,3159
1967,8108
2505,7819
2408,6735
2538,6804
1582,7767
1832,4118
2602,6876
5374,6957
1981,3601
2976,3475
1923,5405
5751,3476
2777,3508
5400,4118
2238,3836
5466,6172
2094,4212
2602,8944
2650,5407
2992,7093
2564,3977
5355,3476
5394,8412
2468,9006
2860,7093
5706,6930
5288,3509
2907,3590
6503,6804
2816,8461
2689,4212
6340,7767
1945,6801
5399,4177
5459,8458
2423,8368
5401,4118
2647,3475
2494,6172
2430,4059
2027,4267
1939,6995
2247,3590
1837,8108
2651,5405
2766,3887
5693,3267
2433,3977
2382,3509
2469,6956
2957,4118
2956,4151
2162,8287
5593,8430
5666,4118
1580,7907
2361,4177
2030,4198
1785,3601
2030,4199
1893,8448
5792,8412
2450,3475
2928,7093
1899,4177
2231,6172
2908,3620
1708,6007
5225,3476
2760,4117
1830,4279
5250,6801
2578,3620
2489,8426
5250,6802
1832,4219
1832,4220
1906,3977
1905,8108
2242,7907
2034,4118
3042,3590
1546,9006
2358,8412
2029,4279
1786,3620
2508,3765
2406,6930
2432,4076
1985,3596
6008,7907
1989,3475
2692,4212
2207,9006
1020,753
2304,3957
2442,7874
5728,8409
1910,3887
1790,7611
2230,4212
1697,8448
5280,5920
2711,7740
1961,8462
2208,8997
2096,4279
2101,6172
2956,8343
5471,8202
5733,4177
5931,8284
6082,3601
1570,4212
1969,8229
2105,8108
2373,3896
5603,4118
2764,8161
5888,3476
5472,8185
1973,8108
2787,5405
2081,6816
6302,7038
2044,5920
2956,8368
2232,8284
2321,3476
1987,3590
2912,3590
2690,8426
1635,4267
1704,4177
5795,8430
1925,3475
5927,8440
2697,6172
5954,3509
2956,4290
1766,8412
5928,8412
2633,8161
1784,3765
2636,3977
2100,4212
2474,6956
5295,3476
2708,5847
5273,8252
1782,3836
2913,3590
5295,3475
2464,3180
2149,6802
5250,6931
2781,3601
5334,8431
2936,6995
2718,7611
5471,8287
6196,12439
3031,4060
2299,4229
2924,3286
1659,3590
2984,3475
1838,8284
2102,4196
2630,4212
2342,6995
1680,7040
1970,4196
2374,6007
5598,8465
1606,3195
1597,3475
5424,3620
2522,3476
2627,8412
2296,8433
2368,8252
3014,6660
2455,3509
2317,3691
2805,6995
2179,5920
5499,5405
2973,3836
5608,4076
2840,5920
2848,7719
1578,4083
5546,3959
2400,3180
2169,4196
2915,3601
2211,6995
2563,6324
1869,3267
2720,3509
2705,3977
2255,3590
2639,3977
1804,3237
1804,3238
2638,8108
2387,7696
2797,3180
1617,6995
2213,6956
1998,3384
2637,4060
2244,6007
2190,3590
1818,6930
2458,3475
1882,6995
3032,4117
2549,6802
2609,6995
1756,8865
2768,4117
1995,3508
2369,4205
1574,6324
5868,4280
1903,8412
2835,8195
2942,6930
2113,6007
2262,1387
2940,6995
5271,8462
6081,3836
5345,6172
1934,3373
6199,4279
1713,4083
1713,4084
3054,3475
1512,8271
2308,4076
2268,3267
2062,3509
1842,4187
2830,4280
2779,3815
1712,6172
2259,3553
2017,9006
1976,6183
5801,8440
2571,6172
2844,7952
2302,4278
2809,6995
2304,4222
2918,3626
1841,4245
2897,6324
2413,6995
5867,8462
1772,8433
1579,4177
6279,3887
1850,3977
1804,5404
5479,4118
2234,8462
5479,6172
2811,9006
2403,3222
405,7819
1819,6995
3014,6816
2635,4229
2969,4117
2060,7719
1709,4267
2197,3476
2336,3267
5884,5920
5810,4118
2568,8368
5746,4060
1752,7040
1775,4279
2118,3887
2103,8448
1822,6922
2967,4197
1562,8839
2699,8409
1661,7819
2915,3765
5357,3836
2396,3476
2747,6930
2615,6930
5303,3475
2355,6802
2855,3590
1997,7660
5938,4280
1715,6172
2503,8368
2459,3590
1852,3977
2998,3267
5832,3476
1928,3671
5365,7719
1809,3267
2320,7907
5445,3199
5618,3977
5234,7696
5506,5405
5324,9006
1733,3590
2784,3780
2988,7696
2804,3159
2448,3958
1846,8287
5701,3475
2240,8368
2372,4279
1804,1410
2792,7645
1753,7089
5437,3476
5617,8140
1558,6995
2701,8426
2483,6995
2898,8465
6164,3475
5309,5405
2353,6930
5966,3476
2183,8108
2502,8459
2997,5405
2857,7696
2772,4187
5566,3590
2309,4208
2925,7645
1791,3887
6030,7645
2145,3159
1921,6007
2966,8428
5476,8440
2645,8140
5595,6802
2424,6802
1933,3590
1913,4212
5442,5405
1718,4117
2160,6802
2155,6956
3052,7823
5261,6931
2882,6956
1673,3475
2846,3977
5344,8465
5818,8108
2417,7040
2443,8284
1890,6995
1780,4268
6272,4280
5644,3267
3051,3780
2974,6172
2288,9006
2839,4212
1955,7040
5776,3286
1584,4212
5683,4118
2954,6802
2978,8108
2284,7093
1717,6243
1542,3476
5975,3267
1855,8108
1789,8108
2851,3861
2050,4117
2008,3373
6209,4212
1935,3590
2554,6930
1544,3426
2640,4268
2972,4215
1783,4212
2351,7089
2645,4118
2838,4279
1938,3508
1544,1387
2469,1387
5705,3475
5413,8431
2331,3620
5474,8592
3059,3590
3058,7719
2510,4229
1929,7907
2585,3957
5247,5405
5329,6957
5878,4280
2049,4197
5617,4186
5372,3590
1649,8409
1762,6957
2327,3780
2260,7907
1569,6802
2273,3412
1629,6995
2583,8140
3043,6172
2645,4177
2729,7719
5294,3977
5884,6172
2449,4117
2713,6172
5229,3958
1951,3179
2393,3815
1951,3180
1636,6802
5760,3887
5443,3475
2987,3836
2760,8828
1517,8448
1532,3887
2513,4196
2180,4279
1874,5575
5635,7772
1847,8465
2862,7719
2210,5405
2818,7037
2575,8428
6362,7772
1665,5920
2725,3780
2516,4118
2592,7907
2735,3476
1674,7696
2516,6172
2381,4212
2184,4177
1020,1350
2576,8409
5708,3476
2653,3977
5225,4118
5417,8409
2298,6802
2666,3590
2628,6816
2731,7719
2648,4151
2378,8428
2047,8448
2444,8431
6161,3796
1594,8161
2157,7093
2527,3815
3049,4021
6094,3836
2558,814
2517,8229
3063,3590
1698,6995
1695,7089
3062,7719
1537,3796
2977,4212
3041,6324
5352,8412
2980,6172
1656,4208
2886,7040
1683,3373
1524,4208
2845,4219
2229,6930
1811,3508
5750,4278
5417,8462
1862,3977
2246,8458
5935,8786
2890,6930
2539,3475
1664,3977
2337,3601
2168,8839
2120,8284
2279,5405
2981,6171
2139,7696
2229,6957
2775,8462
1723,4212
3001,3509
5947,8440
2054,4196
1878,3508
2512,8433
2064,7990
1706,6801
2446,8440
2986,8084
2728,3796
2188,8252
1983,8462
1722,4267
1736,3836
6166,7819
6059,7038
2490,7089
5689,4177
2536,3620
1984,8448
2891,6957
2990,3887
2182,8458
2607,3475
2673,3476
5712,3476
2910,4323
2870,7611
1620,5405
2525,3977
6027,6007
2124,6172
5562,8140
2851,4117
1877,3590
2119,4280
2617,3180
5685,8430
1991,8257
2009,7701
2806,3475
1985,8448
5686,8412
2542,3476
2558,931
2057,4177
2325,4060
1879,3553
1920,8428
1990,4212
2201,3815
5820,4267
2994,3815
2758,7040
2605,3590
2031,7050
1804,3848
1526,4279
2585,4222
2477,3476
5718,5405
1660,4245
2088,3267
5935,8938
2089,3238
1553,3475
1755,5405
5621,8440
2478,3476
3050,4177
1865,6100
2462,3977
2385,8412
5323,5405
1729,4177
1657,8458
5335,7089
2273,3706
2798,3815
2326,4118
2611,3475
5921,3267
2611,3476
2874,7611
2631,9000
5382,3590
1661,4267
1859,8368
1658,8458
1567,3088
2982,4279
1539,3958
5384,7645
2067,3977
2734,3780
2657,4118
2601,7907
5647,3590
1971,6956
2810,3475
2297,7093
2744,3476
5515,3590
2278,3590
5363,4212
2195,4117
5980,7611
2072,3836
3047,8426
5804,6930
5251,3590
2804,7772
1593,8448
1642,6930
2347,3508
2783,8426
1683,7714
2917,4280
5890,4280
2800,7907
2726,4060
1662,6324
2214,7645
2386,8459
3057,8140
1943,3765
2056,8458
5965,8108
1647,6802
2322,8412
6340,8779
1770,7093
5347,6801
1866,4118
2742,3590
2676,3590
2270,3887
2659,4118
1610,5920
5803,9061
2588,4278
3059,8108
3873,5405
2256,8428
2192,4267
1494,3384
6112,3590
2350,3475
1613,3796
5906,3836
6106,3780
1771,7093
2123,8471
1735,4118
1648,6816
2159,3267
2073,3887
5957,8412
2373,6881
5720,3475
5435,4118
2281,3590
2530,8161
2191,8430
2130,4177
2476,3691
2075,3836
6557,8252
2664,8108
2553,5405
6178,7719
3008,3590
6354,8412
2266,8161
2876,3590
2269,3977
2697,7093
2788,8368
3029,7040
2137,3977
2021,3476
2880,3475
5738,7038
5495,8430
1827,5405
217,4117
5305,8185
2142,7938
5884,8671
5478,6922
2558,3238
2558,3237
2989,4212
2405,3887
2146,7819
1820,3590
2193,8412
1937,8161
1622,3590
2939,7823
2065,4196
2853,8440
2547,3590
2532,4060
2046,6838
5503,4118
2038,7089
1840,7089
1633,3267
2419,3476
5326,3476
2640,6876
5711,3836
2656,8428
2594,4208
2680,3590
2919,8468
2854,8440
2131,4229
1738,6172
2265,4177
2349,3620
1692,3508
2042,6995
2460,4279
5630,8409
1806,4076
2964,7089
2200,4151
2674,3796
1614,3887
2725,4262
2921,8431
5529,5405
1868,4212
2722,8462
1599,8465
1826,3476
5211,7089
2552,1454
2867,3977
2751,3476
3002,3887
2970,6930
2068,4177
1677,8108
2197,4278
1549,3887
2156,7600
2223,3475
2650,8675
3016,3475
2863,6172
568,3590
2394,8426
2817,3508
5485,6816
1915,8944
3077,3647
2531,8284
2948,7645
1654,6801
2411,3815
1912,6995
2076,6007
2195,8462
2010,3959
2002,4212
1805,4177
6340,9000
6228,4280
2843,6816
2043,7040
2604,8084
2398,4229
2730,4177
5769,4177
6261,3267
2598,4177
2600,4118
1894,3476
2724,8465
2579,8867
2329,8431
1538,4280
5571,8284
1563,3508
2929,4177
2509,6957
5745,6995
2760,3274
2412,3824
2196,8471
2092,7599
2858,8431
1608,4177
2463,6345
1668,8462
2606,6007
2208,8108
2755,3441
5699,8431
1737,4280
2026,7611
5998,3267
5884,6802
2202,4212
2741,3887
6073,7089
2136,4212
3003,3958
2621,1471
5809,7089
1020,8098
1540,8368
2619,3590
2528,8462
2599,4212
2820,3508
5766,8440
2794,8412
6254,7645
2303,3159
2828,3267
5530,3476
2640,7050
2487,3601
2537,8195
2301,3222
1714,7093
5357,6801
2340,4076
5643,4084
1621,3836
2743,5920
1962,3508
2668,4151
2463,8462
5729,3475
1896,7611
2821,7611
2747,3765
5844,8108
3066,4118
2932,4177
2927,8431
5403,5405
2204,4219
2070,4280
1885,5920
5353,9006
1758,3713
2819,3590
2802,4117
2315,6930
1674,4278
2757,3475
2795,8440
1700,3475
2953,7645
2621,3601
5816,6957
2782,6801
3059,8458
2632,3267
2993,8462
2291,7696
2144,8161
2869,4118
3067,6172
2418,3765
2480,7987
2360,7611
1612,4177
2278,8108
1743,4212
5576,4177
2004,8412
5653,3836
5949,9006
2560,3476
6177,8086
1788,6930
2006,4267
2077,4117
2373,3133
5948,6995
5884,6931
2613,3887
2300,5405
1895,3626
1632,3590
1871,8471
6066,5405
1702,3475
5709,8284
2956,3520
2956,3519
1684,8140
2363,3476
5908,4177
1873,8431
1740,8458
2215,3977
2866,8371
5357,6931
2083,3977
5274,5405
5882,7038
5512,4177
2873,8161
2401,8459
2407,4177
5838,8409
1839,5405
5640,8409
2752,7823
2086,3895
2074,4267
2825,1471
2138,8433
2965,3279
2422,7823
2079,6172
2767,3279
5758,6816
2799,8430
1615,4177
5341,5405
2421,3769
5640,8430
2959,3476
2892,3508
2616,5920
2041,3264
2187,6930
2893,3476
2580,7040
2273,4270
2339,8368
2675,8195
5602,3476
2273,4272
5873,3267
2431,3475
2733,8448
6014,7089
2677,8140
6110,4118
2369,5405
2807,4117
5523,3887
1516,3179
1516,3180
2089,3848
2872,4151
5408,3359
2538,4268
2319,9011
2894,3476
6192,3642
5792,7848
2362,3590
5245,8426
2515,7038
2914,6957
2463,8652
1748,4196
2584,6956
1853,7089
2634,5405
1688,8108
5721,8012
2097,7719
5536,3508
2373,3264
2292,7823
5864,3590
5380,4262
2514,7089
2780,7037
2463,8675
2151,8108
2221,3893
1583,3195
2933,8448
1898,3671
2377,3159
2106,3373
2011,8368
3080,3905
1768,7714
2826,3590
2373,1250
