writer_1,writer_2
315,7708
772,3270
334,465
654,3348
794,3105
498,3582
804,3315
324,3348
275,3852
298,3652
847,3529
298,3653
482,3582
319,4027
772,3299
890,3227
387,3460
547,548
604,1342
334,6129
498,3605
482,518
1217,3846
298,1106
441,7939
271,3482
531,3102
334,6138
1217,1294
395,3226
334,6146
334,4100
399,3110
794,3154
334,518
491,3335
429,4235
794,3672
429,4236
794,3162
794,3163
387,3492
772,3335
1503,1156
295,3278
5408,1447
536,3491
250,4165
847,12282
6544,3101
6544,3100
334,5659
334,12316
334,1055
408,6954
1073,1188
1217,3383
794,3696
427,3298
1992,7008
357,3421
427,3299
847,12297
433,7723
334,3113
506,854
482,3137
1389,3696
298,3730
397,1174
383,586
408,6982
645,1173
489,3452
772,3383
561,3784
847,3111
238,3562
230,3298
1033,1445
252,3129
203,3113
1389,3211
334,3149
1992,8076
417,4165
334,1106
524,3411
536,3555
298,3767
489,3990
489,3991
258,3472
538,7083
482,3699
1389,3235
1389,3236
238,3591
334,5224
334,4200
357,3492
794,3258
1159,1160
855,856
489,3501
334,3699
298,3792
334,5748
800,3591
877,6836
547,6827
298,1237
794,3270
334,3711
1389,3262
238,3110
334,5262
429,7950
1992,8137
334,659
489,4047
238,3639
271,3135
547,6870
536,3115
794,3314
334,3238
258,1501
1031,3144
1033,1034
361,363
433,6836
1389,3313
1389,3314
322,3111
334,1206
6544,3262
271,3162
271,3163
794,3335
334,1213
489,6138
524,3518
207,8225
234,8414
355,12344
334,5318
334,8391
429,12103
334,5833
298,1318
538,539
12604,6911
772,3526
1182,3105
399,1270
271,3703
271,3194
262,7060
238,3709
1031,3703
355,3157
1031,3194
489,12316
355,3158
334,6882
238,3714
334,5860
6544,3299
14822,3204
271,3211
794,3383
538,12344
847,3278
429,7021
489,3113
1031,3210
836,3111
258,3112
258,3113
238,6809
794,3397
238,3226
262,435
317,8460
334,5375
271,3235
258,3126
334,3847
536,3730
538,3668
538,3669
536,3731
427,3526
1031,3235
736,3165
582,7939
1217,3104
397,7021
401,1266
524,3087
804,3111
334,3347
334,5395
561,3990
561,3991
271,3258
851,1152
5408,6827
271,3262
250,3402
1182,3696
1031,3258
711,3455
298,899
265,3460
455,3714
772,3104
772,3105
201,12103
334,301
334,814
271,3791
351,1311
397,398
238,3283
238,3284
1217,3143
1031,3791
2765,6870
334,829
334,1342
203,1307
271,3298
387,3799
271,3299
455,3741
1217,3672
800,6873
772,3135
1031,3299
772,3136
794,3482
538,3227
217,3451
271,3313
271,3314
772,3144
580,908
322,3278
489,1175
355,6865
547,7060
723,4165
427,3101
784,4324
784,4325
324,3226
324,3227
271,3335
437,6893
489,6819
711,4034
489,6820
457,3204
786,6829
334,1385
238,3337
289,8414
794,1463
1031,3846
1182,3262
361,3113
524,3183
547,1447
341,3226
1031,1294
324,6828
2765,3348
1217,3210
604,6856
794,3526
963,335
561,3582
361,3126
722,1152
1073,3584
547,435
786,6851
794,3535
1033,3807
538,6865
538,6866
784,3337
417,3963
250,4020
334,6024
427,3143
1389,3529
427,3144
489,3784
489,3785
1344,1345
250,3515
1389,3535
604,6878
736,6885
772,3210
359,6798
772,3211
782,856
489,6867
836,3278
357,3797
547,1491
271,3397
445,5684
1344,1368
489,6882
1217,3258
489,6885
437,6963
772,3235
437,6964
341,3284
1105,1106
538,3843
1371,12326
427,3703
1182,1294
786,7939
6544,3526
772,3258
604,6933
319,3992
291,8444
6518,5870
334,3530
334,1482
