child_genres_1,child_genres_2
12632,1566
12529,12567
14770,14775
14770,14774
13806,12529
14764,7151
14770,14773
9091,12515
1509,1547
14770,14769
14766,14776
12632,1833
12613,12532
14127,14124
1833,12519
12551,12542
13824,1509
1566,14781
12632,14779
1566,14784
12551,1543
13817,14777
1836,12563
13824,1643
1525,12606
13824,1515
13824,1525
1525,12612
13824,12531
12514,2066
14784,14781
13824,1530
13284,14058
14764,2737
13824,1667
1525,1623
14772,14771
14768,14767
14772,14786
1667,14765
14772,14783
14772,14780
1525,2018
13824,1543
13284,1515
12551,14127
12514,12600
1515,12571
12551,14778
1543,12600
12531,12580
12568,12586
14785,14770
1525,12522
12547,1845
13284,12531
1525,12524
12525,12523
1509,12512
12531,12587
1833,12585
1645,12524
14764,14034
14777,14782
13284,1667
13793,13806
12632,12550
14764,1761
12551,13284
14766,14764
13824,1598
12551,12514
