edited_by_1,edited_by_2
1977,8413
2997,12123
1882,3680
5396,8413
2555,8418
2353,12123
2638,8408
2519,3392
2027,8408
2606,4286
3002,4298
2592,13431
5413,8413
2809,3637
5443,3392
1990,8036
2424,8406
2651,12123
1970,4049
2144,4298
6166,8125
2263,3680
1985,3596
2307,6931
5328,3392
5954,3450
2422,7988
3042,4131
2913,3522
2805,8406
1781,8408
2937,8413
5811,8408
5266,8408
3032,12123
1727,8036
5579,8431
2809,3680
2332,8230
2157,12123
2662,3637
2158,3392
6198,7689
1827,12123
1945,6931
2406,3392
2818,12123
2922,4298
1716,8408
2921,8431
2763,3602
5513,6931
2707,8413
2680,4131
2967,8036
1733,8408
5251,8408
2662,3680
2336,7642
2182,7809
5247,12123
2138,7642
2292,7988
2411,4298
2262,8408
2493,8418
2956,8408
2477,8408
1709,7642
1747,3392
1747,3393
1908,3522
5363,8036
5250,6931
2258,8036
1696,5490
5566,8408
2119,7745
1872,8238
2362,8408
2907,8408
2048,8418
2444,8431
2143,8036
5596,3392
2049,4298
2638,3450
5864,8408
2470,7642
2949,7642
6112,8408
2974,8408
1699,3392
1699,3393
1939,3637
2174,3522
2322,7642
2281,8408
3064,7689
2826,8413
3008,8408
2567,7745
1913,5490
2775,6931
2757,3392
2525,12123
1563,7642
2535,8230
2645,8406
2711,8413
5750,8413
2343,5490
1939,3680
2249,8413
1776,8230
1820,8408
2109,7642
1622,8408
2840,12123
2197,3392
2696,8408
2201,4298
2725,12123
2923,8036
2020,4298
2416,8406
2709,12123
2730,8408
2912,8408
1629,3637
2855,3522
5445,8230
2396,12123
2231,12123
1620,12123
1905,8408
3057,12123
3020,7642
2962,8418
2380,12123
5618,3393
2430,3921
1542,8413
1868,8036
2913,8408
5884,6931
2798,4298
2269,8408
5403,12123
2873,8125
1629,3680
5718,3392
2608,7642
2992,12123
1730,3637
2581,6952
1873,8431
2084,8036
3063,8408
1973,8408
5357,6931
2447,5490
5884,3392
5590,8413
1969,12123
5392,8413
2676,3522
2894,12123
5432,7689
2342,3637
2436,8408
5954,8408
1768,8125
2692,7642
1754,5490
2697,3392
1726,8406
2977,12123
2353,8431
1730,3680
1755,12123
2713,12123
2648,3392
2610,7642
5720,3392
2255,8408
1661,4298
2284,12123
1524,8036
2553,4298
2958,3522
1670,8125
2342,3680
5515,4131
2614,5490
2619,8408
5274,12123
1876,8406
1617,3637
1921,8036
1640,13676
5906,8406
2636,8408
5708,8413
5288,8125
2658,3637
2253,3392
2240,8406
2174,8408
2980,3392
1882,3637
2397,7642
3042,3522
1722,7069
2233,8125
5261,6931
1877,8408
6557,8230
2131,4131
1837,8125
1617,3680
1778,8418
1828,8406
1514,8413
5330,4298
2263,3637
2658,3680
